Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
111116_Spry_M2,1,TE,I,10751,238.55,224.18,4.9197,2108.8,2.27E+07,169.18,1.82E+06,104.7,1.13E+06,1588.6,1.71E+07,934.07,1.00E+07,
111116_Spry_M2,2,TE,I,9799,296.24,237.02,5.3855,1859.1,1.82E+07,184.76,1.81E+06,128.02,1.25E+06,1617.6,1.59E+07,944.09,9.25E+06,
111116_Spry_M2,3,TE,I,9257,262.57,279.09,5.6544,1315.3,1.22E+07,192.62,1.78E+06,84.662,7.84E+05,1567,1.45E+07,898.5,8.32E+06,
111116_Spry_M2,4,TE,I,8098,264.27,188.43,6.2268,1465.3,1.19E+07,168.07,1.36E+06,114.08,9.24E+05,1584.9,1.28E+07,1179.3,9.55E+06,
111116_Spry_M2,5,TE,I,15584,180,232,5,2272.21,,189.059,,117.429,,1637.247,,989.162,,
111116_Spry_M2,5.2,ICM,I,15584,202,230,10,2205.126,,189.292,,1166.012,,1584.226,,169.058,,
111116_Spry_M2,6,TE,I,16658,168.93,278.08,7.6908,1767.7,2.94E+07,148.16,2.47E+06,97.742,1.63E+06,1516.6,2.53E+07,482.76,8.04E+06,
111116_Spry_M2,7,ICM,I,12094,217,284,7,1728.946,,212.94,,87.173,,1551.361,,1024.142,,
111116_Spry_M2,7.2,ICM,I,12094,210,269,14,1437.06,,124.658,,103.673,,1550.125,,1024.007,,
111116_Spry_M2,8,TE,I,6443,257.35,155.28,9.6894,2029.1,1.31E+07,134.83,8.69E+05,73.302,4.72E+05,1495.8,9.64E+06,722.35,4.65E+06,
111116_Spry_M2,9,TE,I,10846,332.69,265.18,11.018,1227.2,1.33E+07,148.18,1.61E+06,122.89,1.33E+06,1614.4,1.75E+07,492.81,5.35E+06,
111116_Spry_M2,10,ICM,I,10644,169.35,230.46,15.936,1997.5,2.13E+07,141.24,1.50E+06,707.14,7.53E+06,1566.7,1.67E+07,130.3,1.39E+06,
111116_Spry_M2,10.2,ICM,I,10644,159,264,19,920.377,,100.815,,433.166,,1522.322,,77.151,,
111116_Spry_M2,11,TE,I,11293,124.02,259.39,11.983,1649.3,1.86E+07,138.41,1.56E+06,82.346,9.30E+05,1576.4,1.78E+07,487.7,5.51E+06,
111116_Spry_M2,12,TE,I,7002,312.63,144.62,12.93,1650.2,1.16E+07,145.02,1.02E+06,201.09,1.41E+06,1519.6,1.06E+07,880.58,6.17E+06,
111116_Spry_M2,13,TE,I,10751,329.96,182.51,14.011,1118,1.20E+07,148.82,1.60E+06,69.618,7.48E+05,1643.2,1.77E+07,888.39,9.55E+06,
111116_Spry_M2,14,TE,I,12055,267.83,327.79,14.341,1481,1.79E+07,170.18,2.05E+06,81.732,9.85E+05,1642.9,1.98E+07,592.21,7.14E+06,
111116_Spry_M2,15,TE,I,7487,180.76,182.34,15.374,2020.6,1.51E+07,158.31,1.19E+06,75.5,5.65E+05,1635.2,1.22E+07,802.92,6.01E+06,
111116_Spry_M2,16,ICM,I,8659,231.19,252.81,14.058,1476.9,1.28E+07,153.2,1.33E+06,136.77,1.18E+06,1556.9,1.35E+07,1575.1,1.36E+07,
111116_Spry_M2,17,TE,I,9235,215.58,330.65,16.799,1096.8,1.01E+07,177.38,1.64E+06,79.503,7.34E+05,1575.4,1.45E+07,619.2,5.72E+06,
111116_Spry_M2,18,TE,I,6785,280.93,119.39,18.375,1691,1.15E+07,141.66,9.61E+05,103.73,7.04E+05,1649.1,1.12E+07,820.6,5.57E+06,
111116_Spry_M2,19,TE,I,11512,213.35,150.17,20.58,1426.8,1.64E+07,167.61,1.93E+06,65.674,7.56E+05,1620.7,1.87E+07,532.42,6.13E+06,
111116_Spry_M2,20,ICM,I,6805,128.65,296.21,18.805,1478.9,1.01E+07,103.32,7.03E+05,360.34,2.45E+06,1716.3,1.17E+07,117.06,7.97E+05,
111116_Spry_M2,21,TE,I,9210,344.87,307.1,18.917,928.1,8.55E+06,149.62,1.38E+06,65.679,6.05E+05,1665.2,1.53E+07,782.87,7.21E+06,
111116_Spry_M2,22,TE,I,11697,168.92,163.08,21.159,2199.5,2.57E+07,150.91,1.77E+06,68.345,7.99E+05,1727.3,2.02E+07,630.48,7.37E+06,
111116_Spry_M2,23,ICM,I,3901,200.68,200.95,18.484,1576.8,6.15E+06,149.74,5.84E+05,118.04,4.60E+05,1604.2,6.26E+06,1650.4,6.44E+06,
111116_Spry_M2,24,TE,I,12910,112.99,197.83,23.989,1437.3,1.86E+07,102.49,1.32E+06,61.764,7.97E+05,1520.2,1.96E+07,300.67,3.88E+06,
111116_Spry_M2,25,TE,I,14114,176,333,21,1248.022,,152.052,,70.752,,1750.742,,709.565,,
111116_Spry_M2,26,TE,I,14079,96.468,281.42,24.642,1626.7,2.29E+07,127.09,1.79E+06,70.534,9.93E+05,1666.3,2.35E+07,512.83,7.22E+06,
111116_Spry_M2,27,TE,I,9057,333.08,121.06,24.476,1180.1,1.07E+07,136.5,1.24E+06,67.568,6.12E+05,1617.2,1.46E+07,605.27,5.48E+06,
111116_Spry_M2,28,TE,I,12598,335.73,354.24,26.17,970.27,1.22E+07,129.75,1.63E+06,64.449,8.12E+05,1579.4,1.99E+07,364.45,4.59E+06,
111116_Spry_M2,29,TE,I,10085,375.5,196.11,27.257,976.82,9.85E+06,135.79,1.37E+06,116.99,1.18E+06,1635.1,1.65E+07,311.52,3.14E+06,
111116_Spry_M2,30,TE,I,6931,242.33,116.33,27.705,1633.6,1.13E+07,128.44,8.90E+05,80.461,5.58E+05,1594.2,1.10E+07,552,3.83E+06,
111116_Spry_M2,31,TE,I,9384,257.68,372.68,27.466,937.54,8.80E+06,134.55,1.26E+06,54.42,5.11E+05,1535.3,1.44E+07,577.95,5.42E+06,
111116_Spry_M2,32,ICM,I,12310,198.83,288.48,29.879,695.63,8.56E+06,83.646,1.03E+06,51.477,6.34E+05,1483.5,1.83E+07,678.92,8.36E+06,
111116_Spry_M2,33,ICM,I,3797,126.14,238.04,27.105,911.42,3.46E+06,86.917,3.30E+05,119.1,4.52E+05,1516.2,5.76E+06,582.21,2.21E+06,
111116_Spry_M2,33.2,ICM,I,3797,158,241,26,922.515,,95.466,,473.6,,1601.864,,75.099,,
111116_Spry_M2,34,TE,I,10219,393.31,275.73,30.129,885.46,9.05E+06,130.79,1.34E+06,117.49,1.20E+06,1617,1.65E+07,429.85,4.39E+06,
111116_Spry_M2,35,ICM,I,5815,174.61,195.84,27.569,1388.4,8.07E+06,119.66,6.96E+05,68.992,4.01E+05,1559,9.07E+06,1109.7,6.45E+06,
111116_Spry_M2,37,ICM,I,10508,194.49,227.89,33.193,721.62,7.58E+06,84.957,8.93E+05,70.398,7.40E+05,1501.1,1.58E+07,693.44,7.29E+06,
111116_Spry_M2,38,ICM,I,6709,160.82,317.51,33.174,960.92,6.45E+06,94.916,6.37E+05,53.659,3.60E+05,1610.2,1.08E+07,689.53,4.63E+06,
111116_Spry_M2,38.2,ICM,I,6709,148,303,32,720.074,,83.135,,77.123,,1540.113,,662.055,,
111116_Spry_M2,39,TE,I,8845,276.65,97.483,35.689,1164.3,1.03E+07,111.98,9.90E+05,49.853,4.41E+05,1581.7,1.40E+07,385.69,3.41E+06,
111116_Spry_M2,40,TE,I,6904,166.14,162.96,32.055,1461,1.01E+07,124.64,8.60E+05,54.346,3.75E+05,1598.3,1.10E+07,416.08,2.87E+06,
111116_Spry_M2,42,TE,I,12946,207.06,129.87,36.94,1026.3,1.33E+07,112.14,1.45E+06,50.273,6.51E+05,1626.3,2.11E+07,382.49,4.95E+06,
111116_Spry_M2,43,ICM,I,1393,118.94,228.03,32.898,811.28,1.13E+06,66.968,93287,201.62,2.81E+05,1415.8,1.97E+06,447.19,6.23E+05,
111116_Spry_M2,44,ICM,I,2374,103,266,28,1367.225,,101.855,,92.946,,1643.751,,1073.342,,
111116_Spry_M2,44.2,ICM,I,2374,122,281,31,930.621,,69.753,,250.328,,1612.969,,82.538,,
111116_Spry_M2,45,ICM,I,11960,160.07,265.99,37.155,592.97,7.09E+06,65.23,7.80E+05,338.44,4.05E+06,1541,1.84E+07,76.197,9.11E+05,
111116_Spry_M2,47,TE,I,8852,337.3,107.78,40.259,904.49,8.01E+06,104.51,9.25E+05,81.529,7.22E+05,1467.5,1.30E+07,449.71,3.98E+06,
111116_Spry_M2,49,ICM,I,1501,182.25,194.16,37.545,810.18,1.22E+06,75.747,1.14E+05,46.604,69953,1514.8,2.27E+06,712.23,1.07E+06,
111116_Spry_M2,50,TE,I,8320,296.24,390.79,40.092,841.23,7.00E+06,128.44,1.07E+06,53.402,4.44E+05,1739.2,1.45E+07,352.83,2.94E+06,
111116_Spry_M2,51,TE,I,9727,165.59,335.05,40.638,840.4,8.17E+06,93.664,9.11E+05,44.732,4.35E+05,1544.7,1.50E+07,397.35,3.87E+06,
111116_Spry_M2,52,ICM,I,6711,102.11,259.18,40.972,758.22,5.09E+06,75.538,5.07E+05,236.23,1.59E+06,1584.8,1.06E+07,159.57,1.07E+06,
111116_Spry_M2,53,ICM,I,22319,131,290,41,862.57,,59.37,,240.473,,1560.668,,113.813,,
111116_Spry_M2,53.2,TE,I,22319,119,294,47,710.563,,68.957,,88.813,,1590.072,,223.961,,
111116_Spry_M2,54,TE,I,8900,196.77,360.96,45.478,596.59,5.31E+06,84.182,7.49E+05,45.387,4.04E+05,1906,1.70E+07,287.72,2.56E+06,
111116_Spry_M2,55,TE,I,12332,368.27,145.59,46.274,511.43,6.31E+06,74.353,9.17E+05,37.797,4.66E+05,1460,1.80E+07,222.59,2.75E+06,
111116_Spry_M2,56,TE,I,12199,143.33,189.72,42.059,648.03,7.91E+06,65.816,8.03E+05,38.807,4.73E+05,1481.2,1.81E+07,204.27,2.49E+06,
111116_Spry_M2,58,TE,I,11646,390.51,327.41,46.818,543.64,6.33E+06,107.95,1.26E+06,84.914,9.89E+05,1614.6,1.88E+07,266.76,3.11E+06,
111116_Spry_M2,59,ICM,I,11353,141.59,226.04,45.443,458.65,5.21E+06,56.371,6.40E+05,287.78,3.27E+06,1528.1,1.73E+07,149.18,1.69E+06,
111116_Spry_M2,60,TE,I,15616,244.76,390.3,49.687,427.52,6.68E+06,89.737,1.40E+06,41.546,6.49E+05,1698.9,2.65E+07,287.96,4.50E+06,
111116_Spry_M2,61,TE,I,10358,286.08,108.01,49.624,763.95,7.91E+06,85.564,8.86E+05,39.398,4.08E+05,1432.7,1.48E+07,250.37,2.59E+06,
111116_Spry_M2,62,TE,I,10495,359.57,366.53,49.817,551.49,5.79E+06,103.34,1.08E+06,43.464,4.56E+05,1566.8,1.64E+07,221.99,2.33E+06,
111116_Spry_M2,63,TE,I,14864,404.15,244.19,52.725,511.12,7.60E+06,87.712,1.30E+06,62.762,9.33E+05,1603.6,2.38E+07,205.9,3.06E+06,
111116_Spry_M2,65,TE,I,14891,223.54,128.57,52.194,408.51,6.08E+06,66.568,9.91E+05,34.013,5.06E+05,1395.3,2.08E+07,188.39,2.81E+06,
111116_Spry_M2,66,TE,I,11248,317.41,392.58,55.137,614.32,6.91E+06,98.302,1.11E+06,40.567,4.56E+05,1558.7,1.75E+07,193.78,2.18E+06,
111116_Spry_M2,67,TE,I,18314,184.33,157.69,57.819,274.8,5.03E+06,49.564,9.08E+05,28.558,5.23E+05,1417.6,2.60E+07,134.15,2.46E+06,
111116_Spry_M2,68,ICM,I,15100,142.78,253.89,58.12,296.4,4.48E+06,42.108,6.36E+05,54.154,8.18E+05,1536.2,2.32E+07,195.48,2.95E+06,
