Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
111116Spry_O12,1,TE,I,7394,230.35,275.62,6.0797,1879.5,1.39E+07,88.196,6.52E+05,130.03,9.61E+05,1318.3,9.75E+06,384.97,2.85E+06,
111116Spry_O12,2,TE,I,7371,291.18,228.39,5.7243,2106.9,1.55E+07,85.915,6.33E+05,45.829,3.38E+05,1319.8,9.73E+06,215.51,1.59E+06,
111116Spry_O12,3,TE,I,12462,185.47,236.65,6.3553,2222.6,2.77E+07,76.653,9.55E+05,169.29,2.11E+06,1232.9,1.54E+07,135.03,1.68E+06,
111116Spry_O12,4,TE,I,11013,235.04,227.26,7.9391,1660.6,1.83E+07,65.717,7.24E+05,101.29,1.12E+06,1362,1.50E+07,129.27,1.42E+06,
111116Spry_O12,5,TE,I,9368,309.43,248.92,8.8405,2086.5,1.95E+07,83.179,7.79E+05,45.038,4.22E+05,1351.5,1.27E+07,215.06,2.01E+06,
111116Spry_O12,6,TE,I,11113,266.45,299.05,8.2905,1475.6,1.64E+07,89.948,1.00E+06,102.22,1.14E+06,1334.1,1.48E+07,159.12,1.77E+06,
111116Spry_O12,7,TE,I,8047,200.09,300.37,8.2251,1401.3,1.13E+07,74.503,6.00E+05,100.29,8.07E+05,1348.6,1.09E+07,187.77,1.51E+06,
111116Spry_O12,8,TE,I,10814,163.15,284.97,9.1665,1291.4,1.40E+07,77.966,8.43E+05,142.94,1.55E+06,1184.3,1.28E+07,296.04,3.20E+06,
111116Spry_O12,9,TE,I,8047,265.91,178.23,14.348,1780.2,1.43E+07,72.326,5.82E+05,39.762,3.20E+05,1216.7,9.79E+06,103.61,8.34E+05,
111116Spry_O12,10,TE,I,10489,188.13,185.65,14.671,1566.5,1.64E+07,67.499,7.08E+05,143.02,1.50E+06,1378.4,1.45E+07,123.97,1.30E+06,
111116Spry_O12,11,TE,I,31494,359.45,219.13,17.989,879.23,2.77E+07,63.394,2.00E+06,39.306,1.24E+06,1414,4.45E+07,293.31,9.24E+06,
111116Spry_O12,12,TE,I,7201,234.87,333.74,13.325,2080,1.50E+07,94.184,6.78E+05,58.014,4.18E+05,1213.8,8.74E+06,334.22,2.41E+06,
111116Spry_O12,13,TE,I,19442,319.42,180.84,18.093,1176.9,2.29E+07,69.126,1.34E+06,43.522,8.46E+05,1372.7,2.67E+07,388.91,7.56E+06,
111116Spry_O12,14,TE,I,9975,232.03,171.5,17.08,1427,1.42E+07,70.419,7.02E+05,46.126,4.60E+05,1383.9,1.38E+07,100.46,1.00E+06,
