Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
091117Spry_AR2,1,TE,I,12843,267.83,242.99,4.9262,2596.1,3.33E+07,180.72,2.32E+06,62.419,8.02E+05,403.76,5.19E+06,753.43,9.68E+06,
091117Spry_AR2,2,TE,I,28780,177,256,3,2754.222,,236.587,,75.609,,387.578,,857.641,,
091117Spry_AR2,2.2,ICM,I,28780,152,275,11,2079.976,,217.182,,467.119,,364.92,,2082.318,,
091117Spry_AR2,3,TE,I,7182,111.15,248.85,7.0519,2433.2,1.75E+07,235.31,1.69E+06,82.787,5.95E+05,356.98,2.56E+06,589.7,4.24E+06,
091117Spry_AR2,5,TE,I,13709,333.37,300.46,7.8625,1758.2,2.41E+07,233.92,3.21E+06,47.89,6.57E+05,409.62,5.62E+06,221.12,3.03E+06,
091117Spry_AR2,6,TE,I,10576,234.2,334.32,8.0043,2762.3,2.92E+07,261.72,2.77E+06,37.768,3.99E+05,404.5,4.28E+06,256.72,2.72E+06,
091117Spry_AR2,7,ICM,I,9180,113.6,312.96,15.543,2185.6,2.01E+07,429.3,3.94E+06,1223.7,1.12E+07,370.42,3.40E+06,201.57,1.85E+06,
091117Spry_AR2,8,ICM,I,12133,78.128,287.43,16.5,1808.3,2.19E+07,1483.9,1.80E+07,133.63,1.62E+06,382.18,4.64E+06,1165.1,1.41E+07,
091117Spry_AR2,9,TE,I,12093,291.79,381.44,14.154,2502.6,3.03E+07,157.33,1.90E+06,47.56,5.75E+05,413.1,5.00E+06,329.41,3.98E+06,
091117Spry_AR2,10,TE,I,12864,179.53,186.19,15.916,2109.2,2.71E+07,146.77,1.89E+06,50.794,6.53E+05,400.78,5.16E+06,622.84,8.01E+06,
091117Spry_AR2,11,TE,I,14322,302.36,169.55,17.107,2001.5,2.87E+07,199.09,2.85E+06,51.584,7.39E+05,406.1,5.82E+06,330.83,4.74E+06,
091117Spry_AR2,12,TE,I,15733,118,193,18,2484.327,,271.278,,64.001,,355.387,,720.482,,
091117Spry_AR2,12.2,ICM,I,15733,125,214,22,1581.13,,1052.634,,100.87,,354.133,,1185.419,,
091117Spry_AR2,13,TE,I,14968,377.78,244.24,16.354,2120,3.17E+07,198.41,2.97E+06,42.973,6.43E+05,411.16,6.15E+06,237.32,3.55E+06,
091117Spry_AR2,14,ICM,I,6865,157.68,239.67,16.663,1347.9,9.25E+06,266.78,1.83E+06,676.68,4.65E+06,364.34,2.50E+06,1224.3,8.40E+06,
