Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
091117Spry_AS5,1,TE,I,11109,204.1,230.03,7.0793,2166.5,2.41E+07,182.29,2.03E+06,61.408,6.82E+05,413.36,4.59E+06,217.72,2.42E+06,
091117Spry_AS5,2,TE,I,7116,276.79,263.19,6.5384,2448.1,1.74E+07,208.18,1.48E+06,88.215,6.28E+05,418.39,2.98E+06,502.54,3.58E+06,
091117Spry_AS5,3,TE,I,6926,260.02,284.86,7.8608,2671,1.85E+07,197.97,1.37E+06,78.483,5.44E+05,433.64,3.00E+06,439.99,3.05E+06,
091117Spry_AS5,4,TE,I,8055,278.91,322.2,9.2312,2251.2,1.81E+07,155.84,1.26E+06,57.964,4.67E+05,426.49,3.44E+06,579.37,4.67E+06,
091117Spry_AS5,5,TE,I,7111,254.02,197.65,11.115,2356.2,1.68E+07,165.36,1.18E+06,70.63,5.02E+05,436.96,3.11E+06,461.42,3.28E+06,
091117Spry_AS5,6,TE,I,7264,313.33,358.85,12.065,2509,1.82E+07,173.12,1.26E+06,64.548,4.69E+05,418.51,3.04E+06,445.95,3.24E+06,
091117Spry_AS5,7,TE,I,6275,227.8,332.95,12.651,2550.2,1.60E+07,163.44,1.03E+06,65.438,4.11E+05,432.44,2.71E+06,605.91,3.80E+06,
091117Spry_AS5,8,TE,I,6851,139.1,278.8,14.243,2088.2,1.43E+07,179.78,1.23E+06,213.08,1.46E+06,382.53,2.62E+06,607.95,4.17E+06,
091117Spry_AS5,9,TE,I,5195,194.06,252.33,14.471,1535.4,7.98E+06,144.03,7.48E+05,63.943,3.32E+05,404.64,2.10E+06,401.21,2.08E+06,
091117Spry_AS5,10,TE,I,6490,290.13,171.09,16.142,2449.3,1.59E+07,185.66,1.20E+06,48.32,3.14E+05,416.3,2.70E+06,302.79,1.97E+06,
091117Spry_AS5,11,TE,I,6257,171.57,173.68,16.689,2453.4,1.54E+07,128.67,8.05E+05,62.045,3.88E+05,430.14,2.69E+06,212.2,1.33E+06,
091117Spry_AS5,12,ICM,I,15509,169.9,215.92,17.605,1779,2.76E+07,216.78,3.36E+06,817.09,1.27E+07,379.99,5.89E+06,171.18,2.65E+06,
091117Spry_AS5,13,ICM,I,7913,162.26,285.2,17.073,1848.9,1.46E+07,133.36,1.06E+06,473.2,3.74E+06,351.26,2.78E+06,122.88,9.72E+05,
