Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
121216Spry_X5,1,TE,I,5862,254.03,233.47,4.3714,1797.8,1.05E+07,325.42,1.91E+06,109.64,6.43E+05,643.78,3.77E+06,626.68,3.67E+06,
121216Spry_X5,2,TE,I,8521,201.45,267.35,4.1908,2318.1,1.98E+07,342.53,2.92E+06,94.487,8.05E+05,662.11,5.64E+06,308.82,2.63E+06,
121216Spry_X5,3,TE,I,3745,252.26,267.4,4.1031,2188.7,8.20E+06,351.46,1.32E+06,144.72,5.42E+05,665.43,2.49E+06,492.03,1.84E+06,
121216Spry_X5,4,TE,I,7555,203.06,209.6,6.1285,2037.9,1.54E+07,363.26,2.74E+06,194.38,1.47E+06,697.63,5.27E+06,513.14,3.88E+06,
121216Spry_X5,5,TE,I,8634,293.86,231.01,8.8797,2380.4,2.06E+07,245.85,2.12E+06,228.83,1.98E+06,664.21,5.73E+06,282.28,2.44E+06,
121216Spry_X5,6,ICM,I,8039,168.26,247.88,7.031,1520.1,1.22E+07,950.59,7.64E+06,1240.5,9.97E+06,638.19,5.13E+06,470.62,3.78E+06,
121216Spry_X5,7,TE,I,3849,285.09,256.27,7.6841,2445.4,9.41E+06,340.99,1.31E+06,180.18,6.94E+05,642.64,2.47E+06,285.13,1.10E+06,
121216Spry_X5,8,TE,M,2697,240.81,291.24,6.2844,3358.3,9.06E+06,377.23,1.02E+06,47.482,1.28E+05,659.61,1.78E+06,251.89,6.79E+05,
121216Spry_X5,9,TE,I,4493,265.16,293.21,6.8219,2279.7,1.02E+07,355.81,1.60E+06,178.23,8.01E+05,607.5,2.73E+06,296.33,1.33E+06,
121216Spry_X5,10,ICM,I,9559,156.68,211.2,9.7538,1499.7,1.43E+07,1295.2,1.24E+07,897.9,8.58E+06,689.85,6.59E+06,347.58,3.32E+06,
121216Spry_X5,11,TE,I,11169,251.65,319.38,12.828,1628,1.82E+07,272.14,3.04E+06,51.077,5.70E+05,721,8.05E+06,223.18,2.49E+06,
121216Spry_X5,12,ICM,I,4653,207.73,236.76,10.005,1647.9,7.67E+06,1270.9,5.91E+06,1850.1,8.61E+06,635.27,2.96E+06,288.22,1.34E+06,
121216Spry_X5,13,TE,I,4617,312.03,265.68,11.381,1732.7,8.00E+06,577.42,2.67E+06,60.367,2.79E+05,622.01,2.87E+06,241.15,1.11E+06,
121216Spry_X5,14,TE,M,4590,215.94,286.29,12.732,2831.9,1.30E+07,232.77,1.07E+06,56.985,2.62E+05,677.88,3.11E+06,215.59,9.90E+05,
121216Spry_X5,15,TE,M,3736,234.01,194,13.43,2852.8,1.07E+07,191.06,7.14E+05,38.944,1.46E+05,719.59,2.69E+06,188.49,7.04E+05,
121216Spry_X5,16,TE,I,4760,321.58,237.8,13.413,1809.1,8.61E+06,260.16,1.24E+06,66.651,3.17E+05,716.27,3.41E+06,303.04,1.44E+06,
121216Spry_X5,17,TE,I,5359,202.67,316.04,13.07,1469.1,7.87E+06,246.47,1.32E+06,74.995,4.02E+05,642.15,3.44E+06,478.74,2.57E+06,
121216Spry_X5,18,ICM,I,5671,234.43,239.61,11.888,1252.1,7.10E+06,1015.2,5.76E+06,91.658,5.20E+05,736.85,4.18E+06,1156.1,6.56E+06,
121216Spry_X5,19,TE,I,5777,290.26,286.31,14.985,1764,1.02E+07,270.91,1.57E+06,48.654,2.81E+05,611.82,3.53E+06,145.73,8.42E+05,
121216Spry_X5,20,TE,I,6477,284.3,319.61,15.25,1470.2,9.52E+06,469.7,3.04E+06,54.956,3.56E+05,702.18,4.55E+06,283.05,1.83E+06,
121216Spry_X5,21,TE,M,3166,271.4,207.55,15.013,3043.5,9.64E+06,172.31,5.46E+05,32.816,1.04E+05,687.95,2.18E+06,157.81,5.00E+05,
121216Spry_X5,22,TE,I,11251,119.62,227.8,17.097,2067.9,2.33E+07,346.51,3.90E+06,95.699,1.08E+06,667.17,7.51E+06,285.3,3.21E+06,
121216Spry_X5,23,ICM,I,3186,184.19,286.94,12.967,1433.4,4.57E+06,278.71,8.88E+05,354.06,1.13E+06,687.84,2.19E+06,956.56,3.05E+06,
121216Spry_X5,24,TE,I,8773,304.83,194.39,17.258,1628.3,1.43E+07,249.64,2.19E+06,69.877,6.13E+05,720.4,6.32E+06,350.35,3.07E+06,
121216Spry_X5,25,TE,I,7111,210.28,170.9,19.106,1840.4,1.31E+07,282.87,2.01E+06,107.86,7.67E+05,696.48,4.95E+06,432.09,3.07E+06,
121216Spry_X5,27,ICM,I,1136,189.58,190.87,15.746,1651.4,1.88E+06,725.53,8.24E+05,977.3,1.11E+06,698.73,7.94E+05,335.01,3.81E+05,
121216Spry_X5,28,ICM,I,5181,194.73,227.95,16.833,1464.1,7.59E+06,781.96,4.05E+06,694.39,3.60E+06,720.89,3.73E+06,882.71,4.57E+06,
121216Spry_X5,29,TE,I,8066,157.31,319.6,20.503,1221.4,9.85E+06,266.81,2.15E+06,126.99,1.02E+06,736.17,5.94E+06,304.81,2.46E+06,
121216Spry_X5,30,TE,I,9950,326.21,220.39,22.419,1423.3,1.42E+07,258.18,2.57E+06,60.835,6.05E+05,727.84,7.24E+06,162.74,1.62E+06,
121216Spry_X5,30.2,TE,I,9950,336,247,22,1266.982,,370.273,,53.863,,624.13,,182.513,,
121216Spry_X5,31,ICM,I,3801,168.82,221.82,18.549,1395.6,5.30E+06,694.51,2.64E+06,628.64,2.39E+06,641.95,2.44E+06,934.04,3.55E+06,
121216Spry_X5,32,ICM,I,3663,190.25,268.83,19.791,1434.1,5.25E+06,304.48,1.12E+06,142.45,5.22E+05,726.53,2.66E+06,514.74,1.89E+06,
121216Spry_X5,33,TE,I,10520,347.15,281.04,21.962,1672.6,1.76E+07,304.66,3.21E+06,53.989,5.68E+05,694.72,7.31E+06,215.33,2.27E+06,
121216Spry_X5,34,TE,I,7683,315.03,300.8,21.107,1266,9.73E+06,276.97,2.13E+06,52.345,4.02E+05,806.23,6.19E+06,161.17,1.24E+06,
121216Spry_X5,35,TE,I,2356,216.2,339.19,18.692,1389.9,3.27E+06,225.77,5.32E+05,216.49,5.10E+05,732.79,1.73E+06,343.34,8.09E+05,
121216Spry_X5,36,TE,I,6027,246.02,337.1,21.32,1184.4,7.14E+06,190.68,1.15E+06,121.85,7.34E+05,748.98,4.51E+06,312.67,1.88E+06,
121216Spry_X5,37,ICM,I,6122,135.31,298.57,24.459,1333.2,8.16E+06,359.65,2.20E+06,94.211,5.77E+05,717.12,4.39E+06,712.73,4.36E+06,
121216Spry_X5,38,TE,I,5463,192.9,332.58,23.445,1354.2,7.40E+06,292.27,1.60E+06,83.244,4.55E+05,767,4.19E+06,392.79,2.15E+06,
121216Spry_X5,39,ICM,I,7020,230.15,249.79,22.633,1014.5,7.12E+06,638.98,4.49E+06,102.3,7.18E+05,669.63,4.70E+06,852.16,5.98E+06,
121216Spry_X5,40,TE,I,5894,259.59,177.94,25.043,1506.8,8.88E+06,317.5,1.87E+06,44.998,2.65E+05,706.4,4.16E+06,230.61,1.36E+06,
121216Spry_X5,41,ICM,I,1538,143.68,244.07,22.811,1015.6,1.56E+06,880.4,1.35E+06,1327.8,2.04E+06,774.19,1.19E+06,127.58,1.96E+05,
121216Spry_X5,42,TE,I,5148,298.37,327.29,24.336,982.67,5.06E+06,363.59,1.87E+06,50.565,2.60E+05,671.92,3.46E+06,250.42,1.29E+06,
121216Spry_X5,43,TE,I,3376,290.94,180.24,25.321,1566,5.29E+06,316.57,1.07E+06,47.689,1.61E+05,659.44,2.23E+06,290.52,9.81E+05,
121216Spry_X5,44,TE,M,6970,168.8,177.39,27.562,2168.3,1.51E+07,192.03,1.34E+06,86.887,6.06E+05,733.97,5.12E+06,232.98,1.62E+06,
121216Spry_X5,45,ICM,I,4516,123.74,265.08,28.975,1306.3,5.90E+06,514.22,2.32E+06,161.96,7.31E+05,699.49,3.16E+06,1027.1,4.64E+06,
121216Spry_X5,46,ICM,I,6351,180,305,23,1224.007,,1401.979,,332.51,,716.558,,652.701,,
121216Spry_X5,46.2,ICM,I,6351,177,315,31,1063.098,,360.852,,253.78,,715.991,,632.101,,
121216Spry_X5,46.3,ICM,I,6351,168,285,24,863.867,,503.299,,96.35,,686.761,,790.616,,
121216Spry_X5,47,TE,I,6572,309.92,189.76,27.983,1630.7,1.07E+07,273.83,1.80E+06,200.55,1.32E+06,688.65,4.53E+06,224.58,1.48E+06,
121216Spry_X5,48,TE,I,6258,227.04,171.24,29.515,1525.4,9.55E+06,198.03,1.24E+06,43.882,2.75E+05,727.59,4.55E+06,163.55,1.02E+06,
121216Spry_X5,49,ICM,M,7921,188.14,213.84,27.766,1558.2,1.23E+07,212.19,1.68E+06,138.7,1.10E+06,722.67,5.72E+06,725.34,5.75E+06,
121216Spry_X5,50,ICM,I,841,139,273,24,1109.246,,606.295,,160.328,,723.975,,1233.795,,
121216Spry_X5,50.2,ICM,I,841,141,280,29,942.328,,492.185,,152.578,,696.156,,976.792,,
121216Spry_X5,51,TE,I,7489,264.26,340.59,29.376,800.25,5.99E+06,189.06,1.42E+06,219.65,1.65E+06,646.17,4.84E+06,206.37,1.55E+06,
121216Spry_X5,52,ICM,I,2263,223.63,219.33,27.49,1088.9,2.46E+06,238.36,5.39E+05,92.014,2.08E+05,700.15,1.58E+06,360.65,8.16E+05,
121216Spry_X5,53,TE,I,6506,132.67,205.52,31.414,882.34,5.74E+06,246.57,1.60E+06,152.91,9.95E+05,595.27,3.87E+06,308.57,2.01E+06,
121216Spry_X5,53.2,ICM,I,6506,151,215,27,888.192,,719.048,,564.347,,636.74,,233.569,,
121216Spry_X5,54,TE,I,5048,324.47,216.86,32.606,1216.4,6.14E+06,207.6,1.05E+06,160.98,8.13E+05,685.3,3.46E+06,159.88,8.07E+05,
121216Spry_X5,55,TE,I,7790,309.24,315.72,32.77,878.27,6.84E+06,220.06,1.71E+06,106.4,8.29E+05,712.17,5.55E+06,302.29,2.35E+06,
121216Spry_X5,55.2,TE,I,7790,332,286,31,944.493,,240.507,,41.796,,705.117,,222.543,,
121216Spry_X5,57,TE,I,6466,368.42,256.96,34.148,1390.3,8.99E+06,135.21,8.74E+05,31.59,2.04E+05,736.03,4.76E+06,88.108,5.70E+05,
121216Spry_X5,58,TE,I,13400,273.94,176.37,35.314,1176.1,1.58E+07,178.06,2.39E+06,58.386,7.82E+05,702.14,9.41E+06,130.86,1.75E+06,
121216Spry_X5,59,TE,M,3515,151.05,324.1,32.127,1114.4,3.92E+06,231.14,8.12E+05,56.526,1.99E+05,644.92,2.27E+06,308.87,1.09E+06,
121216Spry_X5,60,ICM,I,5597,209.91,339.1,32.943,820.14,4.59E+06,164.81,9.22E+05,524.92,2.94E+06,685.41,3.84E+06,259.36,1.45E+06,
121216Spry_X5,61,TE,I,8740,239.23,322.57,33.423,715.78,6.26E+06,131.36,1.15E+06,64.39,5.63E+05,706.35,6.17E+06,141.91,1.24E+06,
121216Spry_X5,62,ICM,I,3641,206.77,201.64,33.845,977.48,3.56E+06,142.04,5.17E+05,699.28,2.55E+06,660.95,2.41E+06,203.29,7.40E+05,
121216Spry_X5,63,ICM,I,14705,193.55,265.61,32.932,623.09,9.16E+06,157.56,2.32E+06,100.32,1.48E+06,693.94,1.02E+07,553.82,8.14E+06,
121216Spry_X5,63.2,ICM,I,14705,168,285,25,905.013,,660.496,,569.242,,685.314,,107.672,,
121216Spry_X5,64,TE,I,5382,103.91,262.56,37.856,960.99,5.17E+06,168.6,9.07E+05,39.906,2.15E+05,742.07,3.99E+06,274.48,1.48E+06,
121216Spry_X5,65,ICM,I,9141,236.5,277.42,38.52,564.94,5.16E+06,333.82,3.05E+06,39.481,3.61E+05,699.65,6.40E+06,313.44,2.87E+06,
121216Spry_X5,68,TE,M,8205,242.39,239.72,39.028,884.46,7.26E+06,60.061,4.93E+05,21.469,1.76E+05,655.54,5.38E+06,66.912,5.49E+05,
121216Spry_X5,69,ICM,I,1488,135.36,238.27,34.137,778.41,1.16E+06,685.44,1.02E+06,727.72,1.08E+06,724.2,1.08E+06,80.817,1.20E+05,
121216Spry_X5,70,ICM,I,2428,138.47,292.09,35.974,984.81,2.39E+06,1156.9,2.81E+06,325.85,7.91E+05,692.38,1.68E+06,641.96,1.56E+06,
121216Spry_X5,70.2,ICM,I,2428,152,271,36,570.218,,487.346,,442.392,,620.762,,137.78,,
121216Spry_X5,72,TE,I,5584,307.59,193.52,37.858,1110.1,6.20E+06,264.5,1.48E+06,65.176,3.64E+05,670.83,3.75E+06,145.92,8.15E+05,
121216Spry_X5,73,TE,I,4000,289.91,331.15,38.983,750.72,3.00E+06,196.35,7.85E+05,135.86,5.43E+05,662.84,2.65E+06,318.64,1.27E+06,
121216Spry_X5,74,TE,I,7792,316.3,291.62,38.779,670.71,5.23E+06,126.6,9.86E+05,35.009,2.73E+05,677.14,5.28E+06,121.71,9.48E+05,
121216Spry_X5,75,TE,I,6099,126.91,311.79,40.509,956.75,5.84E+06,288.09,1.76E+06,57.315,3.50E+05,728,4.44E+06,143.37,8.74E+05,
121216Spry_X5,76,TE,I,4751,177.84,330.56,39.044,729.26,3.46E+06,182.02,8.65E+05,48.629,2.31E+05,640.9,3.04E+06,168.23,7.99E+05,
121216Spry_X5,77,TE,I,8297,180.51,200.49,40.749,668.48,5.55E+06,123.83,1.03E+06,144.54,1.20E+06,645.08,5.35E+06,173.99,1.44E+06,
121216Spry_X5,78,TE,I,5003,235.31,186.07,39.664,719.19,3.60E+06,147.5,7.38E+05,44.352,2.22E+05,600.45,3.00E+06,185.11,9.26E+05,
121216Spry_X5,79,TE,I,6234,325.42,224.43,43.962,782.29,4.88E+06,120.06,7.48E+05,110.6,6.89E+05,605.25,3.77E+06,93.707,5.84E+05,
121216Spry_X5,80,TE,I,7988,347.44,279.96,45.168,655.02,5.23E+06,103.67,8.28E+05,33.07,2.64E+05,595.98,4.76E+06,60.196,4.81E+05,
121216Spry_X5,81,TE,M,14340,174.61,291.93,48.397,577.28,8.28E+06,255.81,3.67E+06,44.217,6.34E+05,694.1,9.95E+06,93.909,1.35E+06,
121216Spry_X5,81.2,TE,I,14340,182,276,49,434.752,,131.009,,47.488,,657.077,,85.11,,
121216Spry_X5,83,TE,I,6806,150.9,238.4,45.474,428.44,2.92E+06,164.13,1.12E+06,135.35,9.21E+05,698.33,4.75E+06,148.33,1.01E+06,
121216Spry_X5,83.2,ICM,I,6806,172,245,41,387.606,,291.62,,357.647,,604.878,,90.022,,
121216Spry_X5,84,TE,I,1850,262.38,334.79,43.132,576.3,1.07E+06,113.79,2.11E+05,54.763,1.01E+05,578.08,1.07E+06,128.82,2.38E+05,
121216Spry_X5,85,TE,I,5125,293.25,203.54,46.524,932.86,4.78E+06,126.28,6.47E+05,67.59,3.46E+05,581.89,2.98E+06,71.304,3.65E+05,
121216Spry_X5,86,TE,I,5247,278.55,303.63,47.133,615.22,3.23E+06,71.841,3.77E+05,36.143,1.90E+05,609.44,3.20E+06,80.084,4.20E+05,
121216Spry_X5,87,TE,I,7380,203.03,325.52,47.138,506.07,3.73E+06,87.096,6.43E+05,73.37,5.41E+05,696.66,5.14E+06,159.44,1.18E+06,
121216Spry_X5,88,TE,I,3336,237.73,214.62,47.369,689.16,2.30E+06,68.412,2.28E+05,36.671,1.22E+05,647.43,2.16E+06,71.945,2.40E+05,
121216Spry_X5,89,TE,I,8464,131.85,271.24,49.325,421.41,3.57E+06,118.11,1.00E+06,49.51,4.19E+05,650.34,5.50E+06,89.907,7.61E+05,
121216Spry_X5,90,TE,I,8601,268.23,188.62,48.366,616.61,5.30E+06,137.68,1.18E+06,41.582,3.58E+05,663.8,5.71E+06,66.115,5.69E+05,
121216Spry_X5,91,TE,I,6640,202.61,211.21,46.843,515.33,3.42E+06,103.1,6.85E+05,91.224,6.06E+05,683.63,4.54E+06,129.73,8.61E+05,
121216Spry_X5,91.2,TE,I,6640,194,232,43,361.64,,242.017,,70.684,,676.558,,284.011,,
121216Spry_X5,92,TE,I,4624,304.34,231.52,51.047,738.77,3.42E+06,92.057,4.26E+05,35.163,1.63E+05,672.92,3.11E+06,70.367,3.25E+05,
121216Spry_X5,93,TE,I,5612,357.89,246.63,48.165,731.21,4.10E+06,84.543,4.74E+05,23.567,1.32E+05,606.35,3.40E+06,60.267,3.38E+05,
121216Spry_X5,94,TE,I,5419,235.24,287.76,49.54,451.04,2.44E+06,95.636,5.18E+05,26.907,1.46E+05,674.47,3.66E+06,114.18,6.19E+05,
121216Spry_X5,95,TE,I,5902,317.47,316.04,49.867,693.19,4.09E+06,77.35,4.57E+05,33.298,1.97E+05,636.48,3.76E+06,72.885,4.30E+05,
