Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
101416Spry4_B1,1,TE,I,11281,246.14,239.81,6.2712,1638,1.85E+07,188.04,2.12E+06,369.39,4.17E+06,1375.4,1.55E+07,1002.3,1.13E+07,
101416Spry4_B1,2,TE,I,13336,225.23,186.8,8.6207,1192.4,1.59E+07,193.16,2.58E+06,126.17,1.68E+06,1426.5,1.90E+07,472.52,6.30E+06,
101416Spry4_B1,3,TE,I,14253,225.04,272.94,8.3514,1379.9,1.97E+07,167.4,2.39E+06,354.83,5.06E+06,1507.8,2.15E+07,709.89,1.01E+07,
101416Spry4_B1,4,ICM,I,11314,189.11,235.12,7.6458,1741.9,1.97E+07,190.93,2.16E+06,746.9,8.45E+06,1463.5,1.66E+07,914.13,1.03E+07,
101416Spry4_B1,5,TE,I,14427,291.07,242.22,8.7891,1498.4,2.16E+07,148.56,2.14E+06,244.76,3.53E+06,1471.9,2.12E+07,403.33,5.82E+06,
101416Spry4_B1,6,TE,I,9538,152.48,273.26,9.0686,1236.5,1.18E+07,146.93,1.40E+06,66.733,6.37E+05,1506.3,1.44E+07,359.11,3.43E+06,
101416Spry4_B1,7,TE,I,7764,289.04,304,11.016,1374.4,1.07E+07,162.87,1.26E+06,108.38,8.41E+05,1497.6,1.16E+07,511.28,3.97E+06,
101416Spry4_B1,8,ICM,I,13308,181.64,310.61,13.266,1486,1.98E+07,155.84,2.07E+06,461.03,6.14E+06,1481.1,1.97E+07,780.76,1.04E+07,
101416Spry4_B1,9,TE,I,10260,230.85,327.83,12.689,997.13,1.02E+07,148.24,1.52E+06,83.125,8.53E+05,1392.2,1.43E+07,413.71,4.24E+06,
101416Spry4_B1,10,TE,I,6838,168.25,184.07,17.107,1557.6,1.07E+07,149.95,1.03E+06,105.02,7.18E+05,1619.1,1.11E+07,447.24,3.06E+06,
101416Spry4_B1,11,TE,I,3973,252.08,203.72,16.564,1632,6.48E+06,99.403,3.95E+05,76.77,3.05E+05,1256.6,4.99E+06,276.35,1.10E+06,
