Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum
041817Spry_AI5,1,TE,I,10004,232.26,209.14,4.7731,1973.4,1.97E+07,42.484,4.25E+05,38.977,3.90E+05,1026,1.03E+07,262.38,2.62E+06
041817Spry_AI5,2,TE,I,6477,180,251.13,4.3566,2594.8,1.68E+07,45.275,2.93E+05,64.652,4.19E+05,996.71,6.46E+06,261.79,1.70E+06
041817Spry_AI5,3,TE,I,6651,248.76,279.66,3.6646,2311.4,1.54E+07,40.28,2.68E+05,39.345,2.62E+05,1045.6,6.95E+06,327.5,2.18E+06
041817Spry_AI5,4,TE,I,7449,140.89,282.43,5.3105,2123.6,1.58E+07,36.927,2.75E+05,46.072,3.43E+05,975.48,7.27E+06,229.32,1.71E+06
041817Spry_AI5,5,TE,I,12950,186.11,205.77,7.3278,1756.9,2.28E+07,37.812,4.90E+05,35.158,4.55E+05,1026.3,1.33E+07,190.12,2.46E+06
041817Spry_AI5,6,TE,I,9882,309.54,239.8,8.112,2193.3,2.17E+07,39.026,3.86E+05,34.051,3.36E+05,1059.2,1.05E+07,234.67,2.32E+06
041817Spry_AI5,7,ICM,I,11923,210.4,270.1,11.697,2084.7,2.49E+07,34.471,4.11E+05,52.679,6.28E+05,1052.1,1.25E+07,1007.7,1.20E+07
041817Spry_AI5,8,TE,I,8736,286.59,317.6,9.5877,2131.9,1.86E+07,36.669,3.20E+05,33.883,2.96E+05,1050.4,9.18E+06,248.7,2.17E+06
041817Spry_AI5,9,ICM,I,14136,153.29,241.06,10.652,1896.1,2.68E+07,39.812,5.63E+05,688.02,9.73E+06,948.34,1.34E+07,93.075,1.32E+06
041817Spry_AI5,10,ICM,I,17355,191.86,315.38,13.334,1354,2.35E+07,30.59,5.31E+05,444.97,7.72E+06,1010.9,1.75E+07,60.099,1.04E+06
041817Spry_AI5,11,ICM,I,5886,135.24,265.7,13.456,2095.8,1.23E+07,38.021,2.24E+05,234.17,1.38E+06,1025.7,6.04E+06,802.96,4.73E+06
041817Spry_AI5,12,TE,I,13520,236.59,351.69,17.464,1624.1,2.20E+07,27.258,3.69E+05,25.894,3.50E+05,1037.5,1.40E+07,100.98,1.37E+06
041817Spry_AI5,13,ICM,I,5205,179.62,237.19,15.318,1892,9.85E+06,33.973,1.77E+05,70.851,3.69E+05,1018.7,5.30E+06,922.82,4.80E+06
041817Spry_AI5,14,ICM,I,14744,153.27,305.7,17.693,1621.4,2.39E+07,33.703,4.97E+05,424.97,6.27E+06,1070.7,1.58E+07,116.98,1.72E+06
041817Spry_AI5,15,ICM,I,6991,101.32,262.23,16.74,1798.2,1.26E+07,36.673,2.56E+05,63.582,4.45E+05,1071.4,7.49E+06,845.23,5.91E+06
041817Spry_AI5,16,ICM,I,8932,208.82,185.79,18.06,1874.1,1.67E+07,32.346,2.89E+05,42.217,3.77E+05,1067.9,9.54E+06,587.08,5.24E+06
041817Spry_AI5,17,TE,I,13211,128.32,174.77,22.186,2181.6,2.88E+07,30.302,4.00E+05,30.397,4.02E+05,977.67,1.29E+07,188.92,2.50E+06
041817Spry_AI5,18,TE,I,13167,354.71,294.97,22.027,2525,3.32E+07,33.058,4.35E+05,31.523,4.15E+05,980.93,1.29E+07,233.15,3.07E+06
041817Spry_AI5,19,TE,I,7743,256.98,154.14,21.41,2216.9,1.72E+07,32.684,2.53E+05,29.543,2.29E+05,1041.2,8.06E+06,135.61,1.05E+06
041817Spry_AI5,20,ICM,I,5553,195.61,212.68,20.092,2197.3,1.22E+07,29.443,1.64E+05,40.852,2.27E+05,1069.8,5.94E+06,727.58,4.04E+06
041817Spry_AI5,22,TE,I,8779,85.601,214.75,24.57,1812.4,1.59E+07,35.467,3.11E+05,72.889,6.40E+05,1031.9,9.06E+06,141.65,1.24E+06
041817Spry_AI5,23,TE,I,6011,70.983,270.23,23.986,1946.9,1.17E+07,35.281,2.12E+05,61.511,3.70E+05,994.19,5.98E+06,171.8,1.03E+06
