Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
101816Spry_D4,1,TE,I,5367,250.97,228.74,4.0723,2171.6,1.17E+07,64.797,3.48E+05,64.447,3.46E+05,1235.5,6.63E+06,340.19,1.83E+06,
101816Spry_D4,2,TE,I,8188,265.82,289.37,4.6488,2838.2,2.32E+07,70.029,5.73E+05,55.604,4.55E+05,1219,9.98E+06,158.02,1.29E+06,
101816Spry_D4,3,TE,I,6943,185.26,225.29,4.7068,2185.7,1.52E+07,53.828,3.74E+05,119.39,8.29E+05,1180.5,8.20E+06,358.26,2.49E+06,
101816Spry_D4,4,TE,I,14507,313.94,218.39,6.1342,2195,3.18E+07,37.762,5.48E+05,44.983,6.53E+05,1269.9,1.84E+07,99.546,1.44E+06,
101816Spry_D4,5,TE,I,6357,213.41,265.4,4.6099,2297.7,1.46E+07,56.761,3.61E+05,69.617,4.43E+05,1199.9,7.63E+06,461.65,2.93E+06,
101816Spry_D4,6,TE,I,7408,168.23,264.92,5.2512,2087.7,1.55E+07,54.728,4.05E+05,77.691,5.76E+05,1347.6,9.98E+06,279.35,2.07E+06,
101816Spry_D4,7,TE,I,8552,301.79,295,9.5561,2506.4,2.14E+07,65.578,5.61E+05,61.743,5.28E+05,1210,1.03E+07,128.43,1.10E+06,
101816Spry_D4,8,TE,I,6714,211.13,306.04,10.474,1720.7,1.16E+07,46.032,3.09E+05,55.066,3.70E+05,1205.1,8.09E+06,476.92,3.20E+06,
101816Spry_D4,9,TE,I,7349,200.79,189.67,11.41,2127.9,1.56E+07,44.618,3.28E+05,52.03,3.82E+05,1180.6,8.68E+06,235.4,1.73E+06,
101816Spry_D4,10,ICM,I,10821,142.24,237.37,10.867,1358.4,1.47E+07,38.805,4.20E+05,890.2,9.63E+06,1297.2,1.40E+07,133.8,1.45E+06,
101816Spry_D4,11,ICM,I,9162,129.67,273.96,12.319,1492.2,1.37E+07,43.507,3.99E+05,1361.7,1.25E+07,1264.3,1.16E+07,96.137,8.81E+05,
101816Spry_D4,13,ICM,I,7133,174.73,294.9,11.082,1592.5,1.14E+07,50.727,3.62E+05,74.374,5.31E+05,1283,9.15E+06,1267,9.04E+06,
101816Spry_D4,14,TE,I,4722,267.9,180.45,12.625,2216.3,1.05E+07,59.598,2.81E+05,58.754,2.77E+05,1194.8,5.64E+06,225.36,1.06E+06,
101816Spry_D4,15,ICM,I,2830,173.52,234.78,10.635,1844.1,5.22E+06,41.644,1.18E+05,475.96,1.35E+06,1209.2,3.42E+06,308.1,8.72E+05,
101816Spry_D4,16,TE,I,4327,331.34,274.16,11.925,2344.5,1.01E+07,61.521,2.66E+05,62.14,2.69E+05,1211.5,5.24E+06,146.73,6.35E+05,
101816Spry_D4,17,TE,I,5971,241.46,187.15,13.084,1722.1,1.03E+07,45.652,2.73E+05,54.416,3.25E+05,1204.5,7.19E+06,266.96,1.59E+06,
101816Spry_D4,18,TE,I,18535,372.53,242.01,15.068,1293.8,2.40E+07,33.804,6.27E+05,30.668,5.68E+05,1292.1,2.39E+07,56.1,1.04E+06,
101816Spry_D4,19,TE,I,7619,86.085,263.39,15.145,1632.8,1.24E+07,43.479,3.31E+05,64.481,4.91E+05,1207.8,9.20E+06,138.06,1.05E+06,
101816Spry_D4,22,TE,I,13291,335.77,173.98,16.554,2042.5,2.71E+07,31.782,4.22E+05,33.908,4.51E+05,1288.9,1.71E+07,62.188,8.27E+05,
101816Spry_D4,23,ICM,I,5247,103.62,242.8,15.169,1530.7,8.03E+06,42.662,2.24E+05,412.81,2.17E+06,1259.7,6.61E+06,213.21,1.12E+06,
101816Spry_D4,24,ICM,I,4374,121.53,225.38,14.787,1366.8,5.98E+06,42.372,1.85E+05,1521.9,6.66E+06,1196.9,5.24E+06,124.86,5.46E+05,
101816Spry_D4,25,TE,I,6229,238.1,336.02,17.219,1608.4,1.00E+07,45.32,2.82E+05,49.8,3.10E+05,1162.8,7.24E+06,398.45,2.48E+06,
