Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
091917Spry_AU2,2,TE,I,13509,302.7,246.84,5.7662,2366.9,3.20E+07,87.434,1.18E+06,71.129,9.61E+05,1542.7,2.08E+07,362.65,4.90E+06,
091917Spry_AU2,3,TE,I,9660,290.43,306.13,6.7478,2804,2.71E+07,113.46,1.10E+06,65.151,6.29E+05,1523.2,1.47E+07,336.39,3.25E+06,
091917Spry_AU2,4,TE,I,10316,165.58,247.84,8.8178,2100.9,2.17E+07,108.74,1.12E+06,73.975,7.63E+05,1450.5,1.50E+07,529.79,5.47E+06,
091917Spry_AU2,5,TE,I,7625,353.65,271.53,7.3873,2530.8,1.93E+07,95.997,7.32E+05,64.113,4.89E+05,1468.4,1.12E+07,375.74,2.87E+06,
091917Spry_AU2,6,TE,I,17311,141.67,285.96,7.5023,2288.5,3.96E+07,121.02,2.09E+06,86.11,1.49E+06,1445.2,2.50E+07,756.34,1.31E+07,
091917Spry_AU2,6.2,ICM,I,17311,120,262,12,1540.359,,175.457,,978.677,,1421.053,,787.65,,
091917Spry_AU2,7,TE,I,7539,327.06,313.56,7.0707,2414.5,1.82E+07,98.457,7.42E+05,73.773,5.56E+05,1467,1.11E+07,487.05,3.67E+06,
091917Spry_AU2,8,TE,I,11421,138.19,208.93,8.488,2122.5,2.42E+07,99.798,1.14E+06,94.951,1.08E+06,1446.8,1.65E+07,486.5,5.56E+06,
091917Spry_AU2,9,TE,I,13902,345.99,223.99,8.6729,2384.7,3.32E+07,86.187,1.20E+06,63.841,8.88E+05,1479.8,2.06E+07,295.76,4.11E+06,
091917Spry_AU2,10,TE,I,11635,262.2,273.05,11.529,2499.1,2.91E+07,87.213,1.01E+06,66.85,7.78E+05,1495.7,1.74E+07,383.21,4.46E+06,
091917Spry_AU2,11,TE,I,11818,300.12,180.24,11.504,2194.2,2.59E+07,73.829,8.73E+05,55.007,6.50E+05,1533.1,1.81E+07,344.57,4.07E+06,
091917Spry_AU2,12,TE,I,13881,175.1,308.9,12.991,2213.6,3.07E+07,89.765,1.25E+06,61.254,8.50E+05,1467.5,2.04E+07,466.04,6.47E+06,
091917Spry_AU2,13,TE,I,6191,312.5,348.4,15.5,2792.8,1.73E+07,103.41,6.40E+05,59.669,3.69E+05,1612.6,9.98E+06,382.97,2.37E+06,
091917Spry_AU2,14,TE,I,15344,84.529,239.37,16.157,1739.3,2.67E+07,95.283,1.46E+06,133.4,2.05E+06,1410.8,2.16E+07,490.71,7.53E+06,
091917Spry_AU2,15,TE,I,5084,201.75,278.48,12.867,2499.1,1.27E+07,94.035,4.78E+05,62.298,3.17E+05,1404.1,7.14E+06,513.46,2.61E+06,
091917Spry_AU2,16,TE,I,9104,372.36,307.14,15.639,2388,2.17E+07,86.153,7.84E+05,69.072,6.29E+05,1518.8,1.38E+07,452.41,4.12E+06,
