Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
022017Spry_AF2,7,out,I,11276,299.53,306.94,7.7933,1473.1,1.66E+07,54.223,6.11E+05,383.92,4.33E+06,298.74,3.37E+06,701.95,7.92E+06,
022017Spry_AF2,8,out,I,16290,234.18,345.09,8.4889,1552.4,2.53E+07,52.382,8.53E+05,257.59,4.20E+06,311.16,5.07E+06,708.23,1.15E+07,
022017Spry_AF2,9,out,M,15321,209.68,210.15,9.439,1996,3.06E+07,43.478,6.66E+05,103.49,1.59E+06,296.49,4.54E+06,207.04,3.17E+06,
022017Spry_AF2,10,out,I,13699,178.07,286.24,10.319,1675.6,2.30E+07,49.059,6.72E+05,514.75,7.05E+06,311.16,4.26E+06,605.66,8.30E+06,
022017Spry_AF2,12,out,M,13757,329.24,206.35,15.765,1993.6,2.74E+07,36.784,5.06E+05,94.606,1.30E+06,305.6,4.20E+06,190.32,2.62E+06,
022017Spry_AF2,15,in,I,23444,272.63,258.74,18.263,812.01,1.90E+07,32.075,7.52E+05,150.67,3.53E+06,291.87,6.84E+06,279.62,6.56E+06,
022017Spry_AF2,16,in,I,19535,232.79,287.9,22.435,887.33,1.73E+07,28.47,5.56E+05,235.16,4.59E+06,298.05,5.82E+06,364.05,7.11E+06,
022017Spry_AF2,17,out,I,21400,349.49,318.77,22.066,1280.8,2.74E+07,43.449,9.30E+05,353.58,7.57E+06,326.79,6.99E+06,440.04,9.42E+06,
022017Spry_AF2,20,in,I,15039,291.29,201.71,29.155,716.95,1.08E+07,27.085,4.07E+05,250.79,3.77E+06,301.84,4.54E+06,303.25,4.56E+06,
022017Spry_AF2,21,in,I,18886,199.15,240.82,29.427,792.6,1.50E+07,24.86,4.70E+05,256.6,4.85E+06,291.6,5.51E+06,417.39,7.88E+06,
022017Spry_AF2,24,in,I,10277,263.49,317.56,33.004,543.55,5.59E+06,24.621,2.53E+05,164.52,1.69E+06,276.76,2.84E+06,258.74,2.66E+06,
022017Spry_AF2,26,in,I,19749,238.51,190.31,37.544,550.94,1.09E+07,21.559,4.26E+05,224.16,4.43E+06,275.81,5.45E+06,330.63,6.53E+06,
022017Spry_AF2,27,out,I,11819,358.2,241.45,36.067,629.04,7.43E+06,24.455,2.89E+05,84.525,9.99E+05,270.46,3.20E+06,206.32,2.44E+06,
022017Spry_AF2,29,in,I,17610,293.9,294.52,42.106,335.09,5.90E+06,20.698,3.64E+05,95.32,1.68E+06,277.33,4.88E+06,296.91,5.23E+06,
022017Spry_AF2,30,out,I,23866,170.55,305.38,43.483,328.72,7.85E+06,19.601,4.68E+05,116.2,2.77E+06,276.58,6.60E+06,154.21,3.68E+06,
022017Spry_AF2,31,in,I,27912,229.62,232.44,49.126,293.77,8.20E+06,17.758,4.96E+05,114.08,3.18E+06,275.34,7.69E+06,203.14,5.67E+06,
022017Spry_AF2,32,out,I,40217,176.19,212.04,47.462,396.19,1.59E+07,23.758,9.55E+05,107.79,4.34E+06,283.86,1.14E+07,153.91,6.19E+06,
022017Spry_AF2,33,in,I,18805,294,233.54,48.807,240.57,4.52E+06,18.122,3.41E+05,92.088,1.73E+06,331.51,6.23E+06,191.59,3.60E+06,
022017Spry_AF2,34,out,I,43358,293.49,169.11,48.179,239.67,1.04E+07,20.573,8.92E+05,121.45,5.27E+06,278.25,1.21E+07,117.8,5.11E+06,
022017Spry_AF2,35,in,I,26249,243.4,320.5,49.934,194.16,5.10E+06,18.622,4.89E+05,55.048,1.44E+06,267.26,7.02E+06,114.3,3.00E+06,
022017Spry_AF2,37,out,I,7050,282.8,280.26,55.43,265.35,1.87E+06,17.06,1.20E+05,53.289,3.76E+05,262.75,1.85E+06,108.14,7.62E+05,
