Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
102116Spry_F4,1,TE,I,20884,232.89,229.38,8.7344,791.03,1.65E+07,60.82,1.27E+06,216.97,4.53E+06,1248.9,2.61E+07,684.42,1.43E+07,
102116Spry_F4,2,TE,I,24605,247.39,311.47,11.705,857.32,2.11E+07,52.03,1.28E+06,160.42,3.95E+06,1252.8,3.08E+07,559.26,1.38E+07,
102116Spry_F4,3,TE,I,28188,313,231.57,12.085,645.43,1.82E+07,49.102,1.38E+06,392.82,1.11E+07,1166.7,3.29E+07,497.08,1.40E+07,
102116Spry_F4,4,ICM,I,19557,249.44,247.29,24.319,524.39,1.03E+07,35.306,6.90E+05,269.89,5.28E+06,1259.1,2.46E+07,354.12,6.93E+06,
102116Spry_F4,5,ICM,I,26590,297.46,307.56,28.975,327.52,8.71E+06,34.378,9.14E+05,124.75,3.32E+06,1284.1,3.41E+07,234.7,6.24E+06,
102116Spry_F4,6,TE,I,24584,268.73,166.24,31.949,370.44,9.11E+06,34.301,8.43E+05,128.26,3.15E+06,1282,3.15E+07,260.4,6.40E+06,
102116Spry_F4,7,TE,I,31276,193.86,240.18,31.914,375.42,1.17E+07,33.749,1.06E+06,185.7,5.81E+06,1258.6,3.94E+07,220.28,6.89E+06,
102116Spry_F4,8,TE,I,23498,357.81,274.06,34.369,402.01,9.45E+06,35.08,8.24E+05,167.05,3.93E+06,1329.1,3.12E+07,338.46,7.95E+06,
102116Spry_F4,9,TE,I,26473,312.31,348.87,39.313,312.54,8.27E+06,30.196,7.99E+05,199.37,5.28E+06,1370,3.63E+07,308.4,8.16E+06,
102116Spry_F4,10,ICM,I,24520,286.26,256.02,42.615,183.05,4.49E+06,22.71,5.57E+05,62.252,1.53E+06,1193.3,2.93E+07,193.53,4.75E+06,
102116Spry_F4,11,TE,I,29872,227.88,315.59,40.79,254.57,7.60E+06,28.418,8.49E+05,150.33,4.49E+06,1209,3.61E+07,173.42,5.18E+06,
102116Spry_F4,12,ICM,I,15953,252.64,211.26,45.154,202.99,3.24E+06,23.021,3.67E+05,29.627,4.73E+05,1226.7,1.96E+07,155.9,2.49E+06,
102116Spry_F4,13,TE,I,34133,336.69,197.38,48.681,163.34,5.58E+06,24.178,8.25E+05,35.747,1.22E+06,1282.3,4.38E+07,159.79,5.45E+06,
102116Spry_F4,14,TE,I,29620,207.96,173.53,50.83,263.58,7.81E+06,25.751,7.63E+05,63.912,1.89E+06,1370.3,4.06E+07,136.47,4.04E+06,
102116Spry_F4,15,TE,I,26702,309.57,281.53,57.562,106.48,2.84E+06,20.665,5.52E+05,260.86,6.97E+06,1179.6,3.15E+07,115.5,3.08E+06,
102116Spry_F4,16,TE,I,19994,231.91,253.67,63.557,97.765,1.95E+06,19.072,3.81E+05,55.759,1.11E+06,1202.9,2.41E+07,108.96,2.18E+06,
