Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
022317Spry_AG9,1,TE,I,5240,270.87,232.76,4.3219,3115.3,1.63E+07,39.646,2.08E+05,155.76,8.16E+05,293.36,1.54E+06,330.71,1.73E+06,
022317Spry_AG9,2,TE,I,3045,221.28,254.8,3.4703,3136.8,9.55E+06,48.597,1.48E+05,142,4.32E+05,320.06,9.75E+05,141.27,4.30E+05,
022317Spry_AG9,3,TE,I,6570,262.27,278.06,4.9387,2598.4,1.71E+07,43.343,2.85E+05,177.66,1.17E+06,299.68,1.97E+06,211.77,1.39E+06,
022317Spry_AG9,4,TE,I,7433,295.92,255.08,5.6296,2649.1,1.97E+07,39.584,2.94E+05,150.82,1.12E+06,338.09,2.51E+06,142.92,1.06E+06,
022317Spry_AG9,5,TE,I,8663,296.67,212.31,7.8214,2536.5,2.20E+07,39.261,3.40E+05,133.52,1.16E+06,311.57,2.70E+06,161.52,1.40E+06,
022317Spry_AG9,6,TE,I,5918,305.87,288.44,6.4218,1855.8,1.10E+07,40.292,2.38E+05,148.09,8.76E+05,318.23,1.88E+06,136.26,8.06E+05,
022317Spry_AG9,7,TE,I,10281,248.79,198.29,9.648,2533.9,2.61E+07,40.733,4.19E+05,190.53,1.96E+06,314.08,3.23E+06,259.38,2.67E+06,
022317Spry_AG9,8,ICM,I,9900,182.7,242.57,10.387,2706.8,2.68E+07,86.021,8.52E+05,483.58,4.79E+06,306.94,3.04E+06,91.803,9.09E+05,
022317Spry_AG9,9,ICM,I,8547,243.02,244.68,8.5378,2222.3,1.90E+07,47.625,4.07E+05,340.64,2.91E+06,295.33,2.52E+06,769.11,6.57E+06,
022317Spry_AG9,10,TE,I,4572,330.37,269.79,9.3959,2051.9,9.38E+06,36.867,1.69E+05,124.59,5.70E+05,337.57,1.54E+06,163.4,7.47E+05,
022317Spry_AG9,11,TE,I,9147,279.84,315.27,13.074,2486,2.27E+07,34.471,3.15E+05,118.54,1.08E+06,320.42,2.93E+06,115.39,1.06E+06,
022317Spry_AG9,12,ICM,I,5100,209.32,224.46,11.628,2330.9,1.19E+07,121.55,6.20E+05,988.34,5.04E+06,369.48,1.88E+06,707.57,3.61E+06,
022317Spry_AG9,13,TE,I,9277,156.12,225.87,15.849,2803.3,2.60E+07,57.189,5.31E+05,147.82,1.37E+06,326.91,3.03E+06,70.364,6.53E+05,
022317Spry_AG9,14,TE,I,6033,339.38,231.78,10.13,1651.3,9.96E+06,34.124,2.06E+05,105.98,6.39E+05,300.96,1.82E+06,179.42,1.08E+06,
022317Spry_AG9,15,TE,M,6623,194.52,290.2,10.352,2204.7,1.46E+07,45.29,3.00E+05,183.79,1.22E+06,304.94,2.02E+06,142.54,9.44E+05,
022317Spry_AG9,16,TE,I,7293,324.14,307.45,12.234,1798.2,1.31E+07,38.139,2.78E+05,134.88,9.84E+05,324.96,2.37E+06,138.05,1.01E+06,
022317Spry_AG9,17,TE,M,7039,237.35,308.53,13.214,2946.9,2.07E+07,37.59,2.65E+05,165.06,1.16E+06,343.87,2.42E+06,166.59,1.17E+06,
022317Spry_AG9,18,ICM,I,518,164.25,268.71,13.351,1777.4,9.21E+05,59.705,30927,455.71,2.36E+05,312.85,1.62E+05,71.264,36915,
022317Spry_AG9,19,TE,I,7871,178.84,191.77,17.267,3197.5,2.52E+07,29.704,2.34E+05,159.77,1.26E+06,304.67,2.40E+06,54.301,4.27E+05,
022317Spry_AG9,20,TE,I,7065,330.14,208.77,17.058,2590,1.83E+07,33.188,2.34E+05,91.668,6.48E+05,345.68,2.44E+06,134.77,9.52E+05,
022317Spry_AG9,21,TE,I,7922,292.01,184.77,18.88,2010.6,1.59E+07,28.198,2.23E+05,95.349,7.55E+05,356.53,2.82E+06,186.64,1.48E+06,
022317Spry_AG9,22,ICM,I,3315,254.86,216.49,15.156,1913.3,6.34E+06,118.08,3.91E+05,1054,3.49E+06,309.32,1.03E+06,745.82,2.47E+06,
022317Spry_AG9,23,TE,I,5706,365.18,255.61,17.193,1763.6,1.01E+07,41.872,2.39E+05,99.1,5.65E+05,302.98,1.73E+06,121.09,6.91E+05,
022317Spry_AG9,24,TE,I,8022,183.68,318.22,21.161,2714.1,2.18E+07,37.027,2.97E+05,100.17,8.04E+05,313.05,2.51E+06,125.96,1.01E+06,
022317Spry_AG9,24.2,ICM,I,8022,174,302,27,1502.823,,34.523,,185.601,,316.95,,49.901,,
022317Spry_AG9,25,TE,I,5067,351.32,301.71,19.093,1594.8,8.08E+06,42.813,2.17E+05,105.34,5.34E+05,319.85,1.62E+06,119.56,6.06E+05,
022317Spry_AG9,26,ICM,I,4887,210.88,198.04,19.115,2322.8,1.14E+07,53.791,2.63E+05,378.08,1.85E+06,328.35,1.60E+06,531.49,2.60E+06,
022317Spry_AG9,27,ICM,I,10783,157.43,278.17,20.855,1964.2,2.12E+07,43.894,4.73E+05,303.52,3.27E+06,318.22,3.43E+06,62.018,6.69E+05,
022317Spry_AG9,28,TE,I,8129,387.2,230.54,22.989,1559.3,1.27E+07,28.103,2.28E+05,100.34,8.16E+05,342.05,2.78E+06,68.208,5.54E+05,
022317Spry_AG9,29,ICM,I,3794,203.84,240.28,20.138,1797.4,6.82E+06,73.887,2.80E+05,599.93,2.28E+06,381.83,1.45E+06,502.23,1.91E+06,
022317Spry_AG9,30,ICM,I,6937,203.82,284.51,21.24,1732.2,1.20E+07,72.893,5.06E+05,632.31,4.39E+06,303.16,2.10E+06,455.5,3.16E+06,
022317Spry_AG9,31,TE,I,7318,333.73,329.12,21.081,1536.9,1.12E+07,37.995,2.78E+05,119.74,8.76E+05,302.46,2.21E+06,109.76,8.03E+05,
