Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
052417Spry_AQ6,2,TE,I,9723,191,228,3,2530.312,,101.924,,46.128,,579.539,,131.453,,
052417Spry_AQ6,2.2,ICM,I,9723,191,225,8,2658.515,,373.843,,49.877,,546.354,,367.145,,
052417Spry_AQ6,3,ICM,M,13230,153.76,278.56,7.435,2037.2,2.70E+07,258.05,3.41E+06,38.437,5.09E+05,491.14,6.50E+06,251.8,3.33E+06,
052417Spry_AQ6,4,TE,I,10810,347.66,292.17,6.2043,2081.9,2.25E+07,99.296,1.07E+06,49.206,5.32E+05,476.99,5.16E+06,71.551,7.73E+05,
052417Spry_AQ6,5,TE,I,5361,190.54,294.19,4.847,2307.8,1.24E+07,107.23,5.75E+05,45.445,2.44E+05,537.17,2.88E+06,114.34,6.13E+05,
052417Spry_AQ6,6,TE,I,6217,218.95,293.6,7.3601,1628.6,1.01E+07,61.411,3.82E+05,32.091,2.00E+05,553.03,3.44E+06,75.849,4.72E+05,
052417Spry_AQ6,7,TE,I,11601,326.23,319.21,8.8075,2105.6,2.44E+07,87.686,1.02E+06,44.407,5.15E+05,515.74,5.98E+06,73.632,8.54E+05,
052417Spry_AQ6,8,TE,I,12364,278.52,348.75,7.732,2738.9,3.39E+07,43.119,5.33E+05,20.947,2.59E+05,538.01,6.65E+06,50.148,6.20E+05,
052417Spry_AQ6,9,TE,I,7127,186.15,184.35,8.7522,1460.3,1.04E+07,68.358,4.87E+05,32.441,2.31E+05,568.86,4.05E+06,106.74,7.61E+05,
052417Spry_AQ6,10,TE,I,1737,341.63,211.85,5.3132,480.89,8.35E+05,67.397,1.17E+05,41.048,71301,545.26,9.47E+05,35.26,61247,
052417Spry_AQ6,11,TE,I,5595,386.78,257.06,9.4248,2477.9,1.39E+07,90.692,5.07E+05,44.187,2.47E+05,551.84,3.09E+06,89.088,4.98E+05,
