Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
102516Spry_H8,1,TE,I,6549,211.64,223.53,3.459,1909.7,1.25E+07,68.948,4.52E+05,75.016,4.91E+05,1288.3,8.44E+06,303.54,1.99E+06,
102516Spry_H8,3,TE,M,8699,191.88,308.06,5.1061,2241,1.95E+07,62.343,5.42E+05,44.982,3.91E+05,1267.3,1.10E+07,126.56,1.10E+06,
102516Spry_H8,4,TE,I,9952,271.57,254.35,6.0192,1265.2,1.26E+07,51.127,5.09E+05,51.565,5.13E+05,1252.7,1.25E+07,269.18,2.68E+06,
102516Spry_H8,5,ICM,I,8957,237.82,257.08,7.5912,1444,1.29E+07,68.235,6.11E+05,929.06,8.32E+06,1203.9,1.08E+07,128.41,1.15E+06,
102516Spry_H8,6,TE,I,10303,293.4,313.94,6.771,1063.3,1.10E+07,44.268,4.56E+05,44.813,4.62E+05,1315.1,1.36E+07,208.73,2.15E+06,
102516Spry_H8,8,TE,M,10930,266.34,188.41,9.909,2222.4,2.43E+07,66.812,7.30E+05,37.217,4.07E+05,1334.2,1.46E+07,117.07,1.28E+06,
102516Spry_H8,9,ICM,I,10004,162.78,265.44,8.7124,1254.6,1.26E+07,95.221,9.53E+05,57.077,5.71E+05,1278.5,1.28E+07,465.95,4.66E+06,
102516Spry_H8,10,TE,I,8554,194.96,189.36,11.254,1806.6,1.55E+07,57.788,4.94E+05,49.697,4.25E+05,1347,1.15E+07,209.99,1.80E+06,
102516Spry_H8,11,ICM,I,7408,176.92,216.42,11.981,1622.1,1.20E+07,72.477,5.37E+05,1064.9,7.89E+06,1265.6,9.38E+06,117.91,8.73E+05,
102516Spry_H8,12,TE,I,11030,338.32,275.73,9.6059,1035.3,1.14E+07,38.81,4.28E+05,86.772,9.57E+05,1334.6,1.47E+07,174.76,1.93E+06,
102516Spry_H8,13,ICM,I,9967,238.01,288.44,15.126,1051.4,1.05E+07,65.728,6.55E+05,350.03,3.49E+06,1337.6,1.33E+07,540.74,5.39E+06,
102516Spry_H8,14,TE,I,13701,256.54,347.29,12.577,796.06,1.09E+07,41.689,5.71E+05,46.152,6.32E+05,1278.5,1.75E+07,138.08,1.89E+06,
102516Spry_H8,15,TE,I,16183,128.78,229.3,19.365,1421.1,2.30E+07,58.652,9.49E+05,61.038,9.88E+05,1318.3,2.13E+07,263.01,4.26E+06,
102516Spry_H8,16,TE,I,11221,325.46,341.22,15.698,1081.4,1.21E+07,39.396,4.42E+05,35.529,3.99E+05,1356.4,1.52E+07,94.537,1.06E+06,
102516Spry_H8,18,ICM,I,9500,206,252.21,16.194,1136.8,1.08E+07,58.099,5.52E+05,84.132,7.99E+05,1168.5,1.11E+07,795.31,7.56E+06,
102516Spry_H8,20,ICM,I,13664,243.01,232.36,21.26,1065,1.46E+07,46.325,6.33E+05,562.49,7.69E+06,1203.9,1.65E+07,420.02,5.74E+06,
102516Spry_H8,21,ICM,I,11849,128.28,287.37,21.114,1026.2,1.22E+07,54.275,6.43E+05,229.38,2.72E+06,1334.9,1.58E+07,351.61,4.17E+06,
102516Spry_H8,22,ICM,I,10988,168.95,310.03,20.416,1171.6,1.29E+07,53.734,5.90E+05,833.1,9.15E+06,1309.1,1.44E+07,119.3,1.31E+06,
102516Spry_H8,23,ICM,I,7667,192.8,338.38,21.16,948.74,7.27E+06,63.441,4.86E+05,140.14,1.07E+06,1274.2,9.77E+06,553.33,4.24E+06,
102516Spry_H8,24,ICM,I,9196,206.43,292.36,22.717,752.2,6.92E+06,50.967,4.69E+05,294.09,2.70E+06,1349.3,1.24E+07,455.98,4.19E+06,
102516Spry_H8,25,TE,I,6507,361.19,327.11,23.085,1226.9,7.98E+06,36.185,2.35E+05,49.639,3.23E+05,1219.5,7.94E+06,101.64,6.61E+05,
102516Spry_H8,26,ICM,I,10562,226.86,341.93,22.901,732.33,7.73E+06,44.308,4.68E+05,742.65,7.84E+06,1248.3,1.32E+07,141.55,1.50E+06,
102516Spry_H8,27,TE,I,7892,338.23,181.39,24.752,1548.8,1.22E+07,41.861,3.30E+05,84.031,6.63E+05,1465.7,1.16E+07,172.2,1.36E+06,
102516Spry_H8,28,TE,I,12253,247.45,381.19,25.915,1065.6,1.31E+07,38.441,4.71E+05,36.957,4.53E+05,1326.7,1.63E+07,109.41,1.34E+06,
102516Spry_H8,29,ICM,I,12800,172.72,240.89,27.063,793.78,1.02E+07,48.168,6.17E+05,63.441,8.12E+05,1298.9,1.66E+07,517.26,6.62E+06,
