Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
112916Spry_Q4,2,TE,I,9577,281.59,241.52,6.107,1956.7,1.87E+07,379.89,3.64E+06,58.83,5.63E+05,540.03,5.17E+06,148.58,1.42E+06,
112916Spry_Q4,3,TE,I,9396,219.41,259.5,5.0872,1992.1,1.87E+07,363.97,3.42E+06,60.213,5.66E+05,577.69,5.43E+06,158.09,1.49E+06,
112916Spry_Q4,4,TE,I,11611,200.75,171.39,8.1983,1729.8,2.01E+07,242.64,2.82E+06,32.618,3.79E+05,667.72,7.75E+06,67.61,7.85E+05,
112916Spry_Q4,5,TE,I,13767,160.2,268.21,7.8,1347.4,1.85E+07,316.41,4.36E+06,59.035,8.13E+05,628.7,8.66E+06,139.36,1.92E+06,
112916Spry_Q4,6,TE,M,3075,218.31,296.67,8.1629,2703.3,8.31E+06,283.55,8.72E+05,44.42,1.37E+05,590.04,1.81E+06,116.02,3.57E+05,
112916Spry_Q4,7,TE,I,14507,255,204,9,2204.319,,385.024,,57.893,,584.105,,195.136,,
112916Spry_Q4,7,TE,I,14507,260,180,16,1752.875,,346.171,,49.719,,551.679,,149.282,,
112916Spry_Q4,8,TE,M,8577,259.49,304.93,7.2322,2047.8,1.76E+07,326.91,2.80E+06,48.698,4.18E+05,575.42,4.94E+06,191.65,1.64E+06,
112916Spry_Q4,9,TE,M,7293,145.7,318.46,13.515,2503.4,1.83E+07,200.56,1.46E+06,36.33,2.65E+05,560.98,4.09E+06,106.46,7.76E+05,
112916Spry_Q4,10,TE,I,8484,298.08,156.58,14.02,2139.6,1.82E+07,241.92,2.05E+06,34.383,2.92E+05,577.88,4.90E+06,72.682,6.17E+05,
112916Spry_Q4,11,TE,I,7394,298.8,195.34,13.068,1448.4,1.07E+07,324.65,2.40E+06,44.233,3.27E+05,602.35,4.45E+06,152.65,1.13E+06,
112916Spry_Q4,12,TE,I,6869,305.26,259.74,14.033,1552.6,1.07E+07,258.43,1.78E+06,37.313,2.56E+05,542.44,3.73E+06,88.192,6.06E+05,
112916Spry_Q4,13,TE,I,12664,300,317,13,2321.917,,269.295,,42.1,,564.545,,116.876,,
112916Spry_Q4,13.2,ICM,I,12664,285,306,19,2159.269,,236.653,,64.743,,579.413,,825.683,,
112916Spry_Q4,14,TE,I,6258,167.14,196.6,16.212,1928.4,1.21E+07,294.77,1.84E+06,50.561,3.16E+05,676.58,4.23E+06,140.08,8.77E+05,
112916Spry_Q4,15,ICM,I,4606,199.27,282.55,15.294,1613.3,7.43E+06,221.75,1.02E+06,52.277,2.41E+05,589.86,2.72E+06,1045.7,4.82E+06,
112916Spry_Q4,16,ICM,I,7997,143.28,291.47,17.52,1792.5,1.43E+07,340.72,2.72E+06,316.59,2.53E+06,621.08,4.97E+06,113.4,9.07E+05,
112916Spry_Q4,17,TE,I,4266,333.17,143.51,17.181,1492.9,6.37E+06,224.88,9.59E+05,32.898,1.40E+05,629.26,2.68E+06,60.899,2.60E+05,
112916Spry_Q4,18,ICM,I,12757,264,220,17,1609.888,,250.543,,66.058,,585.158,,1065.715,,
112916Spry_Q4,18.2,ICM,I,12757,260,241,17,1733.54,,260.728,,64.732,,551.76,,1112.26,,
112916Spry_Q4,18.3,ICM,I,12757,249,256,21,1333.209,,194.313,,57.352,,581.622,,1156.034,,
112916Spry_Q4,19,ICM,I,5616,191.16,255.04,17.058,1331.6,7.48E+06,257.74,1.45E+06,64.278,3.61E+05,651.63,3.66E+06,893.76,5.02E+06,
112916Spry_Q4,20,ICM,M,4436,223.68,342.68,16.777,2193,9.73E+06,289.33,1.28E+06,41.43,1.84E+05,710.28,3.15E+06,179.45,7.96E+05,
112916Spry_Q4,21,ICM,I,4436,240,221.5,15,1372.734,,303.612,,68.11,,561.871,,1300.941,,
112916Spry_Q4,22,ICM,I,10180,134.44,263.03,19.25,1586.4,1.62E+07,316.13,3.22E+06,71.118,7.24E+05,645.78,6.57E+06,122.54,1.25E+06,
112916Spry_Q4,23,TE,I,8740,246.99,364.43,20.697,2076.9,1.82E+07,247.21,2.16E+06,36.085,3.15E+05,635.59,5.56E+06,96.219,8.41E+05,
112916Spry_Q4,24,TE,I,9574,164.65,141.33,21.028,1488.7,1.43E+07,181.88,1.74E+06,30.344,2.91E+05,595.33,5.70E+06,53.339,5.11E+05,
112916Spry_Q4,25,ICM,I,6978,211.92,213.9,20.657,1347.3,9.40E+06,254.51,1.78E+06,61.172,4.27E+05,675.73,4.72E+06,1034.8,7.22E+06,
112916Spry_Q4,26,TE,I,12252,326.43,230.68,22.472,881.06,1.08E+07,181.73,2.23E+06,26.509,3.25E+05,534.12,6.54E+06,46.977,5.76E+05,
112916Spry_Q4,27,ICM,I,9379,261,282,19,1584.426,,254.882,,63.722,,574.786,,1068.037,,
112916Spry_Q4,27.2,ICM,I,9379,245,288,25,1396.246,,201.622,,63.627,,575.238,,1027.992,,
