Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
092917Spry_AV1,3,out,I,17421,267.72,238.22,9.2099,2073.5,3.61E+07,84.72,1.48E+06,607.36,1.06E+07,761.12,1.33E+07,1451.6,2.53E+07,
092917Spry_AV1,5,out,I,15725,293.84,174.19,10.99,1845.4,2.90E+07,69.901,1.10E+06,557.99,8.77E+06,776.18,1.22E+07,791.26,1.24E+07,
092917Spry_AV1,7,out,I,36492,255.47,328.06,12.666,1532.7,5.59E+07,67.978,2.48E+06,635.39,2.32E+07,814.16,2.97E+07,787.03,2.87E+07,
092917Spry_AV1,8,out,I,14420,313.51,204.06,12.143,2119.7,3.06E+07,82.01,1.18E+06,579.2,8.35E+06,825.94,1.19E+07,827.14,1.19E+07,
092917Spry_AV1,10,in,I,8397,217.5,292.44,13.486,2665.4,2.24E+07,95.859,8.05E+05,767.2,6.44E+06,868.99,7.30E+06,898.93,7.55E+06,
092917Spry_AV1,11,in,I,11161,225.61,239.22,12.704,1955.7,2.18E+07,72.717,8.12E+05,554.53,6.19E+06,857.78,9.57E+06,815.43,9.10E+06,
092917Spry_AV1,12,out,I,18636,187.57,352.36,15.503,1685.8,3.14E+07,61.657,1.15E+06,727.77,1.36E+07,846.13,1.58E+07,1095.6,2.04E+07,
092917Spry_AV1,13,out,I,12775,304.72,302.56,15.659,1897.5,2.42E+07,77.115,9.85E+05,504.51,6.45E+06,822.66,1.05E+07,821.27,1.05E+07,
092917Spry_AV1,15,in,I,10015,248.8,283.46,21.519,1173.6,1.18E+07,58.484,5.86E+05,361.5,3.62E+06,767.94,7.69E+06,729.18,7.30E+06,
092917Spry_AV1,17,out,I,11325,242.3,187.77,22.019,1066,1.21E+07,51.078,5.78E+05,240.12,2.72E+06,736.34,8.34E+06,603.33,6.83E+06,
092917Spry_AV1,18,in,I,9033,308.41,228.39,23.549,1523.7,1.38E+07,62.321,5.63E+05,483.42,4.37E+06,797.59,7.20E+06,578.04,5.22E+06,
092917Spry_AV1,19,in,I,11720,199.3,255.1,25.083,1195.6,1.40E+07,47.957,5.62E+05,507.9,5.95E+06,828.65,9.71E+06,682.17,8.00E+06,
092917Spry_AV1,21,out,I,15696,356.43,242.44,27.545,1186.6,1.86E+07,53.164,8.34E+05,561.44,8.81E+06,806.91,1.27E+07,563.99,8.85E+06,
092917Spry_AV1,22,in,I,8968,269.35,233.03,27.366,1254.6,1.13E+07,46.792,4.20E+05,223.66,2.01E+06,788.64,7.07E+06,369.89,3.32E+06,
092917Spry_AV1,23,out,I,24914,166.11,223.77,33.33,973.58,2.43E+07,37.783,9.41E+05,317.74,7.92E+06,841.14,2.10E+07,476.65,1.19E+07,
092917Spry_AV1,24,out,I,18216,271.77,153.74,34.141,772.43,1.41E+07,40.303,7.34E+05,210.08,3.83E+06,764.92,1.39E+07,437.09,7.96E+06,
092917Spry_AV1,25,in,I,11059,233.77,235.99,35.082,826.28,9.14E+06,34.57,3.82E+05,292.7,3.24E+06,812.92,8.99E+06,580.11,6.42E+06,
092917Spry_AV1,26,in,I,12101,269.03,322.49,33.211,811.17,9.82E+06,41.987,5.08E+05,262.38,3.18E+06,849.12,1.03E+07,470.55,5.69E+06,
092917Spry_AV1,27,out,I,15200,260.29,361.47,35.985,834.86,1.27E+07,40.375,6.14E+05,494.34,7.51E+06,770.21,1.17E+07,539.48,8.20E+06,
092917Spry_AV1,28,out,I,21500,342.89,185.87,36.681,794.72,1.71E+07,35.325,7.59E+05,267.28,5.75E+06,799.08,1.72E+07,395.56,8.50E+06,
092917Spry_AV1,29,in,I,12708,304.87,242.42,36.698,743.4,9.45E+06,35.958,4.57E+05,401.14,5.10E+06,788.44,1.00E+07,400.36,5.09E+06,
092917Spry_AV1,30,out,I,20189,311.62,324.98,37.722,664.01,1.34E+07,35.434,7.15E+05,280.63,5.67E+06,803.07,1.62E+07,456.47,9.22E+06,
092917Spry_AV1,31,out,M,18056,225.38,297.71,39.792,690.29,1.25E+07,31.32,5.66E+05,95.784,1.73E+06,879.36,1.59E+07,184.55,3.33E+06,
092917Spry_AV1,32,out,I,16703,315.3,276.12,46.01,433.97,7.25E+06,28.859,4.82E+05,294.84,4.92E+06,757.08,1.26E+07,361.81,6.04E+06,
092917Spry_AV1,33,out,I,12869,279.34,327.14,48.523,533.5,6.87E+06,30.561,3.93E+05,284.74,3.66E+06,778.5,1.00E+07,427.25,5.50E+06,
092917Spry_AV1,34,out,I,15724,213.63,207.2,50.443,312.41,4.91E+06,21.991,3.46E+05,180.94,2.85E+06,800.85,1.26E+07,213.47,3.36E+06,
092917Spry_AV1,35,in,I,12414,237.22,251.53,47.506,413.78,5.14E+06,24.938,3.10E+05,110.36,1.37E+06,789.97,9.81E+06,251.32,3.12E+06,
092917Spry_AV1,36,out,I,13253,313.84,211.22,50.928,398.98,5.29E+06,27.029,3.58E+05,149.43,1.98E+06,775.21,1.03E+07,285.14,3.78E+06,
