Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
020317Spry_AA4,2,TE,I,19747,271.91,328.7,8.3799,1301.4,2.57E+07,144.85,2.86E+06,358.47,7.08E+06,418.22,8.26E+06,395.51,7.81E+06,
020317Spry_AA4,3,TE,I,17493,207.63,220.91,7.8942,1880,3.29E+07,176.57,3.09E+06,454.03,7.94E+06,429.74,7.52E+06,458.89,8.03E+06,
020317Spry_AA4,4,TE,I,17468,281.34,214.09,9.2124,1655.7,2.89E+07,161.43,2.82E+06,542.99,9.48E+06,394.56,6.89E+06,610.17,1.07E+07,
020317Spry_AA4,5,TE,I,17957,337.37,266.11,11.173,1374.3,2.47E+07,148.18,2.66E+06,501.45,9.00E+06,433.85,7.79E+06,611.39,1.10E+07,
020317Spry_AA4,6,ICM,I,18628,256.62,267.3,12.206,1301.2,2.42E+07,119.9,2.23E+06,777.12,1.45E+07,459.79,8.56E+06,398.51,7.42E+06,
020317Spry_AA4,8,TE,I,14363,156.91,263.15,13.103,1657.4,2.38E+07,138.83,1.99E+06,431.34,6.20E+06,438.86,6.30E+06,371.83,5.34E+06,
020317Spry_AA4,10,TE,I,23336,339.29,341.98,21.61,819.75,1.91E+07,127.02,2.96E+06,161.36,3.77E+06,472.19,1.10E+07,254.96,5.95E+06,
020317Spry_AA4,11,ICM,I,12710,223.75,323.96,21.681,1105.3,1.40E+07,100.3,1.27E+06,576.34,7.33E+06,462.91,5.88E+06,299.95,3.81E+06,
020317Spry_AA4,12,ICM,I,15401,205.97,267.38,20.521,919.66,1.42E+07,96.655,1.49E+06,375.64,5.79E+06,432.46,6.66E+06,336.79,5.19E+06,
020317Spry_AA4,13,TE,I,17562,178.91,339.45,25.279,1042.4,1.83E+07,125.84,2.21E+06,340.49,5.98E+06,442.16,7.77E+06,309.68,5.44E+06,
020317Spry_AA4,14,ICM,I,12609,239.49,218.54,25.023,1147.7,1.45E+07,91.268,1.15E+06,719.3,9.07E+06,422.85,5.33E+06,290.63,3.66E+06,
020317Spry_AA4,15,TE,I,16765,181.97,223.82,25.427,1020.2,1.71E+07,101.88,1.71E+06,528.1,8.85E+06,429.82,7.21E+06,245.84,4.12E+06,
020317Spry_AA4,17,ICM,I,12459,272.38,329.46,23.875,903.64,1.13E+07,89.196,1.11E+06,452.68,5.64E+06,393.08,4.90E+06,320.67,4.00E+06,
020317Spry_AA4,18,ICM,I,10697,304.5,241.75,28.895,771.84,8.26E+06,70.527,7.54E+05,332.47,3.56E+06,426.31,4.56E+06,207.67,2.22E+06,
020317Spry_AA4,19,TE,I,19452,133.7,248.34,27.7,827.53,1.61E+07,104.35,2.03E+06,195.44,3.80E+06,482.73,9.39E+06,199.4,3.88E+06,
020317Spry_AA4,20,ICM,I,17675,183.85,289.94,34.121,665.67,1.18E+07,74.727,1.32E+06,535.6,9.47E+06,464.82,8.22E+06,203.69,3.60E+06,
020317Spry_AA4,21,TE,I,17170,269.38,182.31,34.657,760.92,1.31E+07,94.67,1.63E+06,397.73,6.83E+06,437.49,7.51E+06,272.25,4.67E+06,
020317Spry_AA4,22,TE,I,24244,356.99,261.81,33.981,559.99,1.36E+07,89.874,2.18E+06,244.03,5.92E+06,447.27,1.08E+07,237.25,5.75E+06,
020317Spry_AA4,23,ICM,I,15494,265.43,271.69,31.261,428.63,6.64E+06,59.588,9.23E+05,165.93,2.57E+06,406.57,6.30E+06,143.36,2.22E+06,
020317Spry_AA4,24,ICM,I,11475,298.09,324.82,37.012,476.06,5.46E+06,56.166,6.45E+05,157.57,1.81E+06,377.45,4.33E+06,219.47,2.52E+06,
020317Spry_AA4,25,TE,I,21773,262.91,359.83,41.336,453,9.86E+06,67.228,1.46E+06,265.56,5.78E+06,401.89,8.75E+06,153.83,3.35E+06,
020317Spry_AA4,27,ICM,I,15203,225.39,242.4,41.842,428.87,6.52E+06,53.457,8.13E+05,271.62,4.13E+06,432.64,6.58E+06,160.48,2.44E+06,
020317Spry_AA4,28,ICM,I,15024,246.93,302.14,45.34,271.07,4.07E+06,43.075,6.47E+05,295.97,4.45E+06,416.89,6.26E+06,89.124,1.34E+06,
020317Spry_AA4,29,TE,I,36414,344.69,343.28,41.345,375.78,1.37E+07,73.183,2.66E+06,176.11,6.41E+06,422.01,1.54E+07,158.04,5.75E+06,
020317Spry_AA4,30,ICM,I,19148,305.72,287.58,47.844,213.84,4.09E+06,41.502,7.95E+05,117.68,2.25E+06,452.17,8.66E+06,120.68,2.31E+06,
020317Spry_AA4,31,TE,I,20275,225.7,189.56,51.759,373.57,7.57E+06,56.211,1.14E+06,144.53,2.93E+06,424.45,8.61E+06,177.05,3.59E+06,
020317Spry_AA4,32,TE,I,22595,317.97,201.1,53.699,348.08,7.86E+06,50.491,1.14E+06,94.447,2.13E+06,423.12,9.56E+06,148.09,3.35E+06,
020317Spry_AA4,33,ICM,I,19106,259.88,246.37,55.073,158.72,3.03E+06,34.865,6.66E+05,88.594,1.69E+06,418.53,8.00E+06,93.95,1.80E+06,
020317Spry_AA4,34,TE,I,37282,364.48,277.77,51.89,274.32,1.02E+07,53.603,2.00E+06,102.8,3.83E+06,419.57,1.56E+07,118.49,4.42E+06,
020317Spry_AA4,35,TE,I,28752,193.3,273.71,56.458,170.14,4.89E+06,40.18,1.16E+06,78.898,2.27E+06,421.25,1.21E+07,75.809,2.18E+06,
020317Spry_AA4,36,TE,I,23578,233.17,317.64,59.745,154.52,3.64E+06,36.019,8.49E+05,47.636,1.12E+06,396.89,9.36E+06,89.584,2.11E+06,
020317Spry_AA4,37,TE,I,16615,289.26,284.73,63.267,130.91,2.18E+06,32.279,5.36E+05,97.269,1.62E+06,399.54,6.64E+06,67.948,1.13E+06,
