Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
050417Spry_AM2,2,TE,I,7488,197.8,223.04,4.4622,3011.3,2.25E+07,510.27,3.82E+06,36.897,2.76E+05,978.97,7.33E+06,73.489,5.50E+05,
050417Spry_AM2,3,TE,I,8333,229.94,278.2,5.0354,3034.9,2.53E+07,469.38,3.91E+06,34.368,2.86E+05,975.76,8.13E+06,63.929,5.33E+05,
050417Spry_AM2,4,TE,I,4776,137.69,237.03,7.0894,2113.1,1.01E+07,369.04,1.76E+06,29.643,1.42E+05,1017,4.86E+06,67.57,3.23E+05,
050417Spry_AM2,5,TE,I,6310,101.77,255.2,8.3128,1691.6,1.07E+07,321.91,2.03E+06,46.297,2.92E+05,849.88,5.36E+06,59.772,3.77E+05,
050417Spry_AM2,6,TE,M,8302,159.14,167.62,9.0605,2508.9,2.08E+07,282.87,2.35E+06,22.316,1.85E+05,1053.9,8.75E+06,26.837,2.23E+05,
050417Spry_AM2,8,TE,I,11733,281.06,303.72,11.434,2300.4,2.70E+07,242.01,2.84E+06,25.978,3.05E+05,966.54,1.13E+07,48.475,5.69E+05,
050417Spry_AM2,9,TE,I,4325,181.53,340.75,9.9103,2540.8,1.10E+07,387.83,1.68E+06,31.829,1.38E+05,1006.7,4.35E+06,63.022,2.73E+05,
050417Spry_AM2,10,TE,M,10664,64.93,205.77,13.636,1696.4,1.81E+07,534.34,5.70E+06,37.591,4.01E+05,988.11,1.05E+07,29.411,3.14E+05,
050417Spry_AM2,11,ICM,I,3224,168.93,216.28,12.008,1831.5,5.90E+06,3144.8,1.01E+07,125.4,4.04E+05,950.49,3.06E+06,1146.2,3.70E+06,
050417Spry_AM2,12,ICM,I,2902,169.09,240.82,11.79,2015.6,5.85E+06,3100.8,9.00E+06,120.07,3.48E+05,933.44,2.71E+06,1220.1,3.54E+06,
050417Spry_AM2,13,ICM,I,9517,166,262,12.158,1687.4,1.61E+07,2428.8,2.31E+07,106.31,1.01E+06,932.16,8.87E+06,901.82,8.58E+06,
050417Spry_AM2,13.2,ICM,I,9517,155,282,16,1832.076,,2381.868,,96.962,,993.759,,980.976,,
050417Spry_AM2,14,TE,I,5074,138.1,323.85,11.537,1718.2,8.72E+06,506.1,2.57E+06,39.658,2.01E+05,1020.9,5.18E+06,127.41,6.46E+05,
050417Spry_AM2,15,ICM,I,8662,72.019,274.97,15.638,1357,1.18E+07,2633.3,2.28E+07,323.26,2.80E+06,963.46,8.35E+06,64.497,5.59E+05,
050417Spry_AM2,16,TE,I,8157,253.13,220.33,15.61,2111.2,1.72E+07,239.22,1.95E+06,29.639,2.42E+05,1009.7,8.24E+06,57.378,4.68E+05,
050417Spry_AM2,17,TE,I,8770,268.1,247.71,14.594,2269.7,1.99E+07,224.11,1.97E+06,31.37,2.75E+05,961.19,8.43E+06,47.449,4.16E+05,
050417Spry_AM2,18,ICM,I,5844,185.24,298.09,14.161,1571.4,9.18E+06,3247.3,1.90E+07,124.16,7.26E+05,914.1,5.34E+06,782.94,4.58E+06,
050417Spry_AM2,19,TE,I,6562,313.69,283.31,16.13,2470.8,1.62E+07,352.4,2.31E+06,35.948,2.36E+05,908.96,5.96E+06,72.605,4.76E+05,
050417Spry_AM2,20,TE,I,2741,200.57,329.71,15.734,2578.2,7.07E+06,262.31,7.19E+05,29.228,80114,882.21,2.42E+06,53.437,1.46E+05,
050417Spry_AM2,21,TE,I,4808,126.04,190.61,16.248,1572.6,7.56E+06,372.65,1.79E+06,34.506,1.66E+05,964.25,4.64E+06,107.13,5.15E+05,
050417Spry_AM2,22,ICM,I,6590,200.58,192.16,17.549,1577.5,1.04E+07,2714.6,1.79E+07,109.44,7.21E+05,898.8,5.92E+06,1105.7,7.29E+06,
050417Spry_AM2,23,TE,I,4470,97.301,326.43,17.019,1717.4,7.68E+06,302.46,1.35E+06,25.873,1.16E+05,932.21,4.17E+06,46.184,2.06E+05,
050417Spry_AM2,24,TE,I,9359,242.14,172.01,18.153,1894.9,1.77E+07,209.61,1.96E+06,28.346,2.65E+05,1011.8,9.47E+06,43.68,4.09E+05,
050417Spry_AM2,25,ICM,I,6826,50.198,229.76,17.529,1316,8.98E+06,2995,2.04E+07,171.41,1.17E+06,931.54,6.36E+06,64.366,4.39E+05,
050417Spry_AM2,26,ICM,I,9614,137.97,308.98,18.287,1604.4,1.54E+07,2889.7,2.78E+07,116.67,1.12E+06,953.38,9.17E+06,1081.5,1.04E+07,
050417Spry_AM2,27,TE,I,4929,250.1,327.85,19.397,2135.5,1.05E+07,233.53,1.15E+06,26.839,1.32E+05,993.69,4.90E+06,57.007,2.81E+05,
050417Spry_AM2,28,ICM,I,4611,149.51,195.18,19.715,1279.7,5.90E+06,1970.1,9.08E+06,88.963,4.10E+05,1006.2,4.64E+06,860.79,3.97E+06,
050417Spry_AM2,30,TE,I,2474,191.64,160.72,20.351,2645.3,6.54E+06,274.13,6.78E+05,29.329,72560,1011.7,2.50E+06,49.756,1.23E+05,
050417Spry_AM2,31,ICM,I,7080,142.48,246.97,20.736,1529.2,1.08E+07,1779.8,1.26E+07,87.618,6.20E+05,994.91,7.04E+06,1051.8,7.45E+06,
050417Spry_AM2,32,ICM,I,3262,92.542,257.51,19.715,1244.2,4.06E+06,1950,6.36E+06,661.74,2.16E+06,871.04,2.84E+06,75.023,2.45E+05,
050417Spry_AM2,33,ICM,I,2390,114.02,270,19.244,1496.7,3.58E+06,2549.6,6.09E+06,106.75,2.55E+05,864.38,2.07E+06,964.83,2.31E+06,
050417Spry_AM2,34,TE,I,9619,297.9,342.97,23.195,2013,1.94E+07,223,2.15E+06,28.569,2.75E+05,951.18,9.15E+06,54.397,5.23E+05,
050417Spry_AM2,35,TE,I,13534,295.82,174.74,24.288,1384.2,1.87E+07,164.63,2.23E+06,24.257,3.28E+05,997.03,1.35E+07,36.945,5.00E+05,
050417Spry_AM2,36,ICM,I,6703,131.44,216.1,22.974,1364.7,9.15E+06,2212.9,1.48E+07,99.716,6.68E+05,954.83,6.40E+06,1249.2,8.37E+06,
050417Spry_AM2,37,TE,I,9142,337.42,238.87,25.016,1630.7,1.49E+07,277.79,2.54E+06,26.587,2.43E+05,991.32,9.06E+06,39.893,3.65E+05,
050417Spry_AM2,38,TE,I,3622,228.86,326.18,23.034,2311.5,8.37E+06,222.19,8.05E+05,23.352,84582,991.33,3.59E+06,36.481,1.32E+05,
050417Spry_AM2,39,TE,I,2892,128.71,350.84,23.407,2237.2,6.47E+06,285.03,8.24E+05,24.488,70819,941.82,2.72E+06,32.521,94051,
050417Spry_AM2,40,ICM,I,6234,75.715,305.75,25.708,1096.2,6.83E+06,2220.1,1.38E+07,295.9,1.84E+06,1007.5,6.28E+06,67.206,4.19E+05,
050417Spry_AM2,41,TE,I,4589,154.99,356.19,24.348,1616.7,7.42E+06,227.32,1.04E+06,29.085,1.33E+05,974.94,4.47E+06,64.721,2.97E+05,
050417Spry_AM2,44,TE,I,4138,147.76,150.95,25.62,1971.2,8.16E+06,253.57,1.05E+06,25.58,1.06E+05,937.36,3.88E+06,56.49,2.34E+05,
050417Spry_AM2,45,TE,I,13279,353.63,327.38,27.689,1521.1,2.02E+07,266.81,3.54E+06,26.478,3.52E+05,929.91,1.23E+07,40.923,5.43E+05,
050417Spry_AM2,46,TE,I,3940,194.54,366.53,26.812,2034.7,8.02E+06,181.84,7.16E+05,26.204,1.03E+05,1093.9,4.31E+06,51.158,2.02E+05,
050417Spry_AM2,47,TE,I,3588,183.99,144.63,27.431,1623.3,5.82E+06,217.17,7.79E+05,25.319,90843,976.51,3.50E+06,48.003,1.72E+05,
050417Spry_AM2,49,ICM,I,3234,124.43,296.97,24.773,1465.6,4.74E+06,1644,5.32E+06,74.968,2.42E+05,893.43,2.89E+06,686.47,2.22E+06,
050417Spry_AM2,50,ICM,I,7256,219.81,143.23,28.805,1227.4,8.91E+06,1847.7,1.34E+07,76.772,5.57E+05,1016.2,7.37E+06,611.22,4.44E+06,
050417Spry_AM2,51,ICM,I,7431,95.715,217.55,29.515,1069,7.94E+06,1494.8,1.11E+07,84.065,6.25E+05,966.78,7.18E+06,220.47,1.64E+06,
050417Spry_AM2,52,ICM,I,4301,147.71,295,25.93,1512.8,6.51E+06,1680.6,7.23E+06,79.261,3.41E+05,970.83,4.18E+06,834.82,3.59E+06,
