Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
120516Spry_S4,3,TE,I,8843,352.81,218.81,3.6261,2061.5,1.82E+07,250.62,2.22E+06,53.993,4.77E+05,704.9,6.23E+06,296.43,2.62E+06,
120516Spry_S4,4,TE,I,7783,336.44,291.28,3.132,1660.1,1.29E+07,233.59,1.82E+06,55.771,4.34E+05,695.1,5.41E+06,317.52,2.47E+06,
120516Spry_S4,5,TE,I,14787,200.97,267.27,6.8488,1723.9,2.55E+07,211.73,3.13E+06,49.627,7.34E+05,693.32,1.03E+07,292.85,4.33E+06,
120516Spry_S4,6,TE,I,10787,379.05,280.36,5.954,1487.3,1.60E+07,182.29,1.97E+06,43.576,4.70E+05,698.92,7.54E+06,218.08,2.35E+06,
120516Spry_S4,7,TE,I,6747,321.61,334.62,4.8287,1661.8,1.12E+07,227.38,1.53E+06,266.38,1.80E+06,707.73,4.78E+06,305.52,2.06E+06,
120516Spry_S4,8,TE,I,13699,209.81,208.18,8.5259,1769.6,2.42E+07,194.49,2.66E+06,42.585,5.83E+05,718.01,9.84E+06,245.98,3.37E+06,
120516Spry_S4,9,TE,I,8737,297.7,152.61,10.35,1961.3,1.71E+07,211.14,1.84E+06,46.007,4.02E+05,715.69,6.25E+06,323.16,2.82E+06,
120516Spry_S4,10,TE,I,10959,228.69,325.99,9.8592,1694.7,1.86E+07,199.68,2.19E+06,43.249,4.74E+05,703.41,7.71E+06,169.84,1.86E+06,
120516Spry_S4,11,TE,I,8292,359.29,161.27,12.083,1692.8,1.40E+07,203.85,1.69E+06,47.808,3.96E+05,695.69,5.77E+06,216.18,1.79E+06,
120516Spry_S4,12,TE,I,7419,270.07,368.05,12.565,1319.2,9.79E+06,218.09,1.62E+06,80.734,5.99E+05,674.44,5.00E+06,192.51,1.43E+06,
120516Spry_S4,13,TE,I,7193,325.88,380.58,13.896,1235.6,8.89E+06,195.7,1.41E+06,42.171,3.03E+05,686.57,4.94E+06,194.17,1.40E+06,
120516Spry_S4,14,TE,I,11029,118.86,272.71,17.431,1350.1,1.49E+07,193.37,2.13E+06,70.653,7.79E+05,680.66,7.51E+06,290,3.20E+06,
