Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
100516CD1_1,1,TE,I,8183,299.67,219.73,3.4105,2579.9,2.11E+07,18.432,1.51E+05,28.027,2.29E+05,1539.7,1.26E+07,23.957,1.96E+05,
100516CD1_1,2,TE,I,3511,265.24,267.2,2.7314,2024,7.11E+06,20.351,71452,31.351,1.10E+05,1442.7,5.07E+06,26.624,93476,
100516CD1_1,3,ICM,I,13336,238.94,256.54,6.3323,2039,2.72E+07,18.225,2.43E+05,28.221,3.76E+05,1496.6,2.00E+07,23.996,3.20E+05,
100516CD1_1,4,TE,M,4823,351.4,281.82,8.6243,2786.4,1.34E+07,16.88,81410,24.512,1.18E+05,1515.2,7.31E+06,20.509,98917,
100516CD1_1,5,TE,I,7755,219.86,173.81,9.5384,1957.9,1.52E+07,17.194,1.33E+05,26.253,2.04E+05,1391.4,1.08E+07,22.63,1.75E+05,
100516CD1_1,6,ICM,I,12451,242.15,202.87,10.419,1279.1,1.59E+07,16.469,2.05E+05,24.039,2.99E+05,1505.7,1.87E+07,22.004,2.74E+05,
100516CD1_1,7,TE,I,9960,178.27,239.96,10.01,1568.5,1.56E+07,17.319,1.73E+05,25.573,2.55E+05,1389.9,1.38E+07,22.073,2.20E+05,
100516CD1_1,8,TE,I,13415,243.96,323.59,10.106,2265.4,3.04E+07,18.579,2.49E+05,27.305,3.66E+05,1395.5,1.87E+07,24.174,3.24E+05,
100516CD1_1,9,TE,I,24511,324.52,155.4,16.391,2011.4,4.93E+07,16.568,4.06E+05,23.9,5.86E+05,1527.4,3.74E+07,21.344,5.23E+05,
100516CD1_1,9.2,TE,I,24511,324.52,155.4,16.391,2011.4,4.93E+07,16.568,4.06E+05,23.9,5.86E+05,1527.4,3.74E+07,21.344,5.23E+05,
100516CD1_1,10,ICM,I,5810,206.76,221.73,14.783,1576.2,9.16E+06,16.945,98452,25.476,1.48E+05,1363.6,7.92E+06,21.781,1.27E+05,
100516CD1_1,11,ICM,I,8492,195.36,273.81,16.206,1618.3,1.37E+07,17.662,1.50E+05,25.947,2.20E+05,1440.9,1.22E+07,22.608,1.92E+05,
100516CD1_1,12,TE,I,8741,168.56,294.83,16.367,1593.6,1.39E+07,17.553,1.53E+05,25.33,2.21E+05,1513.4,1.32E+07,22.478,1.96E+05,
100516CD1_1,13,TE,I,8432,229.7,295.48,15.535,1580.3,1.33E+07,16.661,1.40E+05,24.666,2.08E+05,1420.8,1.20E+07,21.801,1.84E+05,
100516CD1_1,15,TE,I,7944,387.65,202.6,20.363,1578.8,1.25E+07,17.299,1.37E+05,25.243,2.01E+05,1442,1.15E+07,23.05,1.83E+05,
100516CD1_1,16,ICM,I,6915,230.57,248.67,17.721,1376,9.51E+06,16.534,1.14E+05,23.168,1.60E+05,1483.9,1.03E+07,21.181,1.46E+05,
100516CD1_1,17,TE,M,4822,321.34,342.01,20.018,2530.9,1.22E+07,16.012,77211,21.381,1.03E+05,1420.5,6.85E+06,20.384,98290,
100516CD1_1,18,TE,I,8570,234.73,140.2,24.086,1267.1,1.09E+07,15.138,1.30E+05,20.867,1.79E+05,1618.4,1.39E+07,19.771,1.69E+05,
100516CD1_1,19,ICM,I,10175,190.12,181.66,24.008,1516.8,1.54E+07,16.695,1.70E+05,24.185,2.46E+05,1508.8,1.54E+07,21.505,2.19E+05,
100516CD1_1,20,TE,I,9716,404.69,240.26,24.233,2192.5,2.13E+07,17.147,1.67E+05,24.4,2.37E+05,1510.6,1.47E+07,22.07,2.14E+05,
100516CD1_1,21,TE,I,9540,150.24,200.23,24.307,1204.6,1.15E+07,16.339,1.56E+05,23.362,2.23E+05,1510.6,1.44E+07,21.476,2.05E+05,
100516CD1_1,22,ICM,I,10363,168.35,236,23.503,1219.6,1.26E+07,16.326,1.69E+05,24.833,2.57E+05,1418.3,1.47E+07,21.14,2.19E+05,
100516CD1_1,23,ICM,I,12433,220.3,204.01,24.985,972.93,1.21E+07,14.971,1.86E+05,20.468,2.54E+05,1457.6,1.81E+07,19.226,2.39E+05,
