Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
020617Spry_AC2,1,ICM,I,5060,162.73,259.13,3.5233,3071.9,1.55E+07,132.97,6.73E+05,49.111,2.49E+05,398.02,2.01E+06,561.97,2.84E+06,
020617Spry_AC2,2,TE,I,10717,229.48,276.8,3.8156,2398.8,2.57E+07,106.83,1.14E+06,50.094,5.37E+05,420.94,4.51E+06,408.23,4.37E+06,
020617Spry_AC2,3,TE,I,11047,330.04,275.96,4.3626,1887.2,2.08E+07,106.37,1.18E+06,48.434,5.35E+05,420.82,4.65E+06,321.7,3.55E+06,
020617Spry_AC2,6,TE,I,7203,307.96,223.6,5.2312,1816.7,1.31E+07,72.442,5.22E+05,96.555,6.95E+05,419.36,3.02E+06,371.59,2.68E+06,
020617Spry_AC2,7,TE,I,9048,226.42,215.51,5.8442,1965.8,1.78E+07,102.89,9.31E+05,45.442,4.11E+05,425.43,3.85E+06,509.23,4.61E+06,
020617Spry_AC2,8,TE,I,8033,132.3,231.46,7.4611,2387.3,1.92E+07,126.73,1.02E+06,127.9,1.03E+06,373.22,3.00E+06,716.89,5.76E+06,
020617Spry_AC2,9,TE,I,6963,184.65,187.05,11.74,2550.3,1.78E+07,88.948,6.19E+05,105.9,7.37E+05,398.52,2.77E+06,552.44,3.85E+06,
020617Spry_AC2,10,TE,I,14214,349.72,186.94,12.826,1882.8,2.68E+07,89.935,1.28E+06,38.74,5.51E+05,416.81,5.92E+06,211.02,3.00E+06,
020617Spry_AC2,11,TE,I,8832,300.6,334.28,12.39,1394.5,1.23E+07,87.256,7.71E+05,42.494,3.75E+05,418.39,3.70E+06,345.71,3.05E+06,
020617Spry_AC2,12,TE,I,7120,223.45,332.58,10.989,1882.3,1.34E+07,95.708,6.81E+05,50.143,3.57E+05,431.75,3.07E+06,547.42,3.90E+06,
