Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
120816Spry_V1,1,TE,I,11047,203.59,268.06,4.3042,2149.3,2.37E+07,77.024,8.51E+05,463.11,5.12E+06,674.42,7.45E+06,492.78,5.44E+06,
120816Spry_V1,2,TE,I,9680,263.85,269.58,3.6468,1824.8,1.77E+07,62.886,6.09E+05,371.13,3.59E+06,716.67,6.94E+06,366.67,3.55E+06,
120816Spry_V1,3,TE,I,12301,303.5,302.51,6.7796,1903.7,2.34E+07,63.188,7.77E+05,357.61,4.40E+06,703.77,8.66E+06,188.37,2.32E+06,
120816Spry_V1,4,TE,I,10536,239.28,223.86,7.6779,2054,2.16E+07,61.233,6.45E+05,442.57,4.66E+06,684.66,7.21E+06,339.65,3.58E+06,
120816Spry_V1,5,TE,I,10579,194.09,225.04,9.6309,1852.3,1.96E+07,71.426,7.56E+05,515.39,5.45E+06,740.2,7.83E+06,272.57,2.88E+06,
120816Spry_V1,6,TE,I,12902,316.68,247.05,8.8123,1866.4,2.41E+07,50.257,6.48E+05,287.51,3.71E+06,688.27,8.88E+06,256.72,3.31E+06,
120816Spry_V1,7,TE,M,9915,230.12,318.74,8.6723,2018.8,2.00E+07,51.681,5.12E+05,295.89,2.93E+06,594.1,5.89E+06,146.09,1.45E+06,
120816Spry_V1,8,TE,I,13230,167.88,307.59,9.6712,1368.5,1.81E+07,55.178,7.30E+05,271.6,3.59E+06,702.92,9.30E+06,218.73,2.89E+06,
120816Spry_V1,9,TE,I,8331,157.91,243.75,10.386,1836.3,1.53E+07,73.346,6.11E+05,458.43,3.82E+06,675.24,5.63E+06,381.5,3.18E+06,
120816Spry_V1,10,TE,I,9377,204.61,190.81,15.277,2249.3,2.11E+07,57.682,5.41E+05,425.76,3.99E+06,746.3,7.00E+06,248.66,2.33E+06,
120816Spry_V1,11,ICM,I,4299,174.01,273.25,13.869,1376.9,5.92E+06,75.455,3.24E+05,589.95,2.54E+06,657.33,2.83E+06,121.19,5.21E+05,
120816Spry_V1,12,TE,I,8078,346.81,299.09,15.412,1212.2,9.79E+06,45.617,3.68E+05,204.44,1.65E+06,645.32,5.21E+06,321.68,2.60E+06,
120816Spry_V1,13,TE,I,10604,272.19,341.14,14.964,1237.9,1.31E+07,49.945,5.30E+05,296.21,3.14E+06,682.63,7.24E+06,159.75,1.69E+06,
120816Spry_V1,14,ICM,I,10493,215.35,267.86,14.127,1472.5,1.55E+07,143.14,1.50E+06,1306.7,1.37E+07,721.55,7.57E+06,859.68,9.02E+06,
120816Spry_V1,15,TE,I,6608,308.13,335.91,15.172,1108,7.32E+06,46.61,3.08E+05,193.18,1.28E+06,665.23,4.40E+06,282.71,1.87E+06,
120816Spry_V1,16,TE,I,10362,365.95,270.29,17.622,1904.4,1.97E+07,45.247,4.69E+05,251.36,2.60E+06,683.86,7.09E+06,204.22,2.12E+06,
120816Spry_V1,17,TE,I,10138,196.21,340.41,17.934,1362.5,1.38E+07,43.82,4.44E+05,241.72,2.45E+06,715.97,7.26E+06,213.82,2.17E+06,
120816Spry_V1,18,TE,I,11152,350.17,238.71,19.389,1661.7,1.85E+07,46.014,5.13E+05,208.48,2.32E+06,675.55,7.53E+06,233.13,2.60E+06,
120816Spry_V1,19,TE,I,7599,276.88,185.1,19.634,2067.4,1.57E+07,48.142,3.66E+05,327.16,2.49E+06,794.63,6.04E+06,137.27,1.04E+06,
120816Spry_V1,20,ICM,I,4953,189.94,231.81,19.972,1152.2,5.71E+06,73.757,3.65E+05,623.11,3.09E+06,745.59,3.69E+06,112.14,5.55E+05,
120816Spry_V1,21,TE,I,12044,117.62,268.37,24.667,1530.8,1.84E+07,47.937,5.77E+05,249.22,3.00E+06,757.83,9.13E+06,187.14,2.25E+06,
120816Spry_V1,22,ICM,I,5116,169.07,326.17,23.582,1085.6,5.55E+06,52.257,2.67E+05,348.28,1.78E+06,670.58,3.43E+06,124.04,6.35E+05,
120816Spry_V1,23,TE,I,11296,339.38,346.73,25.914,1320.6,1.49E+07,44.715,5.05E+05,249.86,2.82E+06,727.33,8.22E+06,128.91,1.46E+06,
120816Spry_V1,24,TE,I,8937,218.42,183.06,25.431,1688.5,1.51E+07,40.111,3.58E+05,226.07,2.02E+06,734.41,6.56E+06,187.83,1.68E+06,
120816Spry_V1,25,TE,I,10791,330.62,205.71,26.461,1369.8,1.48E+07,43.765,4.72E+05,274.06,2.96E+06,748.06,8.07E+06,217.09,2.34E+06,
120816Spry_V1,26,ICM,I,4379,158.48,236.68,24.512,1068,4.68E+06,50.117,2.19E+05,330.48,1.45E+06,670.84,2.94E+06,131.71,5.77E+05,
120816Spry_V1,27,ICM,I,10360,159.91,295.96,25.775,999.61,1.04E+07,73.56,7.62E+05,603.66,6.25E+06,662.58,6.86E+06,396.23,4.10E+06,
120816Spry_V1,28,ICM,I,13770,211.2,297.43,28.161,718.18,9.89E+06,100.16,1.38E+06,981.38,1.35E+07,636.07,8.76E+06,441.28,6.08E+06,
120816Spry_V1,29,TE,M,3596,150.27,205.74,27.236,1870.9,6.73E+06,41.159,1.48E+05,215.65,7.75E+05,679.84,2.44E+06,103.24,3.71E+05,
120816Spry_V1,30,TE,I,10446,219.06,346.71,28.806,894.63,9.35E+06,39.429,4.12E+05,205.63,2.15E+06,638.06,6.67E+06,155.08,1.62E+06,
120816Spry_V1,31,ICM,I,3838,152.39,263.93,27.767,982.29,3.77E+06,49.923,1.92E+05,323.94,1.24E+06,653.47,2.51E+06,109.55,4.20E+05,
120816Spry_V1,32,TE,I,14381,372.87,308.29,29.568,482.36,6.94E+06,31.432,4.52E+05,141.6,2.04E+06,660.27,9.50E+06,168.56,2.42E+06,
120816Spry_V1,33,ICM,I,10480,218.65,255.04,29.113,558.65,5.85E+06,68.334,7.16E+05,668.46,7.01E+06,618.54,6.48E+06,402.18,4.21E+06,
120816Spry_V1,34,TE,I,15004,285.05,367.11,33.542,815.14,1.22E+07,32.83,4.93E+05,182.36,2.74E+06,702.29,1.05E+07,89.989,1.35E+06,
120816Spry_V1,35,TE,I,13519,375.53,246.69,35.004,975.8,1.32E+07,35.368,4.78E+05,159.29,2.15E+06,670.57,9.07E+06,153.35,2.07E+06,
120816Spry_V1,36,ICM,I,6328,138.39,237.55,34.655,683.42,4.32E+06,47.356,3.00E+05,389.96,2.47E+06,642.7,4.07E+06,68.621,4.34E+05,
120816Spry_V1,37,TE,I,10322,301.89,185.13,37.689,735.42,7.59E+06,32.615,3.37E+05,189.04,1.95E+06,722.41,7.46E+06,131.34,1.36E+06,
120816Spry_V1,38,ICM,I,5698,193.63,233.74,30.421,561.27,3.20E+06,50.086,2.85E+05,449.53,2.56E+06,714.76,4.07E+06,254.38,1.45E+06,
120816Spry_V1,39,TE,I,7671,243.04,175.43,37.733,838.81,6.43E+06,31.789,2.44E+05,189.16,1.45E+06,650.06,4.99E+06,132.31,1.01E+06,
120816Spry_V1,40,TE,M,3756,191.39,191.79,36.584,1139,4.28E+06,31.716,1.19E+05,161.77,6.08E+05,630.88,2.37E+06,80.252,3.01E+05,
120816Spry_V1,41,ICM,I,9072,173.29,322.15,34.849,758.88,6.88E+06,32.465,2.95E+05,176.62,1.60E+06,630.48,5.72E+06,119.27,1.08E+06,
120816Spry_V1,42,TE,I,14310,182.59,349.94,40.031,630.51,9.02E+06,31.063,4.45E+05,160.75,2.30E+06,640.67,9.17E+06,127.14,1.82E+06,
120816Spry_V1,43,ICM,I,10940,140.63,294.36,39.317,667.79,7.31E+06,42.378,4.64E+05,313.03,3.42E+06,640.36,7.01E+06,260.43,2.85E+06,
120816Spry_V1,44,ICM,I,7008,169.83,261.23,38.839,449.7,3.15E+06,47.368,3.32E+05,403,2.82E+06,643.85,4.51E+06,257.96,1.81E+06,
120816Spry_V1,45,TE,I,10675,240.96,360.24,41.077,394.66,4.21E+06,25.999,2.78E+05,107.22,1.14E+06,523.24,5.59E+06,79.938,8.53E+05,
120816Spry_V1,46,TE,I,18030,345.49,341.99,41.886,544.49,9.82E+06,26.947,4.86E+05,110.26,1.99E+06,618.09,1.11E+07,102.04,1.84E+06,
120816Spry_V1,47,TE,I,5983,362.98,235.27,43.964,721.62,4.32E+06,29.029,1.74E+05,140.3,8.39E+05,584.47,3.50E+06,108.69,6.50E+05,
120816Spry_V1,48,TE,I,14314,121.8,266.94,45.032,466.03,6.67E+06,29.529,4.23E+05,175.65,2.51E+06,641.41,9.18E+06,111.75,1.60E+06,
120816Spry_V1,49,TE,I,11693,376.37,293.96,44.484,437.93,5.12E+06,26.665,3.12E+05,108.89,1.27E+06,605.44,7.08E+06,110.42,1.29E+06,
120816Spry_V1,50,ICM,I,11606,187.16,299.99,45.269,452.73,5.25E+06,32.34,3.75E+05,239.81,2.78E+06,648.66,7.53E+06,269.13,3.12E+06,
120816Spry_V1,51,ICM,I,23305,179.15,222.52,51.884,303.22,7.07E+06,27.486,6.41E+05,202.11,4.71E+06,620.96,1.45E+07,131.74,3.07E+06,
120816Spry_V1,52,ICM,I,13029,200.08,260.82,48.113,323.04,4.21E+06,27.793,3.62E+05,196.85,2.56E+06,613.6,7.99E+06,220.85,2.88E+06,
120816Spry_V1,53,TE,M,10419,333.64,217.39,51.579,685.95,7.15E+06,24.597,2.56E+05,143.29,1.49E+06,651.12,6.78E+06,59.774,6.23E+05,
