Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,F4_J13.12,1,10962,2,261.17,195.15,9.4187,1828.4,2.00E+07,1102.8,1.21E+07,670.36,7.35E+06,74.743,8.19E+05,677.53,7.43E+06,
1,F4_J13.12,2,10122,2,306.63,228.38,9.9931,1750.3,1.77E+07,1277.2,1.29E+07,411.74,4.17E+06,177.72,1.80E+06,248.03,2.51E+06,
1,F4_J13.12,3,9501,3,251.65,251.34,8.5603,1628.7,1.55E+07,1129.9,1.07E+07,821.43,7.80E+06,129.81,1.23E+06,1960,1.86E+07,
1,F4_J13.12,4,12928,2,202.38,273.55,9.3583,1571.4,2.03E+07,1142.9,1.48E+07,709.1,9.17E+06,102.99,1.33E+06,485.15,6.27E+06,
1,F4_J13.12,5,11570,2,260.91,309.16,9.7085,1997.3,2.31E+07,1237.8,1.43E+07,626.67,7.25E+06,67.621,7.82E+05,600.38,6.95E+06,
1,F4_J13.12,6,8280,2,306.79,314.14,13.443,2790.7,2.31E+07,1317.3,1.09E+07,728.24,6.03E+06,64.96,5.38E+05,430.33,3.56E+06,
1,F4_J13.12,7,11459,2,212.42,188.88,15.459,1340.7,1.54E+07,1150.4,1.32E+07,690.46,7.91E+06,102.56,1.18E+06,527.15,6.04E+06,
1,F4_J13.12,8,8131,2,337.88,296.92,17.557,2114.6,1.72E+07,1322.6,1.08E+07,438.05,3.56E+06,173.55,1.41E+06,231.9,1.89E+06,
1,F4_J13.12,9,10086,2,358.74,233.41,19.212,2005.1,2.02E+07,1343.3,1.35E+07,337.48,3.40E+06,87.477,8.82E+05,157.63,1.59E+06,
1,F4_J13.12,10,11349,2,176.13,263.9,20.325,1556.8,1.77E+07,1150.5,1.31E+07,546.96,6.21E+06,85.348,9.69E+05,446.24,5.06E+06,
1,F4_J13.12,11,4735,1,229.12,286.31,16.551,1433,6.79E+06,1159.2,5.49E+06,920.38,4.36E+06,777.74,3.68E+06,189.21,8.96E+05,
1,F4_J13.12,12,6824,4,274.21,230.37,18.342,1035.1,7.06E+06,1060.1,7.23E+06,692.4,4.72E+06,371.12,2.53E+06,680.69,4.65E+06,
1,F4_J13.12,13,5440,4,221,257.83,19.81,1303.2,7.09E+06,1039,5.65E+06,778.17,4.23E+06,443.19,2.41E+06,382.92,2.08E+06,
1,F4_J13.12,14,4795,1,307.04,276.52,19.693,1258.3,6.03E+06,1359.5,6.52E+06,630.87,3.03E+06,712.43,3.42E+06,147.95,7.09E+05,
1,F4_J13.12,15,9072,4,198.98,219.92,22.462,965.01,8.75E+06,1150.6,1.04E+07,740.41,6.72E+06,531.5,4.82E+06,618.92,5.61E+06,
1,F4_J13.12,16,7620,1,221.89,313.46,22.238,1338.1,1.02E+07,1152.5,8.78E+06,890.15,6.78E+06,532.16,4.06E+06,211.95,1.62E+06,
