Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R1_D13.01,1,13125,2,225.48,240.92,5.4072,1344.1,1.76E+07,1865.2,2.45E+07,242.71,3.19E+06,117.5,1.54E+06,636.34,8.35E+06,
1,R1_D13.01,2,18428,2,246.46,320.32,7.0702,947.96,1.75E+07,1755.7,3.24E+07,202.31,3.73E+06,143.29,2.64E+06,732.58,1.35E+07,
1,R1_D13.01,3,21354,2,322.54,221.44,7.7942,847.83,1.81E+07,1896.9,4.05E+07,181.48,3.88E+06,390.71,8.34E+06,388.36,8.29E+06,
1,R1_D13.01,4,16011,2,313.88,308.37,8.4901,924.65,1.48E+07,1786.5,2.86E+07,164.49,2.63E+06,86.053,1.38E+06,443.63,7.10E+06,
1,R1_D13.01,5,12693,2,177.05,272.88,10.589,1492.6,1.89E+07,1683.9,2.14E+07,266.79,3.39E+06,61.691,7.83E+05,689.67,8.75E+06,
1,R1_D13.01,6,13233,2,178.64,214.24,12.484,1431.9,1.89E+07,1708.8,2.26E+07,268,3.55E+06,60.604,8.02E+05,633.85,8.39E+06,
1,R1_D13.01,7,11012,1,224.48,189.37,14.063,1411.3,1.55E+07,1892.1,2.08E+07,363.6,4.00E+06,476.96,5.25E+06,668.21,7.36E+06,
1,R1_D13.01,8,9971,2,340,189,14,1753.046,,,,450.605,,506.983,,747.456,,
1,R1_D13.01,9,12442,2,368.62,306.04,18.359,1137.8,1.42E+07,1722.2,2.14E+07,258.13,3.21E+06,75.886,9.44E+05,642.26,7.99E+06,
1,R1_D13.01,10,13840,2,247.03,140.96,21.757,1303.9,1.80E+07,1935.6,2.68E+07,239.07,3.31E+06,399.1,5.52E+06,542.62,7.51E+06,
1,R1_D13.01,11,10799,3,156.73,219.36,22.36,1229.9,1.33E+07,1530.4,1.65E+07,514.84,5.56E+06,152.32,1.64E+06,1703.6,1.84E+07,
1,R1_D13.01,12,19241,2,126.83,299.7,22.907,1349,2.60E+07,1493.7,2.87E+07,207.09,3.98E+06,188.24,3.62E+06,370.04,7.12E+06,
1,R1_D13.01,13,13545,2,161.24,338.51,24.145,1151.7,1.56E+07,1631.2,2.21E+07,199.17,2.70E+06,49.706,6.73E+05,579.31,7.85E+06,
1,R1_D13.01,14,8493,1,132.02,261.95,23.063,1407,1.20E+07,1581.9,1.34E+07,279.23,2.37E+06,1354.3,1.15E+07,302.71,2.57E+06,
1,R1_D13.01,15,10326,2,408.18,283.45,27.009,1171.4,1.21E+07,1617.6,1.67E+07,195.87,2.02E+06,50.58,5.22E+05,439.36,4.54E+06,
1,R1_D13.01,16,10948,2,325.45,128.18,28.426,1549,1.70E+07,1830.9,2.00E+07,193.5,2.12E+06,209.85,2.30E+06,548.27,6.00E+06,
