Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R1_J11.04,1,14225,2,291.69,295.25,9.5149,1416.8,2.02E+07,1311.7,1.87E+07,500.27,7.12E+06,111.07,1.58E+06,1627.6,2.32E+07,
1,R1_J11.04,2,15830,2,276.27,199.42,10.984,1336.5,2.12E+07,1219.4,1.93E+07,355.27,5.62E+06,204.65,3.24E+06,1226.2,1.94E+07,
1,R1_J11.04,3,9915,1,242.36,275.84,8.3213,1107.9,1.10E+07,1112.5,1.10E+07,1724,1.71E+07,2081.6,2.06E+07,458.3,4.54E+06,
1,R1_J11.04,4,9795,1,267.95,249.28,12.457,1170.9,1.15E+07,1143.7,1.12E+07,1967.5,1.93E+07,1633.4,1.60E+07,482.41,4.73E+06,
1,R1_J11.04,5,6831,2,225.38,311.97,11.169,1622.1,1.11E+07,1242.6,8.49E+06,508.45,3.47E+06,193,1.32E+06,1439.7,9.83E+06,
1,R1_J11.04,6,3836,2,196.64,276.91,12.875,2315.5,8.88E+06,1202.4,4.61E+06,404.22,1.55E+06,110.66,4.24E+05,1719.2,6.59E+06,
1,R1_J11.04,7,3806,2,237.44,193.81,15.016,1974.5,7.52E+06,1151.6,4.38E+06,363.36,1.38E+06,96.052,3.66E+05,1450.1,5.52E+06,
1,R1_J11.04,9,4944,2,329.32,254.73,19.246,1261.1,6.23E+06,1263.2,6.25E+06,287.41,1.42E+06,80.25,3.97E+05,1444,7.14E+06,
1,R1_J11.04,10,11868,2,324.83,223.12,22.562,1250.8,1.48E+07,1332.5,1.58E+07,311.18,3.69E+06,74.259,8.81E+05,1051.5,1.25E+07,
1,R1_J11.04,11,4515,3,290.13,285.75,18.963,1211.5,5.47E+06,1244.7,5.62E+06,2223.2,1.00E+07,193.35,8.73E+05,3322.2,1.50E+07,
1,R1_J11.04,12,8008,4,251.27,250.19,20.17,917.06,7.34E+06,1121.7,8.98E+06,674.44,5.40E+06,1513.2,1.21E+07,1358,1.09E+07,
1,R1_J11.04,13,6979,2,292.64,328.61,22.018,1108.5,7.74E+06,1212.8,8.46E+06,278.56,1.94E+06,112.46,7.85E+05,1438.1,1.00E+07,
1,R1_J11.04,14,9494,1,229.75,319,21.394,900.83,8.55E+06,1286.5,1.22E+07,1205.8,1.14E+07,1613.4,1.53E+07,452.24,4.29E+06,
1,R1_J11.04,15,8541,2,173.5,259.18,23.362,1026.1,8.76E+06,1295,1.11E+07,418.13,3.57E+06,108.35,9.25E+05,986.25,8.42E+06,
1,R1_J11.04,16,6348,1,216.78,283.4,23.136,813.93,5.17E+06,1245.8,7.91E+06,876.46,5.56E+06,786.51,4.99E+06,274.81,1.74E+06,
1,R1_J11.04,17,4046,1,271,220,17,825.501,,,,501.846,,1859.685,,530.869,,
1,R1_J11.04,18,9381,3,262.26,198.79,29.662,879.35,8.25E+06,1235.4,1.16E+07,1617,1.52E+07,229.33,2.15E+06,1982.2,1.86E+07,
1,R1_J11.04,19,10057,1,272,317,26,787.59,,,,1174.788,,1673.282,,345.903,,
1,R1_J11.04,20,6495,2,301.81,189.68,33.364,835.91,5.43E+06,1228.2,7.98E+06,216.89,1.41E+06,81.243,5.28E+05,915.38,5.95E+06,
1,R1_J11.04,21,4789,1,221.75,212.83,31.716,594.54,2.85E+06,1294.6,6.20E+06,167.94,8.04E+05,982.26,4.70E+06,209.37,1.00E+06,
1,R1_J11.04,22,7456,3,263.72,283.64,30.43,505.27,3.77E+06,1264.5,9.43E+06,835.96,6.23E+06,127.84,9.53E+05,1144.1,8.53E+06,
1,R1_J11.04,23,13884,2,335.35,295.87,33.63,867.6,1.20E+07,1349.5,1.87E+07,212.88,2.96E+06,60.798,8.44E+05,660.52,9.17E+06,
1,R1_J11.04,24,11553,2,260.58,347.42,34.358,1050.6,1.21E+07,1337.6,1.55E+07,314.98,3.64E+06,95.383,1.10E+06,878.33,1.01E+07,
1,R1_J11.04,25,14678,2,232.98,174.56,36.747,572.4,8.40E+06,1225.6,1.80E+07,140.44,2.06E+06,44.159,6.48E+05,379.8,5.57E+06,
1,R1_J11.04,26,10369,3,199.38,245.97,34.238,486.09,5.04E+06,1227.6,1.27E+07,528.33,5.48E+06,114.02,1.18E+06,864.19,8.96E+06,
1,R1_J11.04,27,8381,3,178.01,278.4,33.557,660.13,5.53E+06,1277.8,1.07E+07,758.69,6.36E+06,246.7,2.07E+06,1553.9,1.30E+07,
1,R1_J11.04,28,10554,2,178.62,208.96,38.198,901.04,9.51E+06,1547.5,1.63E+07,185.08,1.95E+06,53.017,5.60E+05,580.1,6.12E+06,
1,R1_J11.04,29,11336,2,347.67,227.92,35.277,609.32,6.91E+06,1240,1.41E+07,319.75,3.62E+06,81.616,9.25E+05,958.08,1.09E+07,
1,R1_J11.04,30,11989,3,207.7,319.22,34.98,698.93,8.38E+06,1226.1,1.47E+07,706.2,8.47E+06,144.69,1.73E+06,1392.8,1.67E+07,
1,R1_J11.04,32,12020,2,175.47,312.53,43.539,761.84,9.16E+06,1495.8,1.80E+07,186.98,2.25E+06,51.703,6.21E+05,483.53,5.81E+06,
1,R1_J11.04,33,12568,2,328.06,204.76,43.665,537.59,6.76E+06,1179.2,1.48E+07,171.05,2.15E+06,48.85,6.14E+05,395.36,4.97E+06,
1,R1_J11.04,34,12527,2,358.2,247.21,43.761,479.26,6.00E+06,1173.6,1.47E+07,190.92,2.39E+06,63.027,7.90E+05,467.64,5.86E+06,
1,R1_J11.04,35,14111,2,291.58,361.66,45.84,826.06,1.17E+07,1635.8,2.31E+07,183.32,2.59E+06,45.877,6.47E+05,435.97,6.15E+06,
1,R1_J11.04,36,18907,3,245.73,228.02,45.224,276.32,5.22E+06,1225.7,2.32E+07,386.73,7.31E+06,133.47,2.52E+06,673,1.27E+07,
1,R1_J11.04,38,8207,2,335.6,310.41,45.49,547.43,4.49E+06,1215.4,9.97E+06,150.09,1.23E+06,66.907,5.49E+05,656.79,5.39E+06,
1,R1_J11.04,39,5295,4,222.3,334.41,45.497,435.59,2.31E+06,1238.5,6.56E+06,318.46,1.69E+06,573.21,3.04E+06,479.21,2.54E+06,
1,R1_J11.04,40,6646,2,340.21,224.65,47.604,570.58,3.79E+06,1120,7.44E+06,194.27,1.29E+06,63.077,4.19E+05,677.19,4.50E+06,
1,R1_J11.04,41,12485,2,299.91,164.82,49.831,340.16,4.25E+06,1224.5,1.53E+07,127.4,1.59E+06,47.898,5.98E+05,434.37,5.42E+06,
1,R1_J11.04,42,1463,1,216,290,52,247.36,,,,126.797,,540.365,,201.072,,
1,R1_J11.04,43,20066,3,256.75,306.56,51.639,269.16,5.40E+06,1284.7,2.58E+07,251.53,5.05E+06,149.02,2.99E+06,731.89,1.47E+07,
1,R1_J11.04,44,9187,3,224.75,218.19,54.885,252.19,2.32E+06,1169.1,1.07E+07,267.05,2.45E+06,54.608,5.02E+05,439.87,4.04E+06,
1,R1_J11.04,45,12409,2,321.42,308.17,56.712,255,3.16E+06,1173.6,1.46E+07,103,1.28E+06,62.211,7.72E+05,433.6,5.38E+06,
1,R1_J11.04,46,11293,2,205.62,338.14,59.444,449.14,5.07E+06,1358.8,1.53E+07,173.99,1.96E+06,71.992,8.13E+05,332.99,3.76E+06,div
1,R1_J11.04,47,11235,2,319.07,171.88,63.708,362.07,4.07E+06,1135.3,1.28E+07,103.85,1.17E+06,34.58,3.89E+05,231.82,2.60E+06,
1,R1_J11.04,49,8694,2,325.14,208.79,58.51,316.24,2.75E+06,1097.5,9.54E+06,116.66,1.01E+06,43.791,3.81E+05,409.77,3.56E+06,
1,R1_J11.04,50,7839,2,352.7,247.33,59.179,374.87,2.94E+06,1082,8.48E+06,111.65,8.75E+05,63.598,4.99E+05,444.4,3.48E+06,
,R1_J11.04,51,15661,2,192,236,59.1995,186.249,,1178.15,,88.675,,103.789,,167.168,,
1,R1_J11.04,52,20137,3,223,288,62,208.93,,,,269.076,,127.405,,535.391,,
1,R1_J11.04,53,21835,2,261.07,166.86,65.764,224.89,4.91E+06,1176.1,2.57E+07,86.455,1.89E+06,33.582,7.33E+05,196.3,4.29E+06,
1,R1_J11.04,54,17184,2,217.1,203.5,66.224,163.43,2.81E+06,1014.2,1.74E+07,92.919,1.60E+06,34.465,5.92E+05,206.56,3.55E+06,
1,R1_J11.04,55,10117,2,321.52,284.97,66.574,196.56,1.99E+06,1325.8,1.34E+07,84.068,8.51E+05,36.979,3.74E+05,294.52,2.98E+06,
1,R1_J11.04,56,4092,2,291.9,313.91,67.34,172.77,7.07E+05,1418.5,5.80E+06,76.243,3.12E+05,35.707,1.46E+05,279.04,1.14E+06,
1,R1_J11.04,57,16062,2,344.63,210.28,72.079,270.93,4.35E+06,1037.4,1.67E+07,82.339,1.32E+06,29.414,4.72E+05,152.24,2.45E+06,
1,R1_J11.04,58,23035,2,265.13,309.73,75.595,138.22,3.18E+06,1166.1,2.69E+07,69.593,1.60E+06,32.561,7.50E+05,176.62,4.07E+06,
1,R1_J11.04,59,10941,2,276.72,270.89,76.34,109.86,1.20E+06,1276.2,1.40E+07,50.088,5.48E+05,28.997,3.17E+05,195.07,2.13E+06,
1,R1_J11.04,60,11376,2,351.96,247.51,78.006,206.8,2.35E+06,925.82,1.05E+07,69.67,7.93E+05,27.649,3.15E+05,177.34,2.02E+06,
1,R1_J11.04,61,14610,2,237.76,215.61,79.272,109.03,1.59E+06,1060.9,1.55E+07,54.968,8.03E+05,27.472,4.01E+05,118.74,1.73E+06,
1,R1_J11.04,62,25619,2,275.5,178.34,84.763,146.37,3.75E+06,1241.3,3.18E+07,57.977,1.49E+06,25.398,6.51E+05,119.94,3.07E+06,
