Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_A14.09,1,10084,2,271.54,225.1,5.5696,1128.2,1.14E+07,1366.3,1.38E+07,392.16,3.95E+06,110.3,1.11E+06,983.11,9.91E+06,
1,R2_A14.09,2,12173,2,320.58,273.34,7.8313,922.2,1.12E+07,1572.7,1.91E+07,299.6,3.65E+06,87.441,1.06E+06,841.6,1.02E+07,
1,R2_A14.09,3,14875,2,212.62,270.31,10.091,1015.6,1.51E+07,1328,1.98E+07,374.19,5.57E+06,101.54,1.51E+06,687.2,1.02E+07,
1,R2_A14.09,4,8951,2,324.72,218.61,12.015,953.75,8.54E+06,1547.4,1.39E+07,300.61,2.69E+06,92.781,8.30E+05,1106.2,9.90E+06,
1,R2_A14.09,5,14556,1,272.41,259.51,13.294,883.78,1.29E+07,1413.9,2.06E+07,625.73,9.11E+06,1971.8,2.87E+07,546.1,7.95E+06,
1,R2_A14.09,6,10264,2,276.25,322.3,11.981,889.73,9.13E+06,1529.9,1.57E+07,274.56,2.82E+06,83.94,8.62E+05,758.16,7.78E+06,
1,R2_A14.09,8,9561,4,239.93,217.95,18.7,589.95,5.64E+06,1397.6,1.34E+07,474.91,4.54E+06,895.13,8.56E+06,707.49,6.76E+06,
1,R2_A14.09,9,8558,4,243.97,303.59,20.304,598.4,5.12E+06,1345.7,1.15E+07,283,2.42E+06,611.1,5.23E+06,867.61,7.43E+06,
1,R2_A14.09,10,9402,4,188.55,237.32,21.016,681.89,6.41E+06,1306.1,1.23E+07,358.83,3.37E+06,599.54,5.64E+06,758.34,7.13E+06,
1,R2_A14.09,11,9696,2,235.61,174.09,22.641,1150.3,1.12E+07,1444.3,1.40E+07,270.69,2.62E+06,67.273,6.52E+05,648.49,6.29E+06,
1,R2_A14.09,12,7363,2,360.45,196.09,24.642,702.17,5.17E+06,1361,1.00E+07,265.25,1.95E+06,57.954,4.27E+05,709.01,5.22E+06,
1,R2_A14.09,13,9587,2,235.86,359.61,25.321,901.1,8.64E+06,1464.5,1.40E+07,229.71,2.20E+06,72.683,6.97E+05,749.9,7.19E+06,
1,R2_A14.09,14,8427,4,212.18,274.31,27.27,908.51,7.66E+06,1223.5,1.03E+07,353.59,2.98E+06,165.77,1.40E+06,554.93,4.68E+06,div
1,R2_A14.09,15,6984,4,252.06,262.79,25.081,529.15,3.70E+06,1264.9,8.83E+06,485.97,3.39E+06,873.75,6.10E+06,605.91,4.23E+06,
1,R2_A14.09,16,8688,4,192.02,209.55,27.975,655.31,5.69E+06,1363.5,1.18E+07,415.1,3.61E+06,946.44,8.22E+06,739.31,6.42E+06,
1,R2_A14.09,17,9360,2,178.12,319.21,27.875,1002.9,9.39E+06,1512.3,1.42E+07,261.31,2.45E+06,74.831,7.00E+05,471.42,4.41E+06,
1,R2_A14.09,18,10125,4,223.68,325.1,30.742,538.82,5.46E+06,1282.8,1.30E+07,390.03,3.95E+06,819.56,8.30E+06,574.6,5.82E+06,
1,R2_A14.09,19,9493,2,300.18,156.98,32.026,681.93,6.47E+06,1432.9,1.36E+07,223.27,2.12E+06,58.797,5.58E+05,419.09,3.98E+06,
1,R2_A14.09,20,7610,1,245.43,209.1,29.829,512.44,3.90E+06,1265.2,9.63E+06,249.71,1.90E+06,785.53,5.98E+06,241.05,1.83E+06,
1,R2_A14.09,21,9733,2,143.75,258.42,31.983,1057.1,1.03E+07,1382.5,1.35E+07,206.82,2.01E+06,45.775,4.46E+05,558.21,5.43E+06,
1,R2_A14.09,22,10159,2,369.46,312.81,33.848,629.03,6.39E+06,1324.4,1.35E+07,188.69,1.92E+06,80.397,8.17E+05,513.65,5.22E+06,
1,R2_A14.09,23,7234,2,206.57,164.66,34.356,796.79,5.76E+06,1561,1.13E+07,207.13,1.50E+06,59.371,4.29E+05,530.43,3.84E+06,
1,R2_A14.09,24,7041,4,164.22,229.09,37.148,521.4,3.67E+06,1499.7,1.06E+07,201.47,1.42E+06,537,3.78E+06,658.66,4.64E+06,
1,R2_A14.09,25,8861,2,401.24,243.33,38.89,580.6,5.14E+06,1291.7,1.14E+07,167.11,1.48E+06,53.071,4.70E+05,440.44,3.90E+06,
1,R2_A14.09,26,13921,1,220.43,209.5,39.044,363.26,5.06E+06,1399.2,1.95E+07,267.53,3.72E+06,589.48,8.21E+06,181.97,2.53E+06,
1,R2_A14.09,27,9441,4,188.5,265.55,37.764,407.39,3.85E+06,1350.4,1.27E+07,177.86,1.68E+06,298.27,2.82E+06,572.6,5.41E+06,
1,R2_A14.09,28,10407,1,164.06,297.03,42.673,410.96,4.28E+06,1319.9,1.37E+07,266.97,2.78E+06,523.62,5.45E+06,233.85,2.43E+06,
1,R2_A14.09,29,9758,4,241.92,177.24,42.123,307.14,3.00E+06,1191.1,1.16E+07,163.17,1.59E+06,254.56,2.48E+06,497.85,4.86E+06,
1,R2_A14.09,30,9188,1,238.18,267.18,39.809,210.31,1.93E+06,1219.6,1.12E+07,198.37,1.82E+06,300.57,2.76E+06,294.37,2.70E+06,
1,R2_A14.09,31,5017,4,195.19,318.38,39.139,369.53,1.85E+06,1515.2,7.60E+06,208.85,1.05E+06,495.6,2.49E+06,607.39,3.05E+06,
1,R2_A14.09,32,10709,2,243.36,371.49,41.634,508.13,5.44E+06,1522.2,1.63E+07,151.68,1.62E+06,42.131,4.51E+05,232.98,2.49E+06,
1,R2_A14.09,33,12176,2,298.92,377.76,48.175,497.9,6.06E+06,1232.1,1.50E+07,123.48,1.50E+06,44.292,5.39E+05,352.44,4.29E+06,
1,R2_A14.09,34,14670,1,232.17,305.66,46.405,235.98,3.46E+06,1311,1.92E+07,111.53,1.64E+06,535.59,7.86E+06,189.55,2.78E+06,
1,R2_A14.09,35,6696,4,209.96,346.51,47.716,254.32,1.70E+06,1247.2,8.35E+06,110.05,7.37E+05,311.69,2.09E+06,331.9,2.22E+06,
1,R2_A14.09,36,10922,4,212.33,255.43,48.848,230.13,2.51E+06,1295.9,1.42E+07,128.01,1.40E+06,222.85,2.43E+06,366.84,4.01E+06,
1,R2_A14.09,37,9208,2,280.98,151.67,52.25,271.9,2.50E+06,1210.8,1.11E+07,105.43,9.71E+05,35.732,3.29E+05,303.82,2.80E+06,
1,R2_A14.09,38,9204,4,193.02,187.08,53.098,224.03,2.06E+06,1264.6,1.16E+07,123,1.13E+06,256.2,2.36E+06,361.08,3.32E+06,
1,R2_A14.09,39,8763,1,234.84,214.85,50.58,180,1.58E+06,1263.2,1.11E+07,116.6,1.02E+06,399.58,3.50E+06,128.68,1.13E+06,
1,R2_A14.09,40,14846,4,167.31,233.6,51.745,185.25,2.75E+06,1305.4,1.94E+07,107.58,1.60E+06,198.88,2.95E+06,298.72,4.43E+06,
1,R2_A14.09,41,5892,4,182.23,301.68,53.584,242.68,1.43E+06,1319.4,7.77E+06,120.71,7.11E+05,363.91,2.14E+06,319.24,1.88E+06,
1,R2_A14.09,42,7371,2,374.21,178.4,56.537,341.84,2.52E+06,1116.1,8.23E+06,117.24,8.64E+05,39.618,2.92E+05,380.15,2.80E+06,
1,R2_A14.09,43,15342,2,228.1,159.87,58.848,249.96,3.83E+06,1179.4,1.81E+07,100.24,1.54E+06,38.979,5.98E+05,205.14,3.15E+06,
1,R2_A14.09,44,9743,2,140.85,276.64,59.637,271.72,2.65E+06,1424.3,1.39E+07,92.317,8.99E+05,34.395,3.35E+05,162.88,1.59E+06,
1,R2_A14.09,45,14523,2,195.02,348.01,59.623,221.44,3.22E+06,1355.8,1.97E+07,83.212,1.21E+06,53.886,7.83E+05,167.19,2.43E+06,
1,R2_A14.09,46,9125,2,396.22,275.56,61.035,318.42,2.91E+06,1013.8,9.25E+06,73.242,6.68E+05,28.788,2.63E+05,183.76,1.68E+06,
1,R2_A14.09,47,10697,2,253.01,370.67,62.36,288.72,3.09E+06,1107.8,1.19E+07,69.317,7.41E+05,25.126,2.69E+05,99.663,1.07E+06,
1,R2_A14.09,48,8963,4,228.48,210.74,62,137.19,1.23E+06,1203,1.08E+07,92.332,8.28E+05,193.16,1.73E+06,211.43,1.90E+06,
1,R2_A14.09,49,13469,1,192.11,306.62,66.758,130.95,1.76E+06,1192.7,1.61E+07,78.499,1.06E+06,218.63,2.94E+06,143.67,1.94E+06,
