Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_B13.02,1,8704,2,271.35,255.35,8.8802,1340.323,,,,739.181,,94.994,,703.094,,
1,R2_B13.02,2,8692,2,320.22,251.42,10.736,1950.9,1.70E+07,1270.8,1.10E+07,728.71,6.33E+06,75.438,6.56E+05,391,3.40E+06,
1,R2_B13.02,3,7492,2,231.2,266.57,9.8042,861.77,6.46E+06,1170.9,8.77E+06,370.58,2.78E+06,62.161,4.66E+05,288.5,2.16E+06,
1,R2_B13.02,4,4502,2,281.35,289.45,9.4147,1240.8,5.59E+06,1292.5,5.82E+06,462.26,2.08E+06,65.547,2.95E+05,320.04,1.44E+06,
1,R2_B13.02,5,11468,2,171.01,277.1,12.153,2009.177,,,,674.821,,97.893,,401.028,,
1,R2_B13.02,6,6871,2,193.17,197.39,13.713,2252,1.55E+07,1185.6,8.15E+06,471.06,3.24E+06,72.325,4.97E+05,252.03,1.73E+06,
1,R2_B13.02,7,6682,2,247.84,304.97,13.951,821.01,5.49E+06,1311.8,8.77E+06,437.81,2.93E+06,54.087,3.61E+05,378.72,2.53E+06,
1,R2_B13.02,8,5521,2,312.09,179.33,15.954,1460,8.06E+06,1427.3,7.88E+06,708.26,3.91E+06,71.374,3.94E+05,246.02,1.36E+06,
1,R2_B13.02,9,7149,2,202.81,320.23,17.395,904.55,6.47E+06,1234.7,8.83E+06,607.88,4.35E+06,175.52,1.25E+06,289.57,2.07E+06,
1,R2_B13.02,10,8395,2,305.06,312.59,17.524,1161.8,9.75E+06,1098.6,9.22E+06,560.34,4.70E+06,60.012,5.04E+05,281.62,2.36E+06,
1,R2_B13.02,11,3807,2,232.55,166.5,17.184,2349.6,8.95E+06,1172,4.46E+06,564.12,2.15E+06,59.614,2.27E+05,473.09,1.80E+06,
1,R2_B13.02,12,3794,2,348.58,196.01,18.68,2166.7,8.22E+06,1334.4,5.06E+06,908.85,3.45E+06,77.989,2.96E+05,267.01,1.01E+06,
1,R2_B13.02,13,8743,1,217.66,236.05,20.398,1045.8,9.14E+06,1171.2,1.02E+07,1195.8,1.05E+07,1787.3,1.56E+07,234.15,2.05E+06,
1,R2_B13.02,14,10381,2,288.31,150.59,23.258,1496.5,1.55E+07,1383.1,1.44E+07,466.08,4.84E+06,48.355,5.02E+05,223.86,2.32E+06,
1,R2_B13.02,15,18933,3,278,243,18,1280.306,,,,2155.36,,126.765,,2035.396,,
1,R2_B13.02,16,3659,2,380.88,252.11,20.147,2148.2,7.86E+06,1198.2,4.38E+06,813.03,2.97E+06,77.587,2.84E+05,397.35,1.45E+06,
1,R2_B13.02,17,6647,2,280.79,343.56,20.879,710.09,4.72E+06,1309.3,8.70E+06,423.2,2.81E+06,51.677,3.44E+05,388.1,2.58E+06,
1,R2_B13.02,18,10888,2,232.13,351.6,25.094,765.36,8.33E+06,1209.5,1.32E+07,344.93,3.76E+06,43.755,4.76E+05,203.42,2.21E+06,
,R2_B13.02,19,8338,3,279.465,205.585,26.626,803.61,,1281.2,,1302.65,,100.202,,1390.3,,
1,R2_B13.02,20,5371,2,370.45,216.34,25.099,1938.4,1.04E+07,1235.4,6.64E+06,620.98,3.34E+06,62.094,3.34E+05,274.07,1.47E+06,
1,R2_B13.02,21,1121,1,172.67,227.29,21.168,595.16,6.67E+05,1186,1.33E+06,2009.2,2.25E+06,1451.2,1.63E+06,132.48,1.49E+05,
1,R2_B13.02,22,2244,1,190.43,249.11,22.266,837.38,1.88E+06,974.52,2.19E+06,1178.8,2.65E+06,1568.3,3.52E+06,167.11,3.75E+05,
,R2_B13.02,23,6913,3,241.52,310.955,28.8655,607.265,,1240.75,,1129.45,,80.5595,,1016.83,,
1,R2_B13.02,24,8706,2,207.8,180.01,26.407,1187.1,1.03E+07,1330.8,1.16E+07,311.66,2.71E+06,58.677,5.11E+05,276.9,2.41E+06,
1,R2_B13.02,25,4006,2,364.6,266.26,25.509,1460.9,5.85E+06,1301.3,5.21E+06,578.82,2.32E+06,68.979,2.76E+05,544.61,2.18E+06,
1,R2_B13.02,26,491,1,184,281,20,735.235,,,,1013.502,,1707.981,,216.502,,
1,R2_B13.02,28,8840,2,323.73,278.31,28.572,865.06,7.65E+06,1203.5,1.06E+07,395.15,3.49E+06,53.472,4.73E+05,197.92,1.75E+06,
1,R2_B13.02,29,2044,3,213.48,286.96,25.278,693.2,1.42E+06,1221.8,2.50E+06,1279.4,2.62E+06,137.8,2.82E+05,1456.6,2.98E+06,
1,R2_B13.02,30,4182,2,251.23,159.42,27.786,1031.1,4.31E+06,1200,5.02E+06,493.07,2.06E+06,50.017,2.09E+05,231.99,9.70E+05,
1,R2_B13.02,31,10379,1,208.09,319.61,28.009,620.35,6.44E+06,1164.1,1.21E+07,1601.5,1.66E+07,830.39,8.62E+06,260.2,2.70E+06,
1,R2_B13.02,32,10709,2,318.93,186.94,27.917,671.88,7.20E+06,1316.1,1.41E+07,336.73,3.61E+06,39.634,4.24E+05,157.84,1.69E+06,
1,R2_B13.02,33,2418,2,327.28,316.72,28.053,708.45,1.71E+06,1150.8,2.78E+06,517.54,1.25E+06,59.608,1.44E+05,218.22,5.28E+05,
1,R2_B13.02,34,8978,1,133.49,226.11,31.959,690.316,,,,2993.243,,1367.42,,146.701,,
1,R2_B13.02,35,6471,3,233.52,266.43,29.601,604.03,3.91E+06,1075.3,6.96E+06,958.63,6.20E+06,105.33,6.82E+05,1291.2,8.36E+06,
