Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_C13.04,1,9071,2,289.88,261.57,6.4627,1172,1.06E+07,1717.2,1.56E+07,924.93,8.39E+06,97.069,8.81E+05,742.75,6.74E+06,
1,R2_C13.04,2,9548,2,235.07,269.54,5.901,1825.9,1.74E+07,1687.4,1.61E+07,738,7.05E+06,88.795,8.48E+05,373.94,3.57E+06,
1,R2_C13.04,3,11314,2,233.3,204.5,8.7811,1273.3,1.44E+07,1621.6,1.83E+07,644.93,7.30E+06,86.854,9.83E+05,472.17,5.34E+06,
1,R2_C13.04,4,7755,2,226.23,312.33,9.0575,1450.4,1.12E+07,1714.8,1.33E+07,668.36,5.18E+06,88.285,6.85E+05,759.37,5.89E+06,
1,R2_C13.04,5,7250,2,287.24,205.99,12.214,1232.8,8.94E+06,1575.5,1.14E+07,1082.5,7.85E+06,121.53,8.81E+05,580.01,4.21E+06,
1,R2_C13.04,6,19791,2,168,242,12,1927.459,,,,768.182,,81.877,,359.15,,
1,R2_C13.04,7,8958,2,342.15,255.27,11.5,1013.4,9.08E+06,1556.6,1.39E+07,780.37,6.99E+06,91.027,8.15E+05,556.49,4.99E+06,
1,R2_C13.04,8,8026,2,292.86,312.92,11.381,1583.7,1.27E+07,1713.9,1.38E+07,683.23,5.48E+06,76.537,6.14E+05,406.24,3.26E+06,
1,R2_C13.04,9,7309,2,168.87,209.2,16.7,1545.5,1.13E+07,1693.8,1.24E+07,703.76,5.14E+06,84.79,6.20E+05,428.53,3.13E+06,
1,R2_C13.04,10,5799,2,332.69,217.74,15.748,1459.9,8.47E+06,1512.6,8.77E+06,1199.9,6.96E+06,162.02,9.40E+05,594.01,3.44E+06,
1,R2_C13.04,11,6287,2,270.46,176.8,17.727,1252.5,7.87E+06,1510.7,9.50E+06,825.59,5.19E+06,85.335,5.37E+05,673.64,4.24E+06,
1,R2_C13.04,12,6563,2,154.32,289.73,18.187,1572.1,1.03E+07,1466.6,9.63E+06,610.29,4.01E+06,121.52,7.98E+05,536.83,3.52E+06,
1,R2_C13.04,13,7836,2,349.41,295.59,18.266,1097.3,8.60E+06,1534,1.20E+07,823.08,6.45E+06,84.678,6.64E+05,567.83,4.45E+06,
1,R2_C13.04,14,7389,3,183.86,306.06,17.872,1515,1.12E+07,1528.6,1.13E+07,3024.2,2.23E+07,173.29,1.28E+06,1837.6,1.36E+07,
1,R2_C13.04,15,21630,3,220,196,19,1277.93,,,,1420.722,,143.859,,1641.966,,
1,R2_C13.04,16,5961,2,196.48,344.96,20.607,1738.9,1.04E+07,1527.9,9.11E+06,617.9,3.68E+06,62.94,3.75E+05,205.49,1.22E+06,
1,R2_C13.04,17,5541,2,322.97,192.38,21.698,1248.7,6.92E+06,1545.9,8.57E+06,663.71,3.68E+06,216.47,1.20E+06,495.29,2.74E+06,
1,R2_C13.04,18,6005,2,364.45,219.47,21.865,1198.3,7.20E+06,1530.4,9.19E+06,676.4,4.06E+06,274.51,1.65E+06,577.31,3.47E+06,
1,R2_C13.04,19,6275,2,129.4,238.86,21.916,1756.1,1.10E+07,1623.9,1.02E+07,714.22,4.48E+06,104.68,6.57E+05,271.2,1.70E+06,
1,R2_C13.04,20,7523,2,305.57,342.85,23.177,1210.9,9.11E+06,1521.1,1.14E+07,597.64,4.50E+06,65.151,4.90E+05,531.27,4.00E+06,
1,R2_C13.04,21,7683,2,381.07,254.77,24.028,949.92,7.30E+06,1651.2,1.27E+07,711.74,5.47E+06,80.558,6.19E+05,430.68,3.31E+06,
1,R2_C13.04,22,8614,2,384.41,289.04,24.078,897.08,7.73E+06,1468.3,1.26E+07,538.66,4.64E+06,66.11,5.69E+05,322.15,2.78E+06,
1,R2_C13.04,23,5674,2,259.15,361.69,25.735,1900.7,1.08E+07,1889.7,1.07E+07,687.37,3.90E+06,65.078,3.69E+05,250.35,1.42E+06,
1,R2_C13.04,24,10606,1,151.57,249.75,26.746,1375.5,1.46E+07,1355.2,1.44E+07,1378.7,1.46E+07,1908.7,2.02E+07,181.4,1.92E+06,
1,R2_C13.04,25,6217,2,341.27,342.61,27.411,1380.1,8.58E+06,1607.3,9.99E+06,551.98,3.43E+06,59.455,3.70E+05,440.9,2.74E+06,
1,R2_C13.04,26,11734,2,248.58,155.82,29.905,791.48,9.29E+06,1708.4,2.00E+07,361.22,4.24E+06,51.741,6.07E+05,264.4,3.10E+06,
1,R2_C13.04,27,12482,2,383.46,217.85,32.163,910.72,1.14E+07,1392.7,1.74E+07,429.41,5.36E+06,60.787,7.59E+05,205.3,2.56E+06,
1,R2_C13.04,28,10106,2,346.97,185.24,33.123,589.72,5.96E+06,1576.8,1.59E+07,280.74,2.84E+06,52.563,5.31E+05,353.09,3.57E+06,
1,R2_C13.04,30,9858,3,224.07,188.78,31.52,1149.8,1.13E+07,1418.1,1.40E+07,1544.8,1.52E+07,107.04,1.06E+06,1483.7,1.46E+07,
1,R2_C13.04,32,11160,3,191.94,264.44,32.563,842.8,9.41E+06,1447.7,1.62E+07,1340.7,1.50E+07,104.76,1.17E+06,1230.6,1.37E+07,
