Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_K15.14,1,10186,2,226.42,221.44,9.5814,1683.5,1.71E+07,1308.4,1.33E+07,446.6,4.55E+06,84.524,8.61E+05,614.95,6.26E+06,
1,R2_K15.14,2,18689,2,213.61,293.25,8.1117,1531.6,2.86E+07,1363.5,2.55E+07,286.23,5.35E+06,62.01,1.16E+06,234.17,4.38E+06,div
1,R2_K15.14,3,23046,2,283.84,234.86,10.476,1270.8,2.93E+07,1608.4,3.71E+07,412.42,9.50E+06,64.4,1.48E+06,414.75,9.56E+06,
1,R2_K15.14,4,8031,2,277.25,289.94,11.321,1683,1.35E+07,1472,1.18E+07,427.78,3.44E+06,73.839,5.93E+05,682.73,5.48E+06,
1,R2_K15.14,5,11209,3,204.62,236.15,16.809,1854.2,2.08E+07,1444.8,1.62E+07,778.5,8.73E+06,128.81,1.44E+06,986.49,1.11E+07,
1,R2_K15.14,6,11870,1,244.98,208.17,19.573,1373.4,1.63E+07,1384.8,1.64E+07,747.36,8.87E+06,482.29,5.72E+06,179.16,2.13E+06,
1,R2_K15.14,7,11886,1,236.54,279.48,20.956,1680.3,2.00E+07,1454.6,1.73E+07,404.44,4.81E+06,724.98,8.62E+06,286.47,3.41E+06,
1,R2_K15.14,8,2044,3,265.19,273.74,17.601,1339.1,2.74E+06,1511.6,3.09E+06,750.36,1.53E+06,90.177,1.84E+05,1317.2,2.69E+06,
1,R2_K15.14,9,5880,2,281.58,183.01,20.89,1674.4,9.85E+06,1569.2,9.23E+06,336.63,1.98E+06,54.45,3.20E+05,408.91,2.40E+06,
1,R2_K15.14,10,8033,2,184.14,183.84,23.207,1825.5,1.47E+07,1496.5,1.20E+07,297.97,2.39E+06,82.708,6.64E+05,397.09,3.19E+06,
1,R2_K15.14,11,7437,3,201.16,272.05,24.386,2375.7,1.77E+07,1403.8,1.04E+07,1035.9,7.70E+06,72.611,5.40E+05,482.4,3.59E+06,div
1,R2_K15.14,12,7542,2,366.6,265.57,23.997,1216.7,9.18E+06,1670.9,1.26E+07,263.9,1.99E+06,52.238,3.94E+05,406.96,3.07E+06,
1,R2_K15.14,13,19164,1,199.57,318.7,23.292,1393.1,2.67E+07,1385.5,2.66E+07,462,8.85E+06,497.71,9.54E+06,220.81,4.23E+06,
1,R2_K15.14,14,5914,2,241.63,169.06,25.629,1984.6,1.17E+07,1541.9,9.12E+06,298.24,1.76E+06,71.658,4.24E+05,341.68,2.02E+06,
1,R2_K15.14,15,5104,3,275.95,240.32,22.574,1311.3,6.69E+06,1474.4,7.53E+06,689.07,3.52E+06,83.551,4.26E+05,1269,6.48E+06,
1,R2_K15.14,16,13497,1,149.11,266.07,25.806,1572.1,2.12E+07,1439.2,1.94E+07,375.53,5.07E+06,449.06,6.06E+06,588.11,7.94E+06,
1,R2_K15.14,17,7098,2,351.24,200.24,26.589,1407.5,9.99E+06,1656.6,1.18E+07,256.95,1.82E+06,53.865,3.82E+05,359.94,2.55E+06,
1,R2_K15.14,18,6530,2,135.01,223.31,26.46,1850.8,1.21E+07,1466.4,9.58E+06,305.01,1.99E+06,45.191,2.95E+05,492.14,3.21E+06,
1,R2_K15.14,19,7708,2,290.3,315.11,25.533,1130.9,8.72E+06,1698.5,1.31E+07,263.66,2.03E+06,40.888,3.15E+05,252.91,1.95E+06,
1,R2_K15.14,20,10317,3,167.89,230.88,27.937,1375.2,1.42E+07,1475.8,1.52E+07,400.09,4.13E+06,80.136,8.27E+05,807.02,8.33E+06,
1,R2_K15.14,21,6953,2,358.26,335.75,31.795,1243,8.64E+06,1496.2,1.04E+07,229.61,1.60E+06,52.943,3.68E+05,304.95,2.12E+06,
1,R2_K15.14,22,14398,1,225.55,234.63,32.639,761.16,1.10E+07,1313.8,1.89E+07,360.17,5.19E+06,266.47,3.84E+06,130.08,1.87E+06,
1,R2_K15.14,23,8461,1,193.54,195.32,33.202,950.44,8.04E+06,1357.7,1.15E+07,276.23,2.34E+06,342.21,2.90E+06,152.94,1.29E+06,
1,R2_K15.14,24,5682,2,388.05,293.65,34.548,1341.4,7.62E+06,1631,9.27E+06,242.23,1.38E+06,56.517,3.21E+05,293.76,1.67E+06,
1,R2_K15.14,25,12292,2,122.96,298.25,37.671,1672.4,2.06E+07,1633.1,2.01E+07,179.67,2.21E+06,43.208,5.31E+05,222.39,2.73E+06,
1,R2_K15.14,26,10271,4,189.21,327.35,35.206,1225.8,1.26E+07,1465.1,1.50E+07,449.19,4.61E+06,345.89,3.55E+06,330.43,3.39E+06,
1,R2_K15.14,27,10072,2,191.31,360.26,36.503,1635,1.65E+07,1564.6,1.58E+07,223.77,2.25E+06,45.884,4.62E+05,248.18,2.50E+06,
1,R2_K15.14,28,6216,2,236.88,364.82,34.546,1258.2,7.82E+06,1626,1.01E+07,228.88,1.42E+06,40.383,2.51E+05,222.79,1.38E+06,
1,R2_K15.14,29,6780,2,110.57,254.44,37.423,1326.8,9.00E+06,1675.7,1.14E+07,215.28,1.46E+06,42.222,2.86E+05,213.02,1.44E+06,
1,R2_K15.14,30,13745,3,253.34,277.07,37.069,638.81,8.78E+06,1428.4,1.96E+07,178.65,2.46E+06,85.57,1.18E+06,437.51,6.01E+06,
1,R2_K15.14,32,6332,2,286.59,360.08,37.294,1134.5,7.18E+06,1564.6,9.91E+06,197.87,1.25E+06,67.907,4.30E+05,234.48,1.48E+06,
1,R2_K15.14,33,10749,1,231.8,171.36,37.873,937.07,1.01E+07,1412.4,1.52E+07,241.08,2.59E+06,361.36,3.88E+06,133.44,1.43E+06,
1,R2_K15.14,34,15026,3,265.15,205.54,41.85,518.44,7.79E+06,1313.4,1.97E+07,351.88,5.29E+06,49.849,7.49E+05,388.93,5.84E+06,
1,R2_K15.14,36,11248,1,160.87,277.64,37.107,955.58,1.07E+07,1358.4,1.53E+07,190.01,2.14E+06,310.41,3.49E+06,142.17,1.60E+06,
1,R2_K15.14,38,7224,2,292.67,144.87,40.938,1114.4,8.05E+06,1674.6,1.21E+07,192.24,1.39E+06,36.928,2.67E+05,219.51,1.59E+06,
1,R2_K15.14,40,12514,3,201.15,281.14,42.102,640.2,8.01E+06,1396.8,1.75E+07,226.25,2.83E+06,81.462,1.02E+06,410.92,5.14E+06,
1,R2_K15.14,41,13494,4,174.32,189.85,45.285,625.01,8.43E+06,1476.4,1.99E+07,220.37,2.97E+06,164.7,2.22E+06,270.2,3.65E+06,
1,R2_K15.14,42,11581,3,204.6,237.65,44.438,559.9,6.48E+06,1350.6,1.56E+07,201.1,2.33E+06,73.027,8.46E+05,323.11,3.74E+06,
1,R2_K15.14,43,6645,2,186.04,150.54,46.412,993.3,6.60E+06,1799.6,1.20E+07,126.92,8.43E+05,29.372,1.95E+05,180.12,1.20E+06,
1,R2_K15.14,44,14157,2,392.79,202.3,49.29,987.21,1.40E+07,1612.6,2.28E+07,202.54,2.87E+06,39.75,5.63E+05,148.68,2.10E+06,
1,R2_K15.14,45,8543,2,247.49,155.23,49.267,663.89,5.67E+06,1438.7,1.23E+07,110.19,9.41E+05,38.889,3.32E+05,164.67,1.41E+06,
1,R2_K15.14,46,6009,2,129.87,207.33,49.025,840.2,5.05E+06,1624.2,9.76E+06,125.39,7.53E+05,36.307,2.18E+05,182.67,1.10E+06,
1,R2_K15.14,47,9283,4,174.15,314.46,47.507,568.34,5.28E+06,1416.7,1.32E+07,173.73,1.61E+06,121.31,1.13E+06,362.74,3.37E+06,
1,R2_K15.14,48,9201,3,129.92,272.54,49.808,569.09,5.24E+06,1446.1,1.33E+07,169.79,1.56E+06,64.531,5.94E+05,375.4,3.45E+06,
1,R2_K15.14,49,8378,2,366.84,352.51,48.934,808.35,6.77E+06,1522.4,1.28E+07,206.02,1.73E+06,63.508,5.32E+05,224.72,1.88E+06,
1,R2_K15.14,50,6219,2,165.08,344.84,51.703,740.59,4.61E+06,1638.5,1.02E+07,148.07,9.21E+05,37.613,2.34E+05,124.4,7.74E+05,
,R2_K15.14,52,16762,3,226.625,266.185,54.0075,268.98,,1338.6,,101.63,,44.843,,229.205,,
1,R2_K15.14,53,16215,1,226.88,196.62,54.703,317.78,5.15E+06,1240,2.01E+07,130.22,2.11E+06,198.6,3.22E+06,72.822,1.18E+06,
1,R2_K15.14,54,7173,2,415.68,247.49,56.113,698.84,5.01E+06,1460.1,1.05E+07,153.34,1.10E+06,47.413,3.40E+05,193.88,1.39E+06,
1,R2_K15.14,55,11271,2,286.58,387.12,57.756,832.91,9.39E+06,1472.8,1.66E+07,134.12,1.51E+06,33.366,3.76E+05,122.64,1.38E+06,
1,R2_K15.14,56,9436,2,318.82,152.99,57.395,636.87,6.01E+06,1554.6,1.47E+07,126.4,1.19E+06,32.636,3.08E+05,194.42,1.83E+06,
1,R2_K15.14,57,6616,2,133.5,312.91,55.268,551.42,3.65E+06,1445.5,9.56E+06,105.67,6.99E+05,33.556,2.22E+05,127.23,8.42E+05,
1,R2_K15.14,58,12354,3,191.28,225.46,57.2,339.35,4.19E+06,1246.1,1.54E+07,145.44,1.80E+06,44.555,5.50E+05,242.26,2.99E+06,
1,R2_K15.14,59,9047,3,155.45,256.52,57.308,296.86,2.69E+06,1265,1.14E+07,97.964,8.86E+05,49.952,4.52E+05,178.86,1.62E+06,
1,R2_K15.14,60,16164,1,167.42,199.65,62.169,340.27,5.50E+06,1402,2.27E+07,84.954,1.37E+06,154.78,2.50E+06,72.373,1.17E+06,
1,R2_K15.14,61,7649,2,405.13,209.47,62.07,686.12,5.25E+06,1319.3,1.01E+07,132.65,1.01E+06,40.174,3.07E+05,133.04,1.02E+06,
1,R2_K15.14,62,8637,1,164.72,293.14,62.481,289.2,2.50E+06,1314,1.13E+07,117.25,1.01E+06,172.68,1.49E+06,93.621,8.09E+05,
1,R2_K15.14,63,8057,2,382.24,343.06,62.448,594.86,4.79E+06,1292.9,1.04E+07,149.42,1.20E+06,42.748,3.44E+05,168.1,1.35E+06,
1,R2_K15.14,64,10502,2,228.66,365.44,65.167,253.57,2.66E+06,1401.4,1.47E+07,71.855,7.55E+05,23.737,2.49E+05,59.461,6.24E+05,
1,R2_K15.14,65,16215,2,212.28,179.49,72.949,145.4,2.36E+06,1169.7,1.90E+07,39.049,6.33E+05,24.598,3.99E+05,46.825,7.59E+05,
1,R2_K15.14,66,12453,2,399.36,301.71,71.828,659.2,8.21E+06,1296.8,1.62E+07,113.41,1.41E+06,42.767,5.33E+05,143.71,1.79E+06,
1,R2_K15.14,67,14062,2,300.26,169.04,71.987,364.94,5.13E+06,1803.5,2.54E+07,52.697,7.41E+05,19.891,2.80E+05,44.711,6.29E+05,
1,R2_K15.14,68,11548,2,141.26,270.05,70.627,186.45,2.15E+06,1316.9,1.52E+07,61.056,7.05E+05,30.814,3.56E+05,72.574,8.38E+05,
1,R2_K15.14,69,3499,3,193,254,68,167.666,,,,73.232,,28.722,,126.864,,
1,R2_K15.14,70,1762,2,197.29,238.43,69.177,192.1,3.38E+05,1205,2.12E+06,83.932,1.48E+05,31.085,54771,146.35,2.58E+05,
1,R2_K15.14,71,11043,2,339.67,357.08,77.114,576.02,6.36E+06,1438.6,1.59E+07,73.179,8.08E+05,24.942,2.75E+05,57.398,6.34E+05,div
1,R2_K15.14,72,26051,2,174.14,225.94,81.46,132.22,3.44E+06,1185.6,3.09E+07,42.805,1.12E+06,25.331,6.60E+05,54.723,1.43E+06,
1,R2_K15.14,73,22644,2,376.72,201.45,79.338,324.23,7.34E+06,1504.5,3.41E+07,67.781,1.53E+06,24.973,5.65E+05,88.789,2.01E+06,
1,R2_K15.14,74,11754,2,179.39,287.07,82.536,131.33,1.54E+06,1237.9,1.46E+07,46.421,5.46E+05,27.85,3.27E+05,50.473,5.93E+05,
1,R2_K15.14,75,26001,2,209.95,314.71,86.203,118.37,3.08E+06,1346.7,3.50E+07,35.921,9.34E+05,19.032,4.95E+05,37.642,9.79E+05,
1,R2_K15.14,76,7844,2,399.61,264.09,83.533,346.19,2.72E+06,1504.2,1.18E+07,69.26,5.43E+05,26.796,2.10E+05,75.662,5.93E+05,
1,R2_K15.14,77,23973,2,278.25,355.29,86.723,171.63,4.11E+06,1719.7,4.12E+07,39.225,9.40E+05,19.207,4.60E+05,37.193,8.92E+05,
1,R2_K15.14,78,26808,2,301.88,211.33,92.36,185.3,4.97E+06,1779,4.77E+07,33.309,8.93E+05,18.102,4.85E+05,36.56,9.80E+05,
1,R2_K15.14,79,38121,2,222.39,222.45,94.014,79.886,3.05E+06,1212.6,4.62E+07,26.766,1.02E+06,17.085,6.51E+05,29.247,1.11E+06,
