Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_L05.05,1,7416,2,207.29,258.86,9.228,3100.4,2.30E+07,1076.8,7.99E+06,454.1,3.37E+06,67.142,4.98E+05,474.25,3.52E+06,
1,R2_L05.05,2,9390,2,272.59,285.17,11.157,2946.9,2.77E+07,1343.9,1.26E+07,380.89,3.58E+06,59.292,5.57E+05,536.84,5.04E+06,
1,R2_L05.05,3,15281,4,203.59,211.15,10.882,1012.5,1.55E+07,1047,1.60E+07,1564.7,2.39E+07,174.22,2.66E+06,691.23,1.06E+07,
1,R2_L05.05,4,5701,2,250.41,240.39,11.812,2669.4,1.52E+07,1381.8,7.88E+06,379.49,2.16E+06,71.66,4.09E+05,893.2,5.09E+06,
1,R2_L05.05,5,9490,2,344.22,249.48,12.014,1878.1,1.78E+07,1346.9,1.28E+07,310.83,2.95E+06,51.396,4.88E+05,345.42,3.28E+06,
1,R2_L05.05,6,8743,2,306.81,303.19,12.912,3122.7,2.73E+07,1458.9,1.28E+07,364.5,3.19E+06,61.428,5.37E+05,529.07,4.63E+06,
1,R2_L05.05,7,11093,3,235.15,287.43,15.905,2066.2,2.29E+07,1212.1,1.34E+07,842.7,9.35E+06,134.09,1.49E+06,1530.2,1.70E+07,
1,R2_L05.05,8,9755,2,237.72,329.95,15.444,3076.7,3.00E+07,1277.1,1.25E+07,351.37,3.43E+06,52.398,5.11E+05,415.07,4.05E+06,
1,R2_L05.05,9,6830,2,297.58,251.44,16.328,1661.6,1.13E+07,1383.7,9.45E+06,271.18,1.85E+06,49.002,3.35E+05,726.46,4.96E+06,
1,R2_L05.05,10,6139,2,371.88,256.01,16.588,1742.7,1.07E+07,1218.5,7.48E+06,243.67,1.50E+06,48.861,3.00E+05,369.8,2.27E+06,
1,R2_L05.05,11,8423,2,356.72,307.48,16.543,2288.9,1.93E+07,1382.3,1.16E+07,317.76,2.68E+06,49.768,4.19E+05,463.38,3.90E+06,
1,R2_L05.05,12,7640,1,150.08,240.24,17.759,1327.3,1.01E+07,1042.2,7.96E+06,912.41,6.97E+06,1084.2,8.28E+06,273.59,2.09E+06,
1,R2_L05.05,13,4835,2,269.26,202.21,20.416,2505.2,1.21E+07,1325.5,6.41E+06,344.13,1.66E+06,52.181,2.52E+05,497.47,2.41E+06,
1,R2_L05.05,14,6783,2,243.91,235.24,21.549,2406.6,1.63E+07,1329.4,9.02E+06,296.33,2.01E+06,61.38,4.16E+05,355.25,2.41E+06,
1,R2_L05.05,15,6919,2,316.45,207.38,22.087,1580.7,1.09E+07,1383.8,9.57E+06,237.73,1.64E+06,56.701,3.92E+05,453.22,3.14E+06,
1,R2_L05.05,16,7889,2,357.34,208.45,22.857,1335.9,1.05E+07,1255.1,9.90E+06,178.57,1.41E+06,40.489,3.19E+05,283.49,2.24E+06,
1,R2_L05.05,17,8450,2,388.13,287.99,23.831,1422.2,1.20E+07,1360.8,1.15E+07,207.09,1.75E+06,42.807,3.62E+05,377.01,3.19E+06,
1,R2_L05.05,18,9147,2,194.18,334.69,22.548,2945.7,2.69E+07,1393.3,1.27E+07,268.58,2.46E+06,44.572,4.08E+05,357.56,3.27E+06,
1,R2_L05.05,19,8801,1,156.62,193.15,24.068,1089.4,9.59E+06,1172.9,1.03E+07,731.57,6.44E+06,790.98,6.96E+06,360.18,3.17E+06,
1,R2_L05.05,20,7290,3,200.25,228.08,23.219,910.39,6.64E+06,999.43,7.29E+06,1550.5,1.13E+07,100.07,7.30E+05,1355.8,9.88E+06,
1,R2_L05.05,21,6645,2,342.52,343.37,23.406,2163.5,1.44E+07,1329.5,8.83E+06,229.32,1.52E+06,47.072,3.13E+05,268.54,1.78E+06,
1,R2_L05.05,22,6011,2,248.19,365.92,24.396,2914.1,1.75E+07,1514.2,9.10E+06,258.14,1.55E+06,47.176,2.84E+05,326.17,1.96E+06,
1,R2_L05.05,23,6318,3,202.05,182.32,24.75,1543.6,9.75E+06,1185.7,7.49E+06,1441.1,9.10E+06,104.57,6.61E+05,1433.3,9.06E+06,
