Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
1,R2_O08.04,1,12293,2,260.66,268.49,9.1364,1624.7,2.00E+07,1451.2,1.78E+07,212.03,2.61E+06,52.786,6.49E+05,428.5,5.27E+06,
1,R2_O08.04,3,16791,2,268.89,216.32,11.97,1143.1,1.92E+07,1415.6,2.38E+07,232.96,3.91E+06,49.401,8.29E+05,421.08,7.07E+06,
1,R2_O08.04,4,11446,2,270.25,312.07,13.052,1732.9,1.98E+07,1604.5,1.84E+07,200.64,2.30E+06,39.297,4.50E+05,393.05,4.50E+06,
1,R2_O08.04,5,7103,2,176.19,222,14.045,2240.6,1.59E+07,1298.8,9.23E+06,207.4,1.47E+06,40.694,2.89E+05,232.91,1.65E+06,div
1,R2_O08.04,6,8151,1,230.52,253.25,13.368,1073.9,8.75E+06,1459.9,1.19E+07,274.12,2.23E+06,627.1,5.11E+06,182.82,1.49E+06,
1,R2_O08.04,7,17159,2,323.18,259.46,15.424,1148.8,1.97E+07,1755.8,3.01E+07,260.65,4.47E+06,50.987,8.75E+05,426.96,7.33E+06,
1,R2_O08.04,8,3009,2,181.68,280.22,15.426,2802.2,8.43E+06,1478.2,4.45E+06,173.8,5.23E+05,30.441,91596,166.67,5.02E+05,div
1,R2_O08.04,9,2809,2,234.39,316,17.367,2654.4,7.46E+06,1510.8,4.24E+06,177.03,4.97E+05,27.714,77848,164.32,4.62E+05,div
1,R2_O08.04,10,10809,1,212.96,227.14,20.757,876.72,9.48E+06,1513.8,1.64E+07,242.8,2.62E+06,382.92,4.14E+06,158.71,1.72E+06,
1,R2_O08.04,11,5649,2,266.09,340.65,20.595,1523.3,8.61E+06,1627.8,9.20E+06,212.76,1.20E+06,86.119,4.86E+05,404.63,2.29E+06,
1,R2_O08.04,12,10547,2,245.81,171.36,22.41,816.32,8.61E+06,1381.6,1.46E+07,195.93,2.07E+06,86.822,9.16E+05,299.56,3.16E+06,
1,R2_O08.04,13,14797,2,359.64,312.85,23.661,1344.8,1.99E+07,1529.6,2.26E+07,283.19,4.19E+06,67.855,1.00E+06,329.26,4.87E+06,
1,R2_O08.04,14,14149,2,294.31,192.93,24.873,938.84,1.33E+07,1663.7,2.35E+07,181.46,2.57E+06,57.901,8.19E+05,355.56,5.03E+06,
1,R2_O08.04,15,3042,2,313.4,331.87,21.93,2557.4,7.78E+06,1709.3,5.20E+06,207.17,6.30E+05,79.728,2.43E+05,189.4,5.76E+05,div
1,R2_O08.04,16,6584,3,208.53,336.94,22.726,1260.8,8.30E+06,1668.7,1.10E+07,234.82,1.55E+06,95.964,6.32E+05,443.45,2.92E+06,
1,R2_O08.04,17,5810,1,248.61,200.55,24.425,701.21,4.07E+06,1481.9,8.61E+06,521.36,3.03E+06,299.27,1.74E+06,196.11,1.14E+06,
