Experiment,Litter,Channel,Marker,ab.2,Experimenter
101216Spry4_A,A,CH1,DNA,Hoechst,NS
101216Spry4_A,A,CH2,GFP.ck,af488.ck,NS
101216Spry4_A,A,CH3,NANOG.rb,af647.rb,NS
101216Spry4_A,A,CH4,BF,NA,NS
101216Spry4_A,A,CH5,GATA6.gt,af568.gt,NS
101416Spry4_Ba,B,CH1,DNA,Hoechst,NS
101416Spry4_Ba,B,CH2,GFP.ck,af488.ck,NS
101416Spry4_Ba,B,CH3,NANOG.rb,af647.rb,NS
101416Spry4_Ba,B,CH4,BF,NA,NS
101416Spry4_Ba,B,CH5,GATA6.gt,af568.gt,NS
101416Spry4_Bb,B,CH1,DNA,Hoechst,NS
101416Spry4_Bb,B,CH2,Venus,no.ab,NS
101416Spry4_Bb,B,CH3,NANOG.rb,af647.rb,NS
101416Spry4_Bb,B,CH4,BF,NA,NS
101416Spry4_Bb,B,CH5,GATA6.gt,af568.gt,NS
101716Spry_C,C,CH1,DNA,Hoechst,NS
101716Spry_C,C,CH2,Venus,no.ab,NS
101716Spry_C,C,CH3,NANOG.rb,af647.rb,NS
101716Spry_C,C,CH4,BF,NA,NS
101716Spry_C,C,CH5,GATA6.gt,af568.gt,NS
101816Spry_D,D,CH1,DNA,Hoechst,NS
101816Spry_D,D,CH2,Venus,no.ab,NS
101816Spry_D,D,CH3,NANOG.rb,af647.rb,NS
101816Spry_D,D,CH4,BF,NA,NS
101816Spry_D,D,CH5,GATA6.gt,af568.gt,NS
101816Spry_Ea,E,CH1,DNA,Hoechst,NS
101816Spry_Ea,E,CH2,GFP.ck,af488.ck,NS
101816Spry_Ea,E,CH3,NANOG.rb,af647.rb,NS
101816Spry_Ea,E,CH4,BF,NA,NS
101816Spry_Ea,E,CH5,GATA6.gt,af568.gt,NS
101816Spry_Eb,E,CH1,DNA,Hoechst,NS
101816Spry_Eb,E,CH2,Venus,no.ab,NS
101816Spry_Eb,E,CH3,NANOG.rb,af647.rb,NS
101816Spry_Eb,E,CH4,BF,NA,NS
101816Spry_Eb,E,CH5,GATA6.gt,af568.gt,NS
100516CD1,100516CD1,CH1,DNA,Hoechst,NS
100516CD1,100516CD1,CH2,no.ab,af488.ck,NS
100516CD1,100516CD1,CH3,no.ab,af647.rb,NS
100516CD1,100516CD1,CH4,BF,NA,NS
100516CD1,100516CD1,CH5,no.ab,af568.gt,NS
102116Spry_F,F,CH1,DNA,Hoechst,NS
102116Spry_F,F,CH2,Venus,no.ab,NS
102116Spry_F,F,CH3,NANOG.rb,af647.rb,NS
102116Spry_F,F,CH4,BF,NA,NS
102116Spry_F,F,CH5,GATA6.gt,af568.gt,NS
102116Spry_G,G,CH1,DNA,Hoechst,NS
102116Spry_G,G,CH2,GFP.ck,af488.ck,NS
102116Spry_G,G,CH3,NANOG.rb,af647.rb,NS
102116Spry_G,G,CH4,BF,NA,NS
102116Spry_G,G,CH5,GATA6.gt,af568.gt,NS
102516Spry_H,H,CH1,DNA,Hoechst,NS
102516Spry_H,H,CH2,Venus,no.ab,NS
102516Spry_H,H,CH3,NANOG.rb,af647.rb,NS
102516Spry_H,H,CH4,BF,NA,NS
102516Spry_H,H,CH5,GATA6.gt,af568.gt,NS
102516Spry_I,I,CH1,DNA,Hoechst,NS
102516Spry_I,I,CH2,GFP.ck,af488.ck,NS
102516Spry_I,I,CH3,NANOG.rb,af647.rb,NS
102516Spry_I,I,CH4,BF,NA,NS
102516Spry_I,I,CH5,GATA6.gt,af568.gt,NS
102716Spry_J,J,CH1,DNA,Hoechst,NS
102716Spry_J,J,CH2,GFP.ck,af488.ck,NS
102716Spry_J,J,CH3,NANOG.rb,af647.rb,NS
102716Spry_J,J,CH4,BF,NA,NS
102716Spry_J,J,CH5,GATA6.gt,af568.gt,NS
100516CD1,100516CD1,CH1,DNA,Hoechst,NS
100516CD1,100516CD1,CH2,no.ab,af488.ck,NS
100516CD1,100516CD1,CH3,no.ab,af647.rb,NS
100516CD1,100516CD1,CH4,BF,NA,NS
100516CD1,100516CD1,CH5,no.ab,af568.gt,NS
110816Spry_K,K,CH1,DNA,Hoechst,NS
110816Spry_K,K,CH2,GFP.ck,af488.ck,NS
110816Spry_K,K,CH3,NANOG.rb,af647.rb,NS
110816Spry_K,K,CH4,BF,NA,NS
110816Spry_K,K,CH5,GATA6.gt,af568.gt,NS
110816Spry_L,L,CH1,DNA,Hoechst,NS
110816Spry_L,L,CH2,GFP.ck,af488.ck,NS
110816Spry_L,L,CH3,NANOG.rb,af647.rb,NS
110816Spry_L,L,CH4,BF,NA,NS
110816Spry_L,L,CH5,GATA6.gt,af568.gt,NS
112116Spry_M,M,CH1,DNA,Hoechst,NS
112116Spry_M,M,CH2,GFP.ck,af488.ck,NS
112116Spry_M,M,CH3,NANOG.rb,af647.rb,NS
112116Spry_M,M,CH4,BF,NA,NS
112116Spry_M,M,CH5,GATA6.gt,af568.gt,NS
112116Spry_N,N,CH1,DNA,Hoechst,NS
112116Spry_N,N,CH2,GFP.ck,af488.ck,NS
112116Spry_N,N,CH3,NANOG.rb,af647.rb,NS
112116Spry_N,N,CH4,BF,NA,NS
112116Spry_N,N,CH5,GATA6.gt,af568.gt,NS
111116Spry_O,O,CH1,DNA,Hoechst,NS
111116Spry_O,O,CH2,GFP.ck,af488.ck,NS
111116Spry_O,O,CH3,NANOG.rb,af647.rb,NS
111116Spry_O,O,CH4,BF,NA,NS
111116Spry_O,O,CH5,GATA6.gt,af568.gt,NS
112316Spry_P,P,CH1,DNA,Hoechst,NS
112316Spry_P,P,CH2,GFP.ck,af488.ck,NS
112316Spry_P,P,CH3,NANOG.rb,af647.rb,NS
112316Spry_P,P,CH4,BF,NA,NS
112316Spry_P,P,CH5,GATA6.gt,af568.gt,NS
112916Spry_Q,Q,CH1,DNA,Hoechst,NS
112916Spry_Q,Q,CH2,GFP.ck,af488.ck,NS
112916Spry_Q,Q,CH3,NANOG.rb,af647.rb,NS
112916Spry_Q,Q,CH4,BF,NA,NS
112916Spry_Q,Q,CH5,GATA6.gt,af568.gt,NS
120416Spry_R,R,CH1,DNA,Hoechst,NS
120416Spry_R,R,CH2,Venus,no.ab,NS
120416Spry_R,R,CH3,NANOG.rb,af647.rb,NS
120416Spry_R,R,CH4,BF,NA,NS
120416Spry_R,R,CH5,GATA6.gt,af568.gt,NS
120516Spry_S,S,CH1,DNA,Hoechst,NS
120516Spry_S,S,CH2,GFP.ck,af488.ck,NS
120516Spry_S,S,CH3,NANOG.rb,af647.rb,NS
120516Spry_S,S,CH4,BF,NA,NS
120516Spry_S,S,CH5,GATA6.gt,af568.gt,NS
120816Spry_U,U,CH1,DNA,Hoechst,NS
120816Spry_U,U,CH2,GFP.ck,af488.ck,NS
120816Spry_U,U,CH3,NANOG.rb,af647.rb,NS
120816Spry_U,U,CH4,BF,NA,NS
120816Spry_U,U,CH5,GATA6.gt,af568.gt,NS
120816Spry_V,V,CH1,DNA,Hoechst,NS
120816Spry_V,V,CH2,Venus,no.ab,NS
120816Spry_V,V,CH3,GFP.ck,af647.ck,NS
120816Spry_V,V,CH4,BF,NA,NS
120816Spry_V,V,CH5,GATA6.gt,af568.gt,NS
121216Spry_W,W,CH1,DNA,Hoechst,NS
121216Spry_W,W,CH2,Venus,no.ab,NS
121216Spry_W,W,CH3,NANOG.rb,af647.rb,NS
121216Spry_W,W,CH4,BF,NA,NS
121216Spry_W,W,CH5,GATA6.gt,af568.gt,NS
121216Spry_X,X,CH1,DNA,Hoechst,NS
121216Spry_X,X,CH2,GFP.ck,af488.ck,NS
121216Spry_X,X,CH3,NANOG.rb,af647.rb,NS
121216Spry_X,X,CH4,BF,NA,NS
121216Spry_X,X,CH5,GATA6.gt,af568.gt,NS
090916CD1,090916CD1,CH1,DNA,Hoechst,NS
090916CD1,090916CD1,CH2,no.ab,af488.ck,NS
090916CD1,090916CD1,CH3,no.ab,af647.rb,NS
090916CD1,090916CD1,CH4,BF,NA,NS
090916CD1,090916CD1,CH5,no.ab,af568.gt,NS
121216Spry_Y,Y,CH1,DNA,Hoechst,NS
121216Spry_Y,Y,CH2,GFP.ck,af488.ck,NS
121216Spry_Y,Y,CH3,NANOG.rb,af647.rb,NS
121216Spry_Y,Y,CH4,BF,NA,NS
121216Spry_Y,Y,CH5,GATA6.gt,af568.gt,NS
013017Spry_Z,Z,CH1,DNA,Hoechst,NS
013017Spry_Z,Z,CH2,GFP.ck,af488.ck,NS
013017Spry_Z,Z,CH3,NANOG.rb,af647.rb,NS
013017Spry_Z,Z,CH4,BF,NA,NS
013017Spry_Z,Z,CH5,GATA6.gt,af568.gt,NS
020317Spry_AA,AA,CH1,DNA,Hoechst,NS
020317Spry_AA,AA,CH2,GFP.ck,af488.ck,NS
020317Spry_AA,AA,CH3,NANOG.rb,af647.rb,NS
020317Spry_AA,AA,CH4,BF,NA,NS
020317Spry_AA,AA,CH5,GATA6.gt,af568.gt,NS
020317Spry_AB,AB,CH1,DNA,Hoechst,NS
020317Spry_AB,AB,CH2,Venus,no.ab,NS
020317Spry_AB,AB,CH3,NANOG.rb,af647.rb,NS
020317Spry_AB,AB,CH4,BF,NA,NS
020317Spry_AB,AB,CH5,GATA6.gt,af568.gt,NS
020617Spry_AC,AC,CH1,DNA,Hoechst,NS
020617Spry_AC,AC,CH2,GFP.ck,af488.ck,NS
020617Spry_AC,AC,CH3,NANOG.rb,af647.rb,NS
020617Spry_AC,AC,CH4,BF,NA,NS
020617Spry_AC,AC,CH5,GATA6.gt,af568.gt,NS
021617Spry_AD,AD,CH1,DNA,Hoechst,NS
021617Spry_AD,AD,CH2,GFP.ck,af488.ck,NS
021617Spry_AD,AD,CH3,NANOG.rb,af647.rb,NS
021617Spry_AD,AD,CH4,BF,NA,NS
021617Spry_AD,AD,CH5,GATA6.gt,af568.gt,NS
022017Spry_AE,AE,CH1,DNA,Hoechst,NS
022017Spry_AE,AE,CH2,GFP.ck,af488.ck,NS
022017Spry_AE,AE,CH3,NANOG.rb,af647.rb,NS
022017Spry_AE,AE,CH4,BF,NA,NS
022017Spry_AE,AE,CH5,GATA6.gt,af568.gt,NS
022017Spry_AF,AF,CH1,DNA,Hoechst,NS
022017Spry_AF,AF,CH2,Venus,no.ab,NS
022017Spry_AF,AF,CH3,NANOG.rb,af647.rb,NS
022017Spry_AF,AF,CH4,BF,NA,NS
022017Spry_AF,AF,CH5,GATA6.gt,af568.gt,NS
022317Spry_AG,AG,CH1,DNA,Hoechst,NS
022317Spry_AG,AG,CH2,Venus,no.ab,NS
022317Spry_AG,AG,CH3,GFP.ck,af647.ck,NS
022317Spry_AG,AG,CH4,BF,NA,NS
022317Spry_AG,AG,CH5,GATA6.gt,af568.gt,NS
022517Spry_AH,AH,CH1,DNA,Hoechst,NS
022517Spry_AH,AH,CH2,Venus,no.ab,NS
