Experiment,Litter,Embryo_ID,Treatment,Gene1,Genotype1
121216Spry_Y,Y,121216Spry_Y6_mov,Control,Spry4,het
121216Spry_Y,Y,121216Spry_Y7_mov,Control,Spry4,het
121216Spry_Y,Y,121216Spry_Y8_mov,Control,Spry4,het
121216Spry_Y,Y,121216Spry_Y9_mov,AZD_1,Spry4,het
121216Spry_Y,Y,121216Spry_Y10_mov,AZD_1,Spry4,het
020617Spry_AC,AC,020617Spry_AC4_mov,Control,Spry4,het
020617Spry_AC,AC,020617Spry_AC5_mov,AZD_1,Spry4,het
020617Spry_AC,AC,020617Spry_AC6_mov,AZD_1,Spry4,het
122717Spry_BI,BI,122717Spry_BI1_mov,Control,Spry4,het
122717Spry_BI,BI,122717Spry_BI2_mov,Control,Spry4,het
122717Spry_BI,BI,122717Spry_BI3_mov,Control,Spry4,het
122717Spry_BI,BI,122717Spry_BI4_mov,PD03_1,Spry4,het
122717Spry_BI,BI,122717Spry_BI5_mov,PD03_1,Spry4,het
122717Spry_BI,BI,122717Spry_BI6_mov,PD03_1,Spry4,het
122717Spry_BI,BI,122717Spry_BI7_mov,AZD_1,Spry4,het
122717Spry_BI,BI,122717Spry_BI8_mov,AZD_1,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ1_mov,Control,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ2_mov,Control,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ4_mov,PD03_1,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ5_mov,PD03_1,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ6_mov,PD03_1,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ7_mov,PD03_1,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ8_mov,AZD_1,Spry4,het
122717Spry_BJ,BJ,122717Spry_BJ9_mov,AZD_1,Spry4,het
